bucket,n,pct_of_retouched,pct_of_above,cum_pct
1w (1-7d),397,40.34552845528455,40.020161290322584,40.020161290322584
2w (8-14d),85,8.638211382113822,8.568548387096774,48.58870967741936
3w (15-21d),59,5.995934959349594,5.947580645161291,54.53629032258065
4w (22-28d),85,8.638211382113822,8.568548387096774,63.10483870967742
5w (29-35d),43,4.369918699186992,4.334677419354839,67.43951612903226
6w (36-42d),60,6.097560975609756,6.048387096774194,73.48790322580645
7w (43-49d),34,3.4552845528455287,3.4274193548387095,76.91532258064515
8w (50-56d),31,3.1504065040650406,3.125,80.04032258064515
9-12w (57-84d),94,9.552845528455284,9.475806451612904,89.51612903225805
13-24w (85-168d),86,8.739837398373984,8.669354838709678,98.18548387096773
24w+ (169-365d),10,1.0162601626016259,1.0080645161290323,99.19354838709677
