symbol,ts_trigger,ts_pullback,ts_entry,hours_to_pullback,body_ret,vol_ratio,trigger_close,pullback_low,pullback_ma_short,entry_price,body_ret_min,vol_ratio_min,pullback_timeout_h,fwd_ret_4h,fwd_ret_12h,fwd_ret_24h,fwd_ret_72h,fwd_ret_168h,fwd_ret_336h,fwd_ret_672h,rank_group
LABUSDT,1777629600000,1777651200000,1777654800000,6,0.0217694588153229,1.8578868418016077,0.7031,0.68502,0.695119,0.68751,0.02,1.0,24,0.32233712964175076,1.6071475323995288,3.8326424342918655,1.3144390627045426,5.118500094544079,4.808424604733022,,TOP
LABUSDT,1777543200000,1777561200000,1777564800000,5,0.02925768069614643,1.983132680741566,0.69549,0.66734,0.677871,0.6682,0.02,1.0,24,0.005686920083807223,0.029152948219095975,0.0441783897036816,1.2012870398084408,4.747904818916492,7.110640526788387,,TOP
ENJUSDT,1775664000000,1775692800000,1775696400000,8,0.09654062751407881,31.996605500495804,0.02726,0.02513,0.026319000000000002,0.02546,0.02,1.0,24,0.2639434406912804,0.22270227808326792,0.17556952081696764,0.24823252160251386,2.7172034564021996,1.2796543597800474,1.0337784760408484,TOP
SKYAIUSDT,1777392000000,1777424400000,1777428000000,9,0.08358331862831599,1.693477629829096,0.18422,0.20069,0.200928,0.2224,0.02,1.0,24,0.039028776978417445,0.05845323741007191,0.3090827338129498,0.7619154676258992,2.5431205035971223,1.465557553956835,,TOP
SIRENUSDT,1773565200000,1773576000000,1773579600000,3,0.10330344588301894,5.606495478998992,0.60418,0.58052,0.592075,0.58097,0.02,1.0,24,0.023340275745735717,0.020482985352083594,0.07172487391775828,0.49190147511919724,2.4950513795893077,1.979035062051397,0.37435667934661,TOP
LABUSDT,1777939200000,1777946400000,1777950000000,2,0.13478087036752268,1.1242046930537233,1.84487,1.60184,1.644424,1.65344,0.02,1.0,24,0.15969131023804928,0.44185455777046645,0.6294936616992453,1.796938503967486,2.1533892974646798,,,TOP
PIPPINUSDT,1764064800000,1764082800000,1764086400000,5,0.06262817479097652,1.0207656242639418,0.06736,0.05895,0.065456,0.06516,0.02,1.0,24,0.11985880908532831,-0.016574585635359074,-0.009054634745242374,-0.09775936157151621,2.0827194597912833,2.139349294045427,5.647943523634132,TOP
PIPPINUSDT,1764392400000,1764399600000,1764403200000,2,0.030040796142910144,1.00517304877073,0.08332,0.07291,0.07557,0.07923,0.02,1.0,24,0.11902057301527202,0.23274012369052133,0.5126845891707688,1.461188943581977,1.960494762085069,3.071690016407927,5.060204468004544,TOP
SKYAIUSDT,1777482000000,1777489200000,1777492800000,2,0.12606065527181193,1.632907498328167,0.27736,0.256,0.25712999999999997,0.26587,0.02,1.0,24,0.014969722044608114,0.0902696806710046,0.3285064129085644,0.8363109790499117,1.8958513559258288,0.8148343175236017,,TOP
SOONUSDT,1762351200000,1762369200000,1762372800000,5,0.02032085561497325,23.53672128876136,0.7632,0.7526,0.75749,0.7551,0.02,1.0,24,1.0888624023308169,0.8402860548271751,0.7097073235333067,2.206462720169514,1.8392265925043039,0.5995232419547081,-0.4023308171103165,TOP
LABUSDT,1777107600000,1777111200000,1777114800000,1,0.04839448922919297,1.305499218457325,0.77772,0.72641,0.73616,0.75654,0.02,1.0,24,-0.04131969228328969,0.05205276654241686,0.17656700240568912,-0.12171200465276122,1.8384222909561956,4.531948079414175,,TOP
PIPPINUSDT,1763964000000,1763989200000,1763992800000,7,0.07212205270457693,1.2621713473353087,0.03865,0.0485,0.050279,0.05122,0.02,1.0,24,0.2532213978914486,0.1858648965247951,0.39242483404919937,0.105232331120656,1.812182741116751,2.2262787973447873,5.871339320577898,TOP
TACUSDT,1777201200000,1777204800000,1777208400000,1,0.03465515282354275,4.15190787254898,0.009106,0.008519,0.008572,0.00903,0.02,1.0,24,-0.01074197120708742,-0.00221483942414169,0.15038759689922476,0.7861572535991141,1.7554817275747512,1.300885935769657,,TOP
UBUSDT,1777305600000,1777309200000,1777312800000,1,0.03182297154899889,1.3529718185713322,0.04896,0.04881,0.049016,0.04884,0.02,1.0,24,0.007985257985257954,0.023955773955773862,0.14721539721539734,0.39332514332514323,1.6902129402129402,1.9627354627354627,,TOP
TACUSDT,1777111200000,1777114800000,1777118400000,1,0.023826208829712606,1.2043485688257152,0.008766,0.008606,0.0087754,0.008673,0.02,1.0,24,0.003459010722933309,-0.007609823590453146,0.04992505476766973,0.3690764441369767,1.6849994234982129,1.4707713593912142,,TOP
PIPPINUSDT,1764288000000,1764309600000,1764313200000,6,0.03597122302158277,1.0758064265247735,0.0648,0.06381,0.067055,0.06566,0.02,1.0,24,0.19402985074626877,-0.300639658848614,0.26972281449893387,1.1733170880292416,1.6401157477916541,3.7174840085287855,6.645446238196771,TOP
LABUSDT,1778050800000,1778072400000,1778076000000,6,0.11567098698889412,2.0603918320785253,3.11521,2.28747,3.087314,2.3547,0.02,1.0,24,0.7712787191574297,0.8862063107826901,0.791119887883807,0.7527455726844183,1.6245848728075765,,,TOP
LABUSDT,1775404800000,1775462400000,1775466000000,16,0.035137573297248495,2.082242430620735,0.22949,0.25223,0.254789,0.25548,0.02,1.0,24,0.08908720839204642,0.14502113668388916,0.27454203851573533,0.408251135118209,1.4625410991075625,1.1481524972600599,6.066189134178801,TOP
