body_ret_min,vol_ratio_min,h,n,mean,median,win,std
0.03,3.0,4,3214,0.0007123771284239264,-0.005896319706056807,0.43963907902924704,0.08088693450855647
0.03,3.0,12,3210,-0.0035664945258961768,-0.011903413075593339,0.41682242990654206,0.11523954008709389
0.03,3.0,24,3206,-0.009656489319632717,-0.020929854483005272,0.3905177791640674,0.1363365066809614
0.03,3.0,72,3192,-0.01728217317058218,-0.03710510860211741,0.36466165413533835,0.18611526928863897
0.03,3.0,168,3117,-0.027724321260215984,-0.06506804358289953,0.33622072505614375,0.29265748472487507
0.03,3.0,336,2916,-0.03178282733060837,-0.0963247828474949,0.3230452674897119,0.35143180819351927
0.03,3.0,672,2676,-0.044486142226191044,-0.14615761551033812,0.2884902840059791,0.6627652476991034
0.03,5.0,4,2105,-0.0005882944569993734,-0.007425103305785163,0.42375296912114013,0.0890594495043409
0.03,5.0,12,2104,-0.004954012050084666,-0.014686082138051892,0.40161596958174905,0.12202969565209552
0.03,5.0,24,2101,-0.012602210570814591,-0.025316455696202445,0.36649214659685864,0.14479453170658793
0.03,5.0,72,2095,-0.019755272526664747,-0.04137839276210753,0.35608591885441526,0.19070658507018742
0.03,5.0,168,2043,-0.028636218059965402,-0.06703348716128266,0.3308859520313265,0.2575472691842944
0.03,5.0,336,1913,-0.032050991766945584,-0.09738283627510647,0.30946157867224255,0.36134624630954265
0.03,5.0,672,1750,-0.04544807517737539,-0.14127990156389209,0.28514285714285714,0.6613135516620924
0.03,10.0,4,1005,-0.0016215405988084716,-0.010627268014515301,0.41592039800995023,0.0995625002020916
0.03,10.0,12,1004,-0.007192484212690473,-0.01718760662732599,0.3784860557768924,0.1405142227768949
0.03,10.0,24,1003,-0.015318447800963569,-0.02888368462138957,0.3439680957128614,0.16166065013207048
0.03,10.0,72,1000,-0.025543787521818382,-0.051089718966022934,0.334,0.20985369931115416
0.03,10.0,168,981,-0.03478201029355687,-0.07162629757785466,0.31906218144750254,0.2717158378817413
0.03,10.0,336,912,-0.03757512891807785,-0.09683492260419219,0.2982456140350877,0.3437493408336128
0.03,10.0,672,835,-0.05992192170864721,-0.13756947953511878,0.288622754491018,0.524623450806441
0.05,3.0,4,1766,-0.0006168709330771063,-0.00802699798248363,0.44394110985277463,0.09625124209122822
0.05,3.0,12,1765,-0.0048977869385784575,-0.017220172201722006,0.41019830028328613,0.14118748800361522
0.05,3.0,24,1762,-0.012430590829747084,-0.02811277163806558,0.3904653802497162,0.1660141714790322
0.05,3.0,72,1756,-0.021216561341246862,-0.05043729946385678,0.35136674259681094,0.22038036282452703
0.05,3.0,168,1714,-0.035380983062958206,-0.08108365137901824,0.31096849474912486,0.3504408410122043
0.05,3.0,336,1617,-0.036369656902189344,-0.1080340839926962,0.3104514533085962,0.400951449030845
0.05,3.0,672,1477,-0.03541258389572412,-0.16509775524981896,0.28165199729180773,0.7838318971189564
0.05,5.0,4,1303,-0.0010410313427921224,-0.00813152474966261,0.4397544128933231,0.10224246679212967
0.05,5.0,12,1302,-0.005523450476511787,-0.017100576596267847,0.4109062980030722,0.146327010245326
0.05,5.0,24,1300,-0.013268758645541345,-0.030154243964039817,0.38,0.17244304070652533
0.05,5.0,72,1298,-0.023750321200687284,-0.0512528224870934,0.34668721109399075,0.21696842797275284
0.05,5.0,168,1266,-0.03617152363662819,-0.07835456125221008,0.3135860979462875,0.2840764065582529
0.05,5.0,336,1192,-0.036393728053235964,-0.10628491865954598,0.3070469798657718,0.40080238293159953
0.05,5.0,672,1087,-0.04729766887770441,-0.15666327568667338,0.28702851885924563,0.6934816779940736
0.05,10.0,4,722,-0.003149335098365001,-0.012185821725079926,0.4279778393351801,0.10650557145819414
0.05,10.0,12,721,-0.0099106639771009,-0.020408163265306145,0.39667128987517336,0.15243579167985338
0.05,10.0,24,720,-0.01670028702463954,-0.03654913819737665,0.3486111111111111,0.18404153355988326
0.05,10.0,72,718,-0.030311070625351138,-0.06090761771217418,0.3161559888579387,0.2298671898296053
0.05,10.0,168,705,-0.045973001964642504,-0.0850651149903019,0.2950354609929078,0.29854665744141845
0.05,10.0,336,663,-0.05034080211006461,-0.11046417596635927,0.29260935143288086,0.36883357351091006
0.05,10.0,672,606,-0.07735734450450626,-0.15780293730363731,0.27722772277227725,0.5594776432031296
0.07,3.0,4,1088,-0.0017407715404804565,-0.010568187503126658,0.4384191176470588,0.11208385980116119
0.07,3.0,12,1088,-0.010598377185947925,-0.026223858981149595,0.3897058823529412,0.16046285619202308
0.07,3.0,24,1086,-0.022559164478063966,-0.04634817208500619,0.35267034990791896,0.18842866217084422
0.07,3.0,72,1081,-0.030889579266309298,-0.07367218732153069,0.32377428307123035,0.2461839517472346
0.07,3.0,168,1053,-0.050752735128730075,-0.10065894114973872,0.2896486229819563,0.31425736111215163
0.07,3.0,336,1001,-0.04904006857371629,-0.13148316651501357,0.2777222777222777,0.43692310658712347
0.07,3.0,672,914,-0.04701639313614833,-0.1965850457323326,0.24726477024070023,0.8110529436935004
0.07,5.0,4,852,-0.003693607455400974,-0.014411564839726332,0.42370892018779344,0.1189960404170403
0.07,5.0,12,852,-0.01174256721657923,-0.029693966837630315,0.37910798122065725,0.16526299420810847
0.07,5.0,24,850,-0.022068384643766606,-0.04838999794258608,0.3423529411764706,0.19608346657948958
0.07,5.0,72,848,-0.032177622986991665,-0.07376186659855483,0.32193396226415094,0.24080111167236945
0.07,5.0,168,828,-0.0467451351749616,-0.10125143906919098,0.28502415458937197,0.31622959807970297
0.07,5.0,336,786,-0.04811596451371216,-0.13104465629117096,0.27735368956743,0.435014542646994
0.07,5.0,672,716,-0.05173218311241527,-0.1798183805680592,0.2569832402234637,0.7620384430306589
0.07,10.0,4,529,-0.0032476168742567443,-0.015008337965536467,0.42722117202268434,0.11922885250281431
0.07,10.0,12,529,-0.011155780214076753,-0.032076533483399006,0.387523629489603,0.17278042055828638
0.07,10.0,24,528,-0.01951117419711715,-0.049036137689759174,0.3371212121212121,0.20756992260978768
0.07,10.0,72,526,-0.03303997383404302,-0.07619940522157836,0.3041825095057034,0.2552674314203892
0.07,10.0,168,519,-0.05149340201941566,-0.10404624277456653,0.27360308285163776,0.3252951337192854
0.07,10.0,336,491,-0.06397712638175758,-0.1309434901667912,0.2545824847250509,0.3812327976853446
0.07,10.0,672,451,-0.0966764057704402,-0.1773740328727048,0.25055432372505543,0.5298650899052194
0.1,3.0,4,603,-0.008199222918633862,-0.020868680013573226,0.4129353233830846,0.12914526937269433
0.1,3.0,12,603,-0.02356089433912839,-0.04859050445103863,0.34991708126036486,0.18837125212664527
0.1,3.0,24,601,-0.03727491363357553,-0.07115802232210489,0.3144758735440932,0.21757344485384736
0.1,3.0,72,598,-0.06171021616768244,-0.09915589598255697,0.2842809364548495,0.2600890240221365
0.1,3.0,168,591,-0.09097968140246386,-0.14220727848101278,0.24534686971235195,0.3260303175418343
0.1,3.0,336,564,-0.08997799968232748,-0.158456721051903,0.25177304964539005,0.4453726553771189
0.1,3.0,672,519,-0.10313185136908241,-0.23330775134305448,0.22157996146435452,0.7072446195218862
0.1,5.0,4,493,-0.010619407408159958,-0.025791982057751572,0.39148073022312374,0.13548388462858166
0.1,5.0,12,493,-0.02284814722069211,-0.05076053889613208,0.3448275862068966,0.19155717702180974
0.1,5.0,24,491,-0.034375434160688986,-0.07115802232210489,0.31771894093686354,0.22403057831733625
0.1,5.0,72,489,-0.061330207764568906,-0.09921645445641525,0.2822085889570552,0.24870895992181813
