body_ret_min,vol_ratio_min,horizon_h,n,mean,median,std,win,var_adj
0.03,3.0,4,6351,0.00010583277906968157,-0.006314312441534131,0.06907585044845851,0.4293811998110534,-0.11386932046088685
0.03,3.0,12,6347,-0.0007027952065399327,-0.010483243106226503,0.09882015149423266,0.4186229714825902,-0.16375604517202383
0.03,3.0,24,6343,-0.003329679626668674,-0.016537180910099925,0.12171958781899016,0.4069052498817594,-0.2041669995280024
0.03,3.0,72,6329,-0.0005291911058345308,-0.023625096824167247,0.1771214216319975,0.4081213461842313,-0.29277953679863045
0.03,3.0,168,6254,0.005371061208111107,-0.03470011880686935,0.2766199306756616,0.416053725615606,-0.45105182440673053
0.03,3.0,336,6053,0.02599513668161639,-0.04936735117195612,0.375184641489014,0.4161572773831158,-0.5930595217752567
0.03,3.0,672,5813,0.031354262341685084,-0.0850181682660952,0.5952531943893262,0.391536211938758,-0.9508135084007032
0.03,5.0,4,4014,0.0001846351096498068,-0.007169498376483563,0.07678337074030268,0.4212755356253114,-0.12650792661184962
0.03,5.0,12,4013,-0.000894830259793051,-0.01186005139355606,0.10520207355783343,0.40568153501121357,-0.1744782516302182
0.03,5.0,24,4010,-0.004938172212250969,-0.01946899621246856,0.12832866344929994,0.3922693266832918,-0.21668046690359585
0.03,5.0,72,4004,-0.0023253889448082094,-0.02534675891606958,0.18279115374127208,0.4010989010989011,-0.3039307926179071
0.03,5.0,168,3952,0.0017277603481485986,-0.037471522713025396,0.25412181516783333,0.4089068825910931,-0.4175732346787764
0.03,5.0,336,3822,0.0230834375656411,-0.05337336714301438,0.3821134791027564,0.40920983778126635,-0.6074038029539068
0.03,5.0,672,3659,0.030820068667633555,-0.08032215933826736,0.6033769640917725,0.39163705930582127,-0.9647519220837911
0.03,10.0,4,1780,-5.1982255414115806e-05,-0.00948095410168015,0.09014915202832738,0.4061797752808989,-0.14879808310215428
0.03,10.0,12,1779,-0.0027448865917558047,-0.014553596417576253,0.12329022392645958,0.3850477796514896,-0.2061737560704141
0.03,10.0,24,1778,-0.007463433662677023,-0.02293410374074467,0.14426950976696806,0.3689538807649044,-0.2455081247781743
0.03,10.0,72,1775,-0.007713566643951472,-0.03528805701038906,0.20226588015968916,0.38253521126760565,-0.34145226890743857
0.03,10.0,168,1756,-0.006460633826038885,-0.04404894941548676,0.26235168147580207,0.38838268792710706,-0.4393409082611123
0.03,10.0,336,1687,0.019866852580990076,-0.05690306336550577,0.3993452999358604,0.4007113218731476,-0.6390528923131795
0.03,10.0,672,1610,0.04530328799907799,-0.06814364520658545,0.5856984345902617,0.4080745341614907,-0.9210991290748538
0.05,3.0,4,3292,-0.00040973326425006575,-0.008674058678528329,0.08470983406147767,0.43347509113001215,-0.1401809594656882
0.05,3.0,12,3291,-0.0006036482414789548,-0.014752468379309658,0.12287979723293535,0.41112123974475845,-0.20335531367582227
0.05,3.0,24,3288,-0.004372078384856445,-0.02378307083460446,0.1481439603359462,0.3956812652068126,-0.24880961293916767
0.05,3.0,72,3282,-0.002109526833812631,-0.03342876758287583,0.21084274709514028,0.3918342474101158,-0.3500000595407941
0.05,3.0,168,3240,0.0035341923082144186,-0.048269669800618975,0.32504940752185385,0.3969135802469136,-0.5327973301028445
0.05,3.0,336,3143,0.022789100285986966,-0.06398996235884558,0.42368112479686076,0.402163538020999,-0.6762847556288332
