group,fwd,n,mean,median,win,std
held=True,fwd_ret_4h,5087,0.0011124252849294776,-0.0001726221301572295,0.4955769608806762,0.043619916968301996
held=False,fwd_ret_4h,1226,-0.0003846344441679616,-0.003431446961429774,0.4437194127243067,0.05827343734421635
held=True,fwd_ret_24h,5082,-0.00012965750033086553,-0.0084053692292122,0.4360487996851633,0.09543355783588747
held=False,fwd_ret_24h,1223,-0.006371671200099246,-0.014333333333333198,0.410466067048242,0.10532222937222593
held=True,fwd_ret_72h,5075,-0.0007363834352512226,-0.018701407858793928,0.4220689655172414,0.1579045276422527
held=False,fwd_ret_72h,1220,0.002501776613795759,-0.014174854289390193,0.45081967213114754,0.17210712592507682
held=True,fwd_ret_168h,5011,0.003482076369757632,-0.03125,0.4242666134504091,0.23814092694839928
held=False,fwd_ret_168h,1199,0.010345793394754941,-0.022011443888860227,0.43119266055045874,0.25009790954645694
held=True,fwd_ret_336h,4859,0.024546626934779756,-0.04739907611970273,0.4200452768059271,0.3606140204751219
held=False,fwd_ret_336h,1155,0.041046171822371524,-0.03149401353461745,0.43896103896103894,0.3864863645164857
held=True,fwd_ret_672h,4680,0.028127243814708946,-0.08416953366417801,0.38782051282051283,0.5632820832975738
held=False,fwd_ret_672h,1095,0.04071369621755344,-0.08464271614686136,0.38904109589041097,0.5898361057578033
held=True,fwd_ret_4h_post,5088,-0.0012311636688837966,-0.0026148348494650087,0.45852987421383645,0.04811010334324314
held=False,fwd_ret_4h_post,1227,0.002937745844258209,-0.0009146341463415197,0.4800325998370008,0.08825217289153559
held=True,fwd_ret_24h_post,5084,-0.003112155531231613,-0.012846001029809762,0.41365066876475215,0.10387201586335655
held=False,fwd_ret_24h_post,1223,-0.00616991406336668,-0.012281530467642798,0.4153720359771055,0.09689433999451622
held=True,fwd_ret_72h_post,5074,-0.003744076426984021,-0.02235995936251317,0.41308632242806465,0.1632899288087951
held=False,fwd_ret_72h_post,1219,0.004890078423415889,-0.012675116744496284,0.43560295324036097,0.1709988572653244
held=True,fwd_ret_168h_post,5015,0.0016292067961631103,-0.03447280524514462,0.4139581256231306,0.26086890564095233
held=False,fwd_ret_168h_post,1199,0.012269785941141025,-0.017445132245357264,0.4562135112593828,0.24731170445845213
held=True,fwd_ret_336h_post,4862,0.021045589853144947,-0.05076757313398683,0.4127930892636775,0.3655331834067645
held=False,fwd_ret_336h_post,1155,0.04099484175006611,-0.022829006266785967,0.4484848484848485,0.3806300057720725
held=True,fwd_ret_672h_post,4682,0.02565816431673525,-0.08425787236510085,0.3844510892780863,0.5890280408871819
held=False,fwd_ret_672h_post,1096,0.04164935463413892,-0.08099177709515099,0.39963503649635035,0.578475551900182
