feature,quantile,horizon,n,mean,median,win,std
upper_wick_ratio,"(-0.001, 0.0544]",fwd_ret_4h,1263,0.001308342325570599,-0.0005930611841453715,0.48535233570863023,0.038183742357184434
upper_wick_ratio,"(-0.001, 0.0544]",fwd_ret_24h,1260,-0.0001183907346718177,-0.005199474543951699,0.45634920634920634,0.0873035524081152
upper_wick_ratio,"(-0.001, 0.0544]",fwd_ret_72h,1257,-0.0017495210968401186,-0.013928012519561883,0.4335719968178202,0.1396722212429405
upper_wick_ratio,"(-0.001, 0.0544]",fwd_ret_168h,1231,0.008500925194045977,-0.021071984160656254,0.45978878960194963,0.23130119406494026
upper_wick_ratio,"(-0.001, 0.0544]",fwd_ret_336h,1189,0.023993150802514566,-0.04273895330617361,0.4348191757779647,0.3213851979250961
upper_wick_ratio,"(-0.001, 0.0544]",fwd_ret_672h,1136,0.014539974784412595,-0.08202110513558758,0.3961267605633803,0.4440451848352149
upper_wick_ratio,"(0.0544, 0.118]",fwd_ret_4h,1263,0.0013516749438557808,-0.0005387205387205052,0.4916864608076009,0.05448552336138894
upper_wick_ratio,"(0.0544, 0.118]",fwd_ret_24h,1263,-0.0018347765654625505,-0.011617515638963405,0.4164687252573238,0.09445827643348804
upper_wick_ratio,"(0.0544, 0.118]",fwd_ret_72h,1262,-0.0026817580379785797,-0.021890833819920907,0.410459587955626,0.16613892671251987
upper_wick_ratio,"(0.0544, 0.118]",fwd_ret_168h,1249,0.004431603232462482,-0.03610005685048312,0.41393114491593275,0.23291802475100332
upper_wick_ratio,"(0.0544, 0.118]",fwd_ret_336h,1206,0.03131806379483631,-0.044702084562206534,0.4228855721393035,0.3826494990819886
upper_wick_ratio,"(0.0544, 0.118]",fwd_ret_672h,1156,0.030255559848471086,-0.07417706923824596,0.4013840830449827,0.5554160110771209
upper_wick_ratio,"(0.118, 0.195]",fwd_ret_4h,1262,0.0019175954361984697,-2.217196576648206e-05,0.4968304278922345,0.046241537734966254
upper_wick_ratio,"(0.118, 0.195]",fwd_ret_24h,1260,0.0016310140126723999,-0.007476277997479741,0.44603174603174606,0.09457032916614144
upper_wick_ratio,"(0.118, 0.195]",fwd_ret_72h,1256,0.006789868673689223,-0.014275686947169963,0.44745222929936307,0.16218178333180522
upper_wick_ratio,"(0.118, 0.195]",fwd_ret_168h,1242,0.004176428625105798,-0.025349973651738134,0.42028985507246375,0.241605349300969
upper_wick_ratio,"(0.118, 0.195]",fwd_ret_336h,1205,0.026063749101417656,-0.04135667396061271,0.42406639004149377,0.38540370204648783
upper_wick_ratio,"(0.118, 0.195]",fwd_ret_672h,1152,0.044965618153630676,-0.08037709285799349,0.3862847222222222,0.6458602033309692
upper_wick_ratio,"(0.195, 0.309]",fwd_ret_4h,1262,9.890029404418293e-05,-0.0005027089937784668,0.4873217115689382,0.04629251592175468
upper_wick_ratio,"(0.195, 0.309]",fwd_ret_24h,1261,-0.0021068778868679992,-0.011334495845727766,0.4282315622521808,0.10403567192911514
upper_wick_ratio,"(0.195, 0.309]",fwd_ret_72h,1259,0.001178514490930592,-0.020967741935483897,0.4185861795075457,0.17878570234019728
upper_wick_ratio,"(0.195, 0.309]",fwd_ret_168h,1242,0.0060685797963247095,-0.03305559666118524,0.41304347826086957,0.2650809248303677
upper_wick_ratio,"(0.195, 0.309]",fwd_ret_336h,1205,0.03452799347721572,-0.04713549560472863,0.42406639004149377,0.39912363786042404
upper_wick_ratio,"(0.195, 0.309]",fwd_ret_672h,1163,0.04597673783613239,-0.08466222093360387,0.3834909716251075,0.6305790641055623
upper_wick_ratio,"(0.309, 0.9]",fwd_ret_4h,1263,-0.0005677544156495765,-0.0019706860450793284,0.4663499604117181,0.04751147608183625
upper_wick_ratio,"(0.309, 0.9]",fwd_ret_24h,1261,-0.004269058530661237,-0.013026052104208374,0.408406026962728,0.10575124033099981
upper_wick_ratio,"(0.309, 0.9]",fwd_ret_72h,1261,-0.004054937827634749,-0.01853302009919089,0.4282315622521808,0.15432686977118507
upper_wick_ratio,"(0.309, 0.9]",fwd_ret_168h,1246,0.0009063235622261108,-0.030182533539731715,0.42134831460674155,0.23008574721995861
upper_wick_ratio,"(0.309, 0.9]",fwd_ret_336h,1209,0.0226384596219341,-0.052928154558261165,0.41273779983457404,0.3336471981833223
upper_wick_ratio,"(0.309, 0.9]",fwd_ret_672h,1168,0.016654813060555745,-0.09474341685778526,0.3732876712328767,0.5413776781814298
lower_wick_ratio,"(-0.001, 0.00233]",fwd_ret_4h,1263,-0.0014351292885526044,-0.0018650192330108561,0.4663499604117181,0.03769732080208001
lower_wick_ratio,"(-0.001, 0.00233]",fwd_ret_24h,1262,-0.005771075463036041,-0.010350603027039162,0.401743264659271,0.08475957637394897
lower_wick_ratio,"(-0.001, 0.00233]",fwd_ret_72h,1259,-0.010050486816338605,-0.023415977961432466,0.409054805401112,0.14781141800391823
lower_wick_ratio,"(-0.001, 0.00233]",fwd_ret_168h,1241,-0.010183167841757188,-0.03860880663688582,0.40209508460918614,0.20188154953110363
lower_wick_ratio,"(-0.001, 0.00233]",fwd_ret_336h,1192,0.018536318661935416,-0.04881336960177818,0.41023489932885904,0.34495042326818065
lower_wick_ratio,"(-0.001, 0.00233]",fwd_ret_672h,1136,0.03339720666597087,-0.07656010375251471,0.4022887323943662,0.5763278237254026
