universe=948
평가 거래일: 23 개 (2026-05-11 ~ 2026-06-12)
필요 cutoff: 23 개
  [1/23] 2026-05-11: 70 passers  (elapsed=20s)
  [2/23] 2026-05-12: 100 passers  (elapsed=39s)
  [3/23] 2026-05-13: 111 passers  (elapsed=56s)
  [4/23] 2026-05-14: 131 passers  (elapsed=75s)
  [5/23] 2026-05-15: 112 passers  (elapsed=91s)
  [6/23] 2026-05-18: 130 passers  (elapsed=108s)
  [7/23] 2026-05-19: 137 passers  (elapsed=125s)
  [8/23] 2026-05-20: 128 passers  (elapsed=142s)
  [9/23] 2026-05-21: 109 passers  (elapsed=160s)
  [10/23] 2026-05-22: 105 passers  (elapsed=176s)
  [11/23] 2026-05-26: 105 passers  (elapsed=192s)
  [12/23] 2026-05-27: 105 passers  (elapsed=209s)
  [13/23] 2026-05-28: 81 passers  (elapsed=226s)
  [14/23] 2026-05-29: 75 passers  (elapsed=243s)
  [15/23] 2026-06-01: 84 passers  (elapsed=259s)
  [16/23] 2026-06-02: 86 passers  (elapsed=276s)
  [17/23] 2026-06-04: 88 passers  (elapsed=292s)
  [18/23] 2026-06-05: 84 passers  (elapsed=308s)
  [19/23] 2026-06-08: 87 passers  (elapsed=324s)
  [20/23] 2026-06-09: 97 passers  (elapsed=343s)
  [21/23] 2026-06-10: 80 passers  (elapsed=361s)
  [22/23] 2026-06-11: 65 passers  (elapsed=378s)
  [23/23] 2026-06-12: 98 passers  (elapsed=396s)
