eval_date,next_date,bucket,Symbol,Name,today_ret_pct,next_ret_pct
2026-05-12,2026-05-13,B,001270,부국증권,-2.9729729729729732,1.6713091922005572
2026-05-12,2026-05-13,B,100840,SNT에너지,-2.6365348399246704,-0.9671179883945842
2026-05-12,2026-05-13,B,006800,미래에셋증권,-6.423173803526448,-1.8842530282637955
2026-05-12,2026-05-13,B,375500,DL이앤씨,-5.914567360350493,-3.143189755529686
2026-05-12,2026-05-13,B,097230,HJ중공업,-6.273062730627306,-3.346456692913386
2026-05-12,2026-05-13,B,064350,현대로템,-2.050113895216401,0.0
2026-05-13,2026-05-14,B,023590,다우기술,-2.2598870056497176,2.5433526011560694
2026-05-13,2026-05-14,B,138040,메리츠금융지주,-0.9302325581395349,3.3802816901408446
2026-05-13,2026-05-14,A,097230,HJ중공업,-3.346456692913386,0.6109979633401221
2026-05-13,2026-05-14,B,001515,SK증권우,-10.51051051051051,-4.138702460850112
2026-05-14,2026-05-15,B,100840,SNT에너지,-3.80859375,-6.395939086294416
2026-05-14,2026-05-15,B,001510,SK증권,0.0,-7.039106145251396
2026-05-14,2026-05-15,B,064350,현대로템,-1.1627906976744187,-5.176470588235294
2026-05-15,2026-05-18,B,007810,코리아써키트,-7.142857142857142,-9.340659340659341
2026-05-15,2026-05-18,A,138040,메리츠금융지주,-3.905540417801998,0.4725897920604915
2026-05-15,2026-05-18,A,023590,다우기술,-1.6910935738444193,1.3761467889908259
2026-05-18,2026-05-19,B,010130,고려아연,-0.42075736325385693,-3.2394366197183095
2026-05-18,2026-05-19,B,103140,풍산,-1.9384264538198404,0.813953488372093
2026-05-18,2026-05-19,B,017960,한국카본,-5.419354838709677,-1.0914051841746248
2026-05-19,2026-05-20,B,009970,영원무역홀딩스,-0.2521432173474533,-1.2133468149646107
2026-05-19,2026-05-20,B,016610,DB증권,-4.08,-4.587155963302752
2026-05-19,2026-05-20,A,047040,대우건설,-7.679180887372014,-1.478743068391867
2026-05-19,2026-05-20,B,010820,퍼스텍,-4.911092294665537,-2.7604630454140695
2026-05-19,2026-05-20,A,017960,한국카본,-1.0914051841746248,-2.344827586206897
2026-05-20,2026-05-21,B,322000,HD현대에너지솔루션,-7.012987012987012,4.134078212290502
2026-05-20,2026-05-21,B,100840,SNT에너지,-6.514285714285714,6.112469437652812
2026-05-20,2026-05-21,B,103140,풍산,-2.5374855824682814,1.183431952662722
2026-05-20,2026-05-21,B,001720,신영증권,-2.5802752293577984,6.003531489111242
2026-05-20,2026-05-21,B,010060,OCI홀딩스,-5.772495755517826,1.0810810810810811
2026-05-20,2026-05-21,A,047040,대우건설,-1.478743068391867,6.378986866791744
2026-05-26,2026-05-27,B,023590,다우기술,-2.5056947608200453,-4.0887850467289715
2026-05-26,2026-05-27,A,017960,한국카본,-0.8152173913043478,-4.657534246575342
2026-05-27,2026-05-28,B,322000,HD현대에너지솔루션,-5.725765946760422,-4.3686734150239745
2026-05-27,2026-05-28,B,138040,메리츠금융지주,-1.6901408450704223,-1.6236867239732569
2026-05-27,2026-05-28,B,010130,고려아연,-3.32409972299169,-2.220630372492837
2026-05-27,2026-05-28,B,002030,아세아,-2.9748283752860414,-4.245283018867925
2026-05-27,2026-05-28,B,047040,대우건설,-9.168081494057725,-4.859813084112149
2026-05-28,2026-05-29,B,229640,LS에코에너지,-6.675392670157068,-3.0855539971949506
2026-05-28,2026-05-29,B,001440,대한전선,-3.5317860746720484,-4.916317991631799
2026-05-28,2026-05-29,B,001720,신영증권,-2.9099048684946838,-0.8645533141210375
2026-05-29,2026-06-01,A,229640,LS에코에너지,-3.0855539971949506,2.3154848046309695
2026-05-29,2026-06-01,B,002020,코오롱,-4.477611940298507,-4.6875
2026-06-01,2026-06-02,B,001720,신영증권,-1.0465116279069768,5.699177438307873
2026-06-02,2026-06-04,B,138040,메리츠금융지주,0.0,0.3770028275212064
2026-06-02,2026-06-04,B,010060,OCI홀딩스,-9.82905982905983,-1.579778830963665
2026-06-02,2026-06-04,B,006260,LS,-8.690987124463518,2.3501762632197414
2026-06-02,2026-06-04,B,039490,키움증권,-4.4619422572178475,2.197802197802198
2026-06-04,2026-06-05,A,010060,OCI홀딩스,-1.579778830963665,-4.173354735152488
2026-06-04,2026-06-05,B,010120,LS ELECTRIC,-0.8281573498964804,-5.219206680584551
2026-06-05,2026-06-08,B,010140,삼성중공업,-2.2887323943661975,-5.9459459459459465
2026-06-05,2026-06-08,B,000157,두산2우B,-4.385964912280701,-9.887869520897045
2026-06-05,2026-06-08,B,034020,두산에너빌리티,-3.6290322580645165,-10.251046025104603
2026-06-05,2026-06-08,A,001290,상상인증권,-0.40691759918616477,-10.112359550561797
2026-06-05,2026-06-08,B,082740,한화엔진,-1.7452006980802792,-8.348134991119005
2026-06-05,2026-06-08,B,006110,삼아알미늄,-11.887254901960784,-12.378303198887343
2026-06-08,2026-06-09,B,353200,대덕전자,-8.333333333333332,9.234073013600574
2026-06-08,2026-06-09,B,100840,SNT에너지,-9.43952802359882,4.723127035830619
2026-06-08,2026-06-09,B,000155,두산우,-11.147540983606557,0.36900369003690037
2026-06-08,2026-06-09,B,001720,신영증권,-14.23432682425488,2.696225284601558
2026-06-08,2026-06-09,B,272210,한화시스템,-8.562367864693446,0.11560693641618498
2026-06-08,2026-06-09,B,103590,일진전기,-8.620689655172415,6.46900269541779
2026-06-08,2026-06-09,B,047040,대우건설,-6.206896551724138,3.1862745098039214
2026-06-08,2026-06-09,B,336260,두산퓨얼셀,-13.995215311004786,0.13908205841446453
2026-06-08,2026-06-09,B,047050,포스코인터내셔널,-6.3247863247863245,2.737226277372263
2026-06-09,2026-06-10,B,267250,HD현대,-2.82258064516129,0.6224066390041494
2026-06-10,2026-06-11,A,35320K,대덕전자1우,-4.841149773071105,5.5643879173290935
2026-06-10,2026-06-11,A,047040,대우건설,-1.4251781472684086,-3.614457831325301
2026-06-11,2026-06-12,A,047040,대우건설,-3.614457831325301,9.25
