621 USDT-M perpetual symbols on Bitget (granularity=1h)
[   5/621] 1000CATUSDT          rows= 15281  ( 0.1s)
[   4/621] 1000BONKUSDT         rows= 19871  ( 0.1s)
[   2/621] 1000000MOGUSDT       rows= 16080  ( 0.2s)
[   1/621] 0GUSDT               rows=  6483  ( 0.2s)
[   3/621] 10000NEXUSDT         rows=   595  ( 0.2s)
[   6/621] 1000RATSUSDT         rows= 21885  ( 0.1s)
[   7/621] 1000SATSUSDT         rows= 21958  ( 0.1s)
[   8/621] 1000XECUSDT          rows= 25772  ( 0.1s)
[   9/621] 1INCHUSDT            rows= 34509  ( 0.1s)
[  10/621] 1MBABYDOGEUSDT       rows= 15281  ( 0.1s)
[  11/621] 1MCHEEMSUSDT         rows= 13652  ( 0.1s)
[  12/621] 2ZUSDT               rows=  6144  ( 0.1s)
[  13/621] 4USDT                rows=  5975  ( 0.1s)
[  14/621] AAOIUSDT             rows=  1298  ( 0.1s)
[  15/621] AAPLUSDT             rows=  7029  ( 0.1s)
[  16/621] AAVEUSDT             rows= 46007  ( 0.1s)
[  17/621] ACEUSDT              rows= 21814  ( 0.1s)
[  18/621] ACHRUSDT             rows=   477  ( 0.1s)
[  19/621] ACHUSDT              rows= 28871  ( 0.1s)
[  20/621] ACTUSDT              rows= 13943  ( 0.1s)
[  21/621] ACUUSDT              rows=  3474  ( 0.1s)
[  22/621] ACXUSDT              rows= 13340  ( 0.1s)
[  23/621] ADAUSDT              rows= 51023  ( 0.1s)
[  24/621] ADBEUSDT             rows=   164  ( 0.1s)
[  25/621] ADVANTESTUSDT        rows=   243  ( 0.1s)
[  26/621] AEHRUSDT             rows=   116  ( 0.1s)
[  27/621] AEROUSDT             rows= 14085  ( 0.1s)
[  28/621] AEVOUSDT             rows= 19555  ( 0.1s)
[  29/621] AGLDUSDT             rows= 25505  ( 0.1s)
[  30/621] AINUSDT              rows=  8155  ( 0.1s)
[  31/621] AIOUSDT              rows=  7340  ( 0.1s)
[  32/621] AIXBTUSDT            rows= 12984  ( 0.1s)
[  33/621] AKTUSDT              rows= 15719  ( 0.1s)
[  34/621] ALCHUSDT             rows= 12573  ( 0.1s)
[  35/621] ALGOUSDT             rows= 37556  ( 0.1s)
[  36/621] ALICEUSDT            rows= 16609  ( 0.1s)
[  37/621] ALLOUSDT             rows=  5177  ( 0.1s)
[  38/621] ALTUSDT              rows= 20808  ( 0.1s)
[  39/621] AMATUSDT             rows=  1464  ( 0.1s)
[  40/621] AMCUSDT              rows=   164  ( 0.1s)
[  41/621] AMDUSDT              rows=  1464  ( 0.1s)
[  42/621] AMZNUSDT             rows=  7029  ( 0.1s)
[  43/621] ANIMEUSDT            rows= 12185  ( 0.1s)
[  44/621] ANKRUSDT             rows= 28947  ( 0.1s)
[  45/621] ANTHROPICUSDT        rows=   313  ( 0.1s)
[  46/621] APEUSDT              rows= 36692  ( 0.1s)
[  47/621] API3USDT             rows= 33600  ( 0.1s)
[  48/621] APLDUSDT             rows=  1152  ( 0.1s)
[  49/621] APPUSDT              rows=  6694  ( 0.1s)
[  50/621] APRUSDT              rows=  5636  ( 0.1s)
[  52/621] ARBUSDT              rows= 28313  ( 0.1s)
[  51/621] APTUSDT              rows= 32045  ( 0.1s)
[  53/621] ARCUSDT              rows= 12330  ( 0.1s)
[  54/621] ARIAUSDT             rows=  6836  ( 0.1s)
[  55/621] ARKMUSDT             rows= 25250  ( 0.1s)
[  56/621] ARKUSDT              rows= 15118  ( 0.1s)
[  57/621] ARMUSDT              rows=  6718  ( 0.1s)
[  58/621] ARPAUSDT             rows= 27669  ( 0.1s)
[  59/621] ARQQUSDT             rows=   477  ( 0.1s)
[  60/621] ARUSDT               rows= 39094  ( 0.1s)
[  61/621] ASMLUSDT             rows=  6718  ( 0.1s)
[  62/621] ASRUSDT              rows=  9719  ( 0.1s)
[  63/621] ASTERUSDT            rows=  6449  ( 0.1s)
[  64/621] ASTRUSDT             rows= 28993  ( 0.1s)
[  65/621] ASTSUSDT             rows=   647  ( 0.1s)
[  66/621] ATHUSDT              rows= 17520  ( 0.1s)
[  67/621] ATOMUSDT             rows= 49324  ( 0.1s)
[  68/621] ATUSDT               rows=  5381  ( 0.1s)
[  69/621] AUCTIONUSDT          rows= 11591  ( 0.1s)
[  70/621] AUSDT                rows=  9191  ( 0.1s)
[  71/621] AVAUSDT              rows= 13171  ( 0.1s)
[  72/621] AVAVUSDT             rows=   331  ( 0.1s)
[  73/621] AVAXUSDT             rows= 41285  ( 0.1s)
[  74/621] AVGOUSDT             rows=  2970  ( 0.1s)
[  75/621] AVNTUSDT             rows=  6694  ( 0.1s)
[  77/621] AXLUSDT              rows= 19777  ( 0.1s)
[  78/621] AXONUSDT             rows=   331  ( 0.1s)
[  76/621] AWEUSDT              rows=  9359  ( 0.1s)
[  79/621] AXSUSDT              rows= 41420  ( 0.1s)
[  80/621] AXTIUSDT             rows=   840  ( 0.1s)
[  81/621] AZTECUSDT            rows=  2950  ( 0.1s)
[  82/621] B2USDT               rows=  9861  ( 0.1s)
[  83/621] BABAUSDT             rows=  6718  ( 0.1s)
[  84/621] BABYUSDT             rows= 10342  ( 0.1s)
[  85/621] BANANAS31USDT        rows= 10846  ( 0.1s)
[  86/621] BANANAUSDT           rows= 16679  ( 0.1s)
[  87/621] BANDUSDT             rows= 33600  ( 0.1s)
[  88/621] BANKUSDT             rows= 10148  ( 0.1s)
[  89/621] BANUSDT              rows= 13772  ( 0.1s)
[  90/621] BARDUSDT             rows=  6479  ( 0.1s)
[  91/621] BASEDUSDT            rows=  1845  ( 0.1s)
[  92/621] BASUSDT              rows=  7025  ( 0.1s)
[  93/621] BATUSDT              rows= 31198  ( 0.1s)
[  94/621] BAUSDT               rows=  1607  ( 0.1s)
[  95/621] BBSTOCKUSDT          rows=   264  ( 0.1s)
[  96/621] BBUSDT               rows= 18306  ( 0.1s)
[  97/621] BCHUSDT              rows= 56575  ( 0.1s)
[  98/621] BEAMUSDT             rows= 19777  ( 0.1s)
[  99/621] BEATUSDT             rows=  5155  ( 0.1s)
[ 100/621] BERAUSDT             rows= 11849  ( 0.1s)
[ 101/621] BEUSDT               rows=  1298  ( 0.1s)
[ 102/621] BGBUSDT              rows= 17038  ( 0.1s)
[ 103/621] BICOUSDT             rows= 18073  ( 0.1s)
[ 104/621] BIGTIMEUSDT          rows= 23442  ( 0.1s)
[ 105/621] BILLUSDT             rows=   960  ( 0.1s)
[ 106/621] BIOUSDT              rows= 12669  ( 0.1s)
[ 107/621] BIRBUSDT             rows=  3290  ( 0.1s)
[ 108/621] BLESSUSDT            rows=  6357  ( 0.1s)
[ 109/621] BLURUSDT             rows= 29042  ( 0.1s)
[ 110/621] BNBUSDT              rows= 56575  ( 0.1s)
[ 111/621] BNTUSDT              rows= 24932  ( 0.1s)
[ 112/621] BOMEUSDT             rows= 19627  ( 0.1s)
[ 113/621] BRETTUSDT            rows= 17545  ( 0.1s)
[ 115/621] BRKBUSDT             rows=   477  ( 0.1s)
[ 114/621] BREVUSDT             rows=  3833  ( 0.1s)
[ 116/621] BROCCOLIUSDT         rows= 11660  ( 0.1s)
[ 117/621] BRUSDT               rows= 10842  ( 0.1s)
[ 118/621] BSBUSDT              rows=  1963  ( 0.1s)
[ 119/621] BSVUSDT              rows= 27165  ( 0.1s)
[ 120/621] BTCUSDT              rows= 56575  ( 0.1s)
[ 122/621] BUSDT                rows=  9335  ( 0.1s)
[ 121/621] BTWUSDT              rows=   256  ( 0.1s)
[ 123/621] BXUSDT               rows=   164  ( 0.1s)
[ 124/621] BZUSDT               rows=  1797  ( 0.1s)
[ 125/621] C98USDT              rows= 35444  ( 0.1s)
[ 126/621] CAKEUSDT             rows= 19436  ( 0.1s)
[ 127/621] CARVUSDT             rows= 14662  ( 0.1s)
[ 128/621] CATIUSDT             rows= 15188  ( 0.1s)
