664 USDT-M perpetual symbols on Bitget (granularity=1h)
[   1/664] 0GUSDT               rows=  6748  ( 0.2s)
[   2/664] 1000000MOGUSDT       rows= 16345  ( 0.2s)
[   3/664] 10000NEXUSDT         rows=   860  ( 0.2s)
[   4/664] 1000BONKUSDT         rows= 20136  ( 0.2s)
[   5/664] 1000CATUSDT          rows= 15546  ( 0.2s)
[   6/664] 1000RATSUSDT         rows= 22150  ( 0.1s)
[   7/664] 1000SATSUSDT         rows= 22223  ( 0.1s)
[   8/664] 1000XECUSDT          rows= 26037  ( 0.2s)
[   9/664] 1INCHUSDT            rows= 34774  ( 0.2s)
[  10/664] 1MBABYDOGEUSDT       rows= 15546  ( 0.2s)
[  11/664] 1MCHEEMSUSDT         rows= 13917  ( 0.1s)
[  12/664] 2ZUSDT               rows=  6409  ( 0.1s)
[  13/664] 4USDT                rows=  6240  ( 0.1s)
[  15/664] AAPLUSDT             rows=  7294  ( 0.1s)
[  14/664] AAOIUSDT             rows=  1563  ( 1.2s)
[  16/664] AAVEUSDT             rows= 46272  ( 0.2s)
[  17/664] ABNBUSDT             rows=   258  ( 0.2s)
[  18/664] ACEUSDT              rows= 22079  ( 0.2s)
[  19/664] ACHRUSDT             rows=   742  ( 0.2s)
[  20/664] ACHUSDT              rows= 29136  ( 0.2s)
[  21/664] ACTUSDT              rows= 14208  ( 0.1s)
[  22/664] ACUUSDT              rows=  3739  ( 0.1s)
[  23/664] ACXUSDT              rows= 13605  ( 0.1s)
[  24/664] ADAUSDT              rows= 51288  ( 0.2s)
[  25/664] ADBEUSDT             rows=   429  ( 0.2s)
[  26/664] ADIUSDT              rows=    91  ( 0.1s)
[  27/664] ADVANTESTUSDT        rows=   508  ( 0.1s)
[  28/664] AEHRUSDT             rows=   381  ( 0.1s)
[  29/664] AEROUSDT             rows= 14350  ( 0.1s)
[  30/664] AEVOUSDT             rows= 19820  ( 0.1s)
[  31/664] AGLDUSDT             rows= 25770  ( 0.1s)
[  32/664] AINUSDT              rows=  8420  ( 0.1s)
[  33/664] AIOUSDT              rows=  7605  ( 0.2s)
[  34/664] AIXBTUSDT            rows= 13249  ( 0.2s)
[  35/664] AKTUSDT              rows= 15984  ( 0.2s)
[  37/664] ALCHUSDT             rows= 12838  ( 0.1s)
[  36/664] ALABUSDT             rows=   187  ( 0.2s)
[  38/664] ALGOUSDT             rows= 37821  ( 0.2s)
[  39/664] ALICEUSDT            rows= 16874  ( 0.2s)
