eval_date,bucket,Symbol,Name,tf,angle_deg,residence_20,next_ret_pct
2026-05-12,B,008350,남선알미늄,1W,2.2740903299478727,1.0,-0.8238928939237898
2026-05-12,A,008260,NI스틸,1W,0.25434120626913576,0.7,-1.0869565217391304
2026-05-12,B,004700,조광피혁,1M,0.7784786928391473,0.95,-0.6472491909385114
2026-05-12,B,066970,엘앤에프,1W,1.6894792590538716,0.8,-3.428571428571429
2026-05-12,B,298020,효성티앤씨,1W,2.342432351800863,0.95,-2.5
2026-05-12,B,004960,한신공영,1W,1.0184020699304859,1.0,5.759539236861051
2026-05-12,B,011170,롯데케미칼,1W,0.9215743711492013,0.75,-3.1425364758698096
2026-05-12,B,006650,대한유화,1M,0.9904798049181387,0.5,-4.698874917273329
2026-05-12,A,024070,WISCOM,1W,0.5792533300306086,0.65,-6.637168141592921
2026-05-12,A,079430,현대리바트,1W,0.5669907516718674,0.75,-1.5277777777777777
2026-05-12,B,055490,테이팩스,1W,0.7050676994953282,0.6,5.925925925925927
2026-05-12,B,006800,미래에셋증권,1W,3.0398247156325944,1.0,-1.8842530282637957
2026-05-12,B,003530,한화투자증권,1W,1.3761527439819843,0.85,-4.336399474375821
2026-05-12,A,377300,카카오페이,1M,2.366828943456188,0.65,-11.284722222222223
2026-05-12,B,023810,인팩,1M,0.2245869469695775,0.3,1.9011406844106464
2026-05-12,B,100840,SNT에너지,1M,3.4377796805307623,1.0,-0.9671179883945842
2026-05-12,B,018670,SK가스,1W,0.35505419062513277,0.5,0.3710575139146568
2026-05-12,A,016740,두올,1W,0.7160342503018624,1.0,-0.8333333333333334
2026-05-12,B,036460,한국가스공사,1Q,0.6566635715921427,0.45,1.6348773841961852
2026-05-12,B,090080,평화산업,1W,0.1990416095239883,0.5,0.1023541453428864
2026-05-12,B,084010,대한제강,1M,0.9184709013476473,0.95,-1.3215859030837005
2026-05-12,B,000950,전방,1M,1.6500375579054583,0.7,-1.9933554817275747
2026-05-12,B,016880,웅진,1W,0.44577593707646024,0.45,-5.294117647058823
2026-05-12,B,383800,LX홀딩스,1M,0.6248375311788558,0.65,-1.4150943396226416
2026-05-12,B,002460,HS화성,1W,0.1173663393294187,0.85,0.2222222222222222
2026-05-12,B,001270,부국증권,1M,3.705777541353942,1.0,1.6713091922005572
2026-05-12,A,294870,IPARK현대산업개발,1W,0.33781119428446993,0.95,0.4434589800443459
2026-05-12,A,000540,흥국화재,1Q,0.539150788260786,0.4,-1.1349306431273645
2026-05-12,B,448730,삼성FN리츠,1W,0.9388391130909988,1.0,-3.5906642728904847
2026-05-12,B,026940,부국철강,1W,0.8646878259651088,0.35,-1.6032064128256511
2026-05-12,B,161000,애경케미칼,1W,1.2820067603905496,0.6,-0.218978102189781
2026-05-12,B,097230,HJ중공업,1M,6.481579712867314,0.95,-3.346456692913386
2026-05-12,B,003490,대한항공,1W,0.3405212890155544,0.85,3.6217303822937623
2026-05-12,B,031440,신세계푸드,1W,0.600071301119525,1.0,-0.7692307692307693
2026-05-12,B,009070,KCTC,1M,0.7305109875285479,0.65,-1.1320754716981132
2026-05-12,B,001550,조비,1M,0.4645894317987124,0.4,1.0598031794095382
2026-05-12,B,005070,코스모신소재,1W,0.6087285547956447,0.8,-2.636203866432337
2026-05-12,B,005420,코스모화학,1W,0.1995951458278096,0.5,-4.156327543424317
2026-05-12,B,023350,한국종합기술,1W,0.24782965547633404,0.55,1.2048192771084338
2026-05-12,B,001800,오리온홀딩스,1W,0.5059467929349308,0.9,-2.526315789473684
2026-05-12,B,034590,인천도시가스,1M,0.11491813339158197,0.65,-0.1886792452830188
2026-05-12,B,071055,한국금융지주우,1W,0.9723526471196315,1.0,-0.3462204270051933
2026-05-12,B,123700,SJM,1M,0.23806615192325725,0.55,-1.3458950201884252
2026-05-12,A,104700,한국철강,1W,0.014702534835897127,0.35,-1.2170385395537524
2026-05-12,B,001530,DI동일,1Q,1.7197093269671526,0.85,10.153256704980842
