symbol,combo,tf,ma_len,window,last_date,close,ma,px_vs_ma_pct,ma_slope_last3_pct,verdict,a_pct,b_pct,vertex_pos,r2
0GUSDT,1d_MA20,1d,20,10,2026-06-26,0.2162,0.27446000000000004,-21.22713692341326,-3.202370035973756,low_a,0.07695349850974242,-2.9057741630087217,2.0977850399419,0.9995347790684616
0GUSDT,1w_MA10,1w,10,10,2026-06-22,0.2162,0.41154999999999997,-47.46689345158547,-14.47245370851432,low_a,-0.36852830508111395,0.322251650560884,0.04857936074045711,0.9897908525679383
0GUSDT,1w_MA20,1w,20,10,2026-06-22,0.2162,0.49118000000000006,-55.9835498188037,-6.723510924162279,low_a,-0.06869161212968786,-3.2041505090472837,-2.591413363216213,0.9944812713883614
1000000MOGUSDT,1d_MA20,1d,20,10,2026-06-26,0.1064,0.11090499999999999,-4.062035075064241,0.3528932724064404,low_a,0.06187846927121636,-1.067540896732063,0.9584566052575835,0.9898945922160057
1000000MOGUSDT,1w_MA10,1w,10,10,2026-06-22,0.1064,0.13332,-20.192019201920196,-3.37730105812436,low_a,-0.12514082655900546,-0.08247351101791942,-0.03661364439731698,0.9803597380895822
1000000MOGUSDT,1w_MA20,1w,20,10,2026-06-22,0.1064,0.14159000000000002,-24.85345010240838,-4.653198653198654,low_a,-0.0061651746492325105,-3.825402795927033,-34.47142857144499,0.9761651155987827
1000000MOGUSDT,1M_MA10,1M,10,10,2026-06-01,0.1064,0.24877,-57.2295694818507,-43.10317224344167,low_a,-0.10401805344861272,-10.98097100616112,-5.8648852248336825,0.9666074980363242
10000NEXUSDT,1d_MA20,1d,20,10,2026-06-26,0.02079,0.0275235,-24.46454847675623,-3.392418392418406,low_a,-0.008365632507562046,-1.3840146078453277,-9.191140104032506,0.9991548963350947
1000BONKUSDT,1d_MA20,1d,20,10,2026-06-26,0.004158,0.0044563499999999995,-6.69494092699181,-0.3310110374288411,low_a,0.06159665020395406,-1.2811738274389912,1.1555226381781654,0.9969263647198147
1000BONKUSDT,1w_MA10,1w,10,10,2026-06-22,0.004158,0.0055572,-25.178147268408544,-4.920613194634549,low_a,-0.3238471119805374,2.427758130304466,0.41647878487700457,0.9600650185949942
1000BONKUSDT,1w_MA20,1w,20,10,2026-06-22,0.004158,0.0057085,-27.16125076640098,-3.8754599109225074,low_a,-0.0665687343623538,-2.2074166590898785,-1.8422200754304738,0.9753285672732123
1000BONKUSDT,1M_MA10,1M,10,10,2026-06-01,0.004158,0.0084804,-50.96929390123108,-31.31889046365661,low_a,-0.23946555592610314,-5.738641909303185,-1.3313540570490872,0.9824590536286968
1000CATUSDT,1d_MA20,1d,20,10,2026-06-26,0.00131,0.0014497,-9.636476512381876,-1.1624339526163263,low_a,0.07204485903447122,-1.8925728109435154,1.459409253490229,0.9964417973698325
1000CATUSDT,1w_MA10,1w,10,10,2026-06-22,0.00131,0.0017407000000000002,-24.742919515137597,-3.466060337178345,low_a,-0.2610856719943501,2.738792972308668,0.5827786870340091,0.939568539333233
1000CATUSDT,1w_MA20,1w,20,10,2026-06-22,0.00131,0.0017161500000000003,-23.666346181860575,-3.342720360461826,low_a,0.005617516798639799,-2.7298711485281695,26.997606538228272,0.9845314716417715
1000CATUSDT,1M_MA10,1M,10,10,2026-06-01,0.00131,0.0028665,-54.299668585382875,-33.00535209292541,vertex_out,1.1625636830400499,-23.56053890845833,1.125890002709291,0.9536340419073075
1000RATSUSDT,1d_MA20,1d,20,10,2026-06-26,0.0315,0.0290045,8.603837335585851,1.7648193954703961,vertex_out,0.10114770287380113,-1.594584300636561,0.8758282609003954,0.915619342508224
1000RATSUSDT,1w_MA10,1w,10,10,2026-06-22,0.0315,0.033008,-4.568589432864767,-3.332747613190401,low_a,-0.11105095850858632,-1.961114732104074,-0.981088501291976,0.9524014553459073
1000RATSUSDT,1w_MA20,1w,20,10,2026-06-22,0.0315,0.037756,-16.56955185930713,-6.722336141512464,low_a,-0.19985024482872146,-0.037034945685785546,-0.010295193705201548,0.9936249618470648
1000RATSUSDT,1M_MA10,1M,10,10,2026-06-01,0.0315,0.038216999999999994,-17.575947876599407,8.426249042471689,vertex_out,0.4552350737748604,0.052520479099648756,-0.006409445498630342,0.9339545012564134
1000RATSUSDT,1M_MA20,1M,20,10,2026-06-01,0.0315,0.0377925,-16.65012899384798,-18.08102484068148,vertex_out,0.9064520488106094,-17.736251422002397,1.0870374252176578,0.9828334889057856
1000SATSUSDT,1d_MA20,1d,20,10,2026-06-26,9.1e-06,9.594500000000001e-06,-5.1539944760019,-0.28062152471026724,low_a,0.03638108384363288,-0.9719056971426129,1.4841438255231394,0.9899546512792902
1000SATSUSDT,1w_MA10,1w,10,10,2026-06-22,9.1e-06,1.2038e-05,-24.406047516198715,-4.596608020288462,low_a,-0.3833650981326419,3.988228641848953,0.5779562588241567,0.9755596107609644
1000SATSUSDT,1w_MA20,1w,20,10,2026-06-22,9.1e-06,1.1617e-05,-21.666523198760444,-2.1808689794543534,low_a,-0.09721625651875462,-0.7308859163447463,-0.4176747242106607,0.9655732406812324
1000SATSUSDT,1M_MA10,1M,10,10,2026-06-01,9.1e-06,1.6031e-05,-43.23498222194498,-25.294748124330123,vertex_out,2.394264007156951,-38.59747557776995,0.8956005654995552,0.9888824256558987
1000SATSUSDT,1M_MA20,1M,20,10,2026-06-01,9.1e-06,5.9025500000000006e-05,-84.58293449441344,-30.688296666842795,vertex_out,0.5453219545351827,-17.200820400521277,1.7523613810429124,0.9920638992847445
1000XECUSDT,1d_MA20,1d,20,10,2026-06-26,0.00503,0.0053755,-6.427309087526744,-0.7935775583648552,low_a,0.06567987324293723,-1.6145708168200181,1.3656904966982222,0.9981731995334175
1000XECUSDT,1w_MA10,1w,10,10,2026-06-22,0.00503,0.006543,-23.12394925874981,-4.787543655413273,low_a,-0.25706719143530266,1.763418699948613,0.38109766168802106,0.9435318937370011
1000XECUSDT,1w_MA20,1w,20,10,2026-06-22,0.00503,0.006811999999999999,-26.15971814445096,-4.413106012769241,low_a,-0.04701987445496621,-2.2231940974515454,-2.6267782426779194,0.9924057172096026
1000XECUSDT,1M_MA10,1M,10,10,2026-06-01,0.00503,0.009698,-48.13363580119613,-22.8173497811381,vertex_out,0.15693503103620193,-10.242341152182139,3.6258249617177305,0.997485584648195
1000XECUSDT,1M_MA20,1M,20,10,2026-06-01,0.00503,0.017883,-71.87272828943689,-13.866679510644442,vertex_out,0.22145992280566223,-8.512034514747878,2.1353335645739295,0.9963076193431778
1INCHUSDT,1d_MA20,1d,20,10,2026-06-26,0.0684,0.072115,-5.1514941413020825,-0.06236141906874604,low_a,0.06349134661666327,-1.1779694152671316,1.030734876167251,0.9960439708368114
1INCHUSDT,1w_MA10,1w,10,10,2026-06-22,0.0684,0.08481,-19.34913335691545,-4.814814814814817,low_a,-0.22846555620887088,1.182795483510581,0.2876182357000772,0.9916838145743947
1INCHUSDT,1w_MA20,1w,20,10,2026-06-22,0.0684,0.088285,-22.523645013309167,-3.828976034858389,low_a,0.042315715060909344,-3.3857852084475057,4.445137651020035,0.994836773642479
1INCHUSDT,1M_MA10,1M,10,10,2026-06-01,0.0684,0.12814,-46.620883408771654,-20.774081859774938,low_a,-0.014221967364566641,-6.260607555944326,-24.455936507937142,0.9884066923040599
1INCHUSDT,1M_MA20,1M,20,10,2026-06-01,0.0684,0.19649,-65.18906814596163,-8.592296241161145,vertex_out,0.3174555816877786,-8.414483105905347,1.472556510665394,0.9984120661795396
1MBABYDOGEUSDT,1d_MA20,1d,20,10,2026-06-26,0.0002923,0.00032657500000000006,-10.49529204623748,-0.9493334950940846,low_a,0.05977632864107796,-1.4593188220987696,1.3562771374129354,0.9968853287635538
1MBABYDOGEUSDT,1w_MA10,1w,10,10,2026-06-22,0.0002923,0.00038234,-23.54972014437412,-4.201849114279266,low_a,-0.2455720241073549,1.9511930769129688,0.44141679321202143,0.9415027032350533
1MBABYDOGEUSDT,1w_MA20,1w,20,10,2026-06-22,0.0002923,0.00038686,-24.44295093832394,-2.9075531127257137,low_a,0.026931397843701976,-2.9347241382871565,6.053908930054654,0.9851587624540594
1MBABYDOGEUSDT,1M_MA10,1M,10,10,2026-06-01,0.0002923,0.00058937,-50.4046693927414,-23.154051763478712,vertex_out,0.4202402372914543,-13.513160498743604,1.7864332641198881,0.9897789255387831
1MCHEEMSUSDT,1d_MA20,1d,20,10,2026-06-26,0.4699,0.5305150000000001,-11.425690131287535,-0.3325286265816074,low_a,0.05413579647688898,-1.2036444083014342,1.2352110460418015,0.9957002234637258
1MCHEEMSUSDT,1w_MA10,1w,10,10,2026-06-22,0.4699,0.58351,-19.470103340131274,0.8573157030507206,low_a,-0.15309451521987777,4.0386798215844735,1.4655724333225824,0.990135931359203
1MCHEEMSUSDT,1w_MA20,1w,20,10,2026-06-22,0.4699,0.5206700000000001,-9.750897881575682,-1.4694333267099902,vertex_out,0.1657767185352953,-4.229283838779081,1.4173293773786424,0.9926518573502974
1MCHEEMSUSDT,1M_MA10,1M,10,10,2026-06-01,0.4699,0.7924599999999999,-40.703631729046265,-14.847846643170303,low_a,-0.7545213573474318,1.5407127093250115,0.11344297902841537,0.9502160135414031
2ZUSDT,1d_MA20,1d,20,10,2026-06-26,0.06533,0.0700515,-6.740041255362128,-0.5338823612935362,low_a,0.08700540687810548,-1.6724757352724,1.0679257986393733,0.9969796784012365
2ZUSDT,1w_MA10,1w,10,10,2026-06-22,0.06533,0.084344,-22.5433937209523,-2.1565374754938915,low_a,-0.32964337878983085,4.042061090282745,0.6812178369380306,0.9626293541767941
2ZUSDT,1w_MA20,1w,20,10,2026-06-22,0.06533,0.08026849999999999,-18.610662962432333,-3.2676548565919616,low_a,-0.10192674400683005,-0.8753949259019159,-0.47713730005675903,0.9870586493691063
4USDT,1d_MA20,1d,20,10,2026-06-26,0.009154,0.008910900000000001,2.728119494102721,0.5807358244586336,low_a,0.08008617644183155,-0.7129463476131448,0.4945688779601158,0.8797057124762157
4USDT,1w_MA10,1w,10,10,2026-06-22,0.009154,0.0101465,-9.78169812250529,-4.7455876830642225,low_a,-0.665523972935268,5.394161873343354,0.450285296724141,0.8833673390673432
4USDT,1w_MA20,1w,20,10,2026-06-22,0.009154,0.01024375,-10.63819402074434,-1.6017482349550916,vertex_out,0.1943421301265218,-6.41707673037806,1.8344157417986904,0.973635819462561
AAOIUSDT,1d_MA20,1d,20,10,2026-06-26,132.67,167.5675,-20.825935816909613,-2.979781604270648,low_a,-0.1161162516589381,0.35854249666422155,0.1715438391084464,0.9956752377365334
