symbol,tf,ma_len,window,last_date,close,ma,px_vs_ma_pct,ma_slope_last3_pct,verdict,a_pct,b_pct,vertex_pos,r2
0GUSDT,1w,10,10,2026-06-15,0.3071,0.45055999999999996,-31.84037642045454,-9.981619116119255,low_a(-0.206),-0.2055988940656082,-0.4381261687012414,-0.11838751767729512,0.9856393162352153
1000000MOGUSDT,1w,10,10,2026-06-15,0.1194,0.13705,-12.878511492156141,-2.358221715588471,low_a(-0.101),-0.100798923245134,-0.09278535640232355,-0.05113885998380592,0.9622683961452742
1000BONKUSDT,1w,10,10,2026-06-15,0.004822,0.0057655,-16.364582429971374,-3.0242376330883225,low_r2(0.77),-0.23416024359198154,2.0835362075635606,0.4943281991669088,0.7730914702819021
1000CATUSDT,1w,10,10,2026-06-15,0.001553,0.0018003,-13.736599455646282,-0.7935195900148906,low_a(-0.150),-0.1496356083939784,2.1534426465337226,0.7995135908440705,0.9215575851284377
1000RATSUSDT,1w,10,10,2026-06-15,0.02783,0.033184000000000005,-16.134281581485066,-5.879683467112895,low_a(-0.223),-0.22309185776992294,-0.7867546811611426,-0.1959219571469901,0.9718490491022681
1000SATSUSDT,1w,10,10,2026-06-15,1.002e-05,1.2556000000000001e-05,-20.197515132207712,-1.0637459617051315,low_a(-0.317),-0.3167256818823283,4.100607619870956,0.7192707995239652,0.9827956446002212
1000XECUSDT,1w,10,10,2026-06-15,0.0057,0.006767,-15.76769617260233,-3.2871230527368733,low_r2(0.58),-0.13221841052029765,0.9377003309250342,0.3940030940030945,0.57588645252538
1INCHUSDT,1w,10,10,2026-06-15,0.0764,0.08762,-12.805295594613108,-3.2678295429454662,low_a(-0.190),-0.19043512272798585,1.2479296390244408,0.36405797101449416,0.9606257185315139
1MBABYDOGEUSDT,1w,10,10,2026-06-15,0.000346,0.00039596000000000005,-12.617436104657042,-1.7176330420968888,low_r2(0.85),-0.180099212827465,1.7907174918179127,0.5523861184018672,0.8456921385401933
1MCHEEMSUSDT,1w,10,10,2026-06-15,0.5625,0.59224,-5.021612859651492,5.5103240633518125,low_a(-0.002),-0.0019524551993952055,2.9980311152516634,85.30658436221273,0.9954035240658015
2ZUSDT,1w,10,10,2026-06-15,0.07043,0.085609,-17.730612435608407,-2.548720517257075,low_a(-0.239),-0.23922652780408132,3.6808337082579476,0.8547996890100633,0.9492932434800748
4USDT,1w,10,10,2026-06-15,0.008897,0.0102197,-12.9426499799407,-8.567364211392725,low_a(-0.662),-0.6623271383347731,6.19953499644054,0.5200128319961381,0.8740352400096537
AAOIUSDT,1d,20,15,2026-06-15,190.76,178.759,6.713508131059132,-0.022651070053347766,low_r2(0.17),-0.0013854461190958727,-0.02551426282454855,-0.6577113752355522,0.17247684907841332
