Symbol,Name,close,Fri_close,today_ret_pct,passed_TFs,group
000150,두산,1709000.0,1896000.0,-9.862869198312236,1W,maintained
000990,DB하이텍,161200.0,174300.0,-7.515777395295467,1W,maintained
007660,이수페타시스,118900.0,122400.0,-2.8594771241830066,1M,maintained
404990,신한서부티엔디리츠,4115.0,4180.0,-1.555023923444976,1M,maintained
009290,광동제약,6300.0,6380.0,-1.2539184952978055,1M,maintained
453340,현대그린푸드,17580.0,17780.0,-1.124859392575928,1W,maintained
248070,솔루엠,18920.0,19000.0,-0.42105263157894735,1W,maintained
007120,미래아이앤지,1291.0,1291.0,0.0,1M,maintained
005010,휴스틸,4635.0,4630.0,0.10799136069114472,1M,maintained
035420,NAVER,248000.0,247000.0,0.4048582995951417,1M,maintained
010400,우진아이엔에스,3780.0,3760.0,0.5319148936170213,1M,maintained
057050,현대홈쇼핑,81900.0,81400.0,0.6142506142506142,1W,maintained
014710,사조씨푸드,7300.0,7240.0,0.8287292817679558,1M,maintained
454910,두산로보틱스,111400.0,110400.0,0.9057971014492754,1W,maintained
014910,성문전자,2120.0,2100.0,0.9523809523809524,1W,maintained
058430,포스코스틸리온,5670.0,5610.0,1.06951871657754,1W,maintained
030200,KT,55400.0,54800.0,1.094890510948905,1M,maintained
005500,삼진제약,19540.0,19310.0,1.1910926980838943,1M,maintained
084670,동양고속,36700.0,36150.0,1.5214384508990317,1M,maintained
034220,LG디스플레이,14130.0,13900.0,1.6546762589928057,1W,maintained
00806K,대덕1우,12530.0,12290.0,1.9528071602929211,1W,maintained
004150,한솔홀딩스,3640.0,3530.0,3.1161473087818696,1W,maintained
010690,화신,10780.0,10330.0,4.356243949661181,1M,maintained
322000,HD현대에너지솔루션,158100.0,150500.0,5.04983388704319,1W,maintained
088350,한화생명,5250.0,4970.0,5.633802816901409,1W,maintained
336260,두산퓨얼셀,77700.0,73100.0,6.292749658002736,1W,maintained
204320,HL만도,70600.0,65000.0,8.615384615384615,1W,maintained
005850,에스엘,75900.0,67700.0,12.112259970457902,1W,maintained
