ts,#1,#2,#3
05-23 00:00,HYPEUSDT,VVVUSDT,QNTUSDT
05-23 01:00,NEARUSDT,AKTUSDT,GRASSUSDT
05-23 02:00,INJUSDT,ONDOUSDT,TIAUSDT
05-23 03:00,JCTUSDT,ARKMUSDT,SAPIENUSDT
05-23 04:00,BEATUSDT,CUSDT,GENIUSUSDT
05-23 05:00,RECALLUSDT,B2USDT,TAGUSDT
05-23 06:00,2ZUSDT,ALLOUSDT,YBUSDT
05-23 07:00,HUMAUSDT,ATOMUSDT,JSTUSDT
05-23 08:00,QNTUSDT,RECALLUSDT,JCTUSDT
05-23 09:00,NEARUSDT,INUSDT,CUSDT
05-23 10:00,JSTUSDT,TAGUSDT,GENIUSUSDT
05-23 11:00,BICOUSDT,ICXUSDT,2ZUSDT
05-23 12:00,HYPEUSDT,GRASSUSDT,POLYXUSDT
05-23 13:00,1MCHEEMSUSDT,DEXEUSDT,FOLKSUSDT
05-23 14:00,BEATUSDT,ESPORTSUSDT,MTLUSDT
05-23 15:00,BANUSDT,GMTUSDT,RIVERUSDT
05-23 16:00,DEXEUSDT,1MCHEEMSUSDT,JCTUSDT
05-23 17:00,MTLUSDT,BANUSDT,NEARUSDT
05-23 18:00,INUSDT,QNTUSDT,ESPORTSUSDT
05-23 19:00,GRASSUSDT,HYPEUSDT,NXPCUSDT
05-23 20:00,KAITOUSDT,JSTUSDT,GMTUSDT
05-23 21:00,USUSDT,TAGUSDT,USELESSUSDT
05-23 22:00,MORPHOUSDT,BANKUSDT,BEATUSDT
05-23 23:00,FFUSDT,BSBUSDT,FOLKSUSDT
05-24 00:00,QNTUSDT,INUSDT,HYPEUSDT
05-24 01:00,JCTUSDT,NEARUSDT,BEATUSDT
05-24 02:00,GMTUSDT,ESPORTSUSDT,1MCHEEMSUSDT
05-24 03:00,GRASSUSDT,BANUSDT,MANTAUSDT
05-24 04:00,GRTUSDT,DASHUSDT,GENIUSUSDT
05-24 05:00,FFUSDT,TRXUSDT,NXPCUSDT
05-24 06:00,APRUSDT,MEUSDT,HOMEUSDT
05-24 07:00,MORPHOUSDT,USELESSUSDT,SAPIENUSDT
05-24 08:00,NEARUSDT,QNTUSDT,GRASSUSDT
05-24 09:00,KAITOUSDT,GENIUSUSDT,GMTUSDT
05-24 10:00,USELESSUSDT,HYPEUSDT,APRUSDT
05-24 11:00,ZECUSDT,BANUSDT,EIGENUSDT
05-24 12:00,1MCHEEMSUSDT,BASUSDT,BICOUSDT
05-24 13:00,BEATUSDT,FFUSDT,ARKMUSDT
05-24 14:00,INUSDT,STABLEUSDT,INJUSDT
05-24 15:00,DEXEUSDT,ZAMAUSDT,SUPERUSDT
05-24 16:00,GRASSUSDT,QNTUSDT,NEARUSDT
05-24 17:00,DEXEUSDT,KAITOUSDT,SUPERUSDT
05-24 18:00,ASTERUSDT,INUSDT,ARKMUSDT
05-24 19:00,HYPEUSDT,EIGENUSDT,POLYXUSDT
05-24 20:00,ZAMAUSDT,PHAUSDT,PLUMEUSDT
05-24 21:00,BANUSDT,JSTUSDT,MORPHOUSDT
05-24 22:00,GENIUSUSDT,TRXUSDT,VVVUSDT
05-24 23:00,TRUSTUSDT,RECALLUSDT,BNBUSDT
05-25 00:00,GRASSUSDT,ASTERUSDT,DEXEUSDT
05-25 01:00,NEARUSDT,GENIUSUSDT,EIGENUSDT
05-25 02:00,VVVUSDT,TRUSTUSDT,HYPEUSDT
05-25 03:00,KAITOUSDT,MORPHOUSDT,ONDOUSDT
05-25 04:00,PHAUSDT,CATIUSDT,TRXUSDT
05-25 05:00,SUNUSDT,YBUSDT,QNTUSDT
05-25 06:00,NILUSDT,XANUSDT,UAIUSDT
05-25 07:00,UBUSDT,RECALLUSDT,MAGMAUSDT
05-25 08:00,NEARUSDT,GRASSUSDT,DEXEUSDT
05-25 09:00,XANUSDT,YBUSDT,MORPHOUSDT
