665 USDT-M perpetual symbols on Bitget (granularity=1h)
[   1/665] 0GUSDT               rows=  6724  ( 0.2s)
[   4/665] 1000BONKUSDT         rows= 20112  ( 0.1s)
[   5/665] 1000CATUSDT          rows= 15522  ( 0.1s)
[   3/665] 10000NEXUSDT         rows=   836  ( 0.2s)
[   2/665] 1000000MOGUSDT       rows= 16321  ( 0.2s)
[   6/665] 1000RATSUSDT         rows= 22126  ( 0.1s)
[   7/665] 1000SATSUSDT         rows= 22199  ( 0.1s)
[   8/665] 1000XECUSDT          rows= 26013  ( 0.1s)
[  10/665] 1MBABYDOGEUSDT       rows= 15522  ( 0.1s)
[   9/665] 1INCHUSDT            rows= 34750  ( 1.2s)
[  11/665] 1MCHEEMSUSDT         rows= 13893  ( 0.1s)
[  12/665] 2ZUSDT               rows=  6385  ( 0.1s)
[  13/665] 4USDT                rows=  6216  ( 0.1s)
[  14/665] AAOIUSDT             rows=  1539  ( 0.1s)
[  15/665] AAPLUSDT             rows=  7270  ( 0.1s)
[  16/665] AAVEUSDT             rows= 46248  ( 0.1s)
[  17/665] ABNBUSDT             rows=   234  ( 0.1s)
[  18/665] ACEUSDT              rows= 22055  ( 0.1s)
[  19/665] ACHRUSDT             rows=   718  ( 0.1s)
[  20/665] ACHUSDT              rows= 29112  ( 0.2s)
[  21/665] ACTUSDT              rows= 14184  ( 0.1s)
[  22/665] ACUUSDT              rows=  3715  ( 0.1s)
[  23/665] ACXUSDT              rows= 13581  ( 0.1s)
[  24/665] ADAUSDT              rows= 51264  ( 0.2s)
[  25/665] ADBEUSDT             rows=   405  ( 0.2s)
[  26/665] ADIUSDT              rows=    67  ( 0.1s)
[  27/665] ADVANTESTUSDT        rows=   484  ( 0.1s)
[  29/665] AEROUSDT             rows= 14326  ( 0.1s)
[  28/665] AEHRUSDT             rows=   357  ( 0.1s)
[  30/665] AEVOUSDT             rows= 19796  ( 0.1s)
[  31/665] AGLDUSDT             rows= 25746  ( 0.1s)
[  32/665] AINUSDT              rows=  8396  ( 0.1s)
[  33/665] AIOUSDT              rows=  7581  ( 0.1s)
[  34/665] AIXBTUSDT            rows= 13225  ( 0.1s)
[  35/665] AKTUSDT              rows= 15960  ( 0.1s)
[  36/665] ALABUSDT             rows=   163  ( 0.1s)
[  37/665] ALCHUSDT             rows= 12814  ( 0.1s)
[  38/665] ALGOUSDT             rows= 37797  ( 0.1s)
[  39/665] ALICEUSDT            rows= 16850  ( 0.1s)
[  40/665] ALLOUSDT             rows=  5418  ( 0.1s)
[  41/665] ALTUSDT              rows= 21049  ( 0.1s)
[  42/665] AMATUSDT             rows=  1705  ( 0.1s)
[  43/665] AMCUSDT              rows=   405  ( 0.1s)
[  45/665] AMZNUSDT             rows=  7270  ( 0.1s)
[  44/665] AMDUSDT              rows=  1705  ( 0.1s)
[  46/665] ANIMEUSDT            rows= 12426  ( 0.1s)
[  47/665] ANKRUSDT             rows= 29188  ( 0.1s)
[  48/665] ANTHROPICUSDT        rows=   554  ( 0.1s)
[  49/665] APDUSDT              rows=    67  ( 0.1s)
[  50/665] APEUSDT              rows= 36933  ( 0.1s)
[  51/665] API3USDT             rows= 33841  ( 0.1s)
[  52/665] APLDUSDT             rows=  1393  ( 0.1s)
[  53/665] APPUSDT              rows=  6935  ( 0.1s)
[  54/665] APRUSDT              rows=  5877  ( 0.1s)
[  55/665] APTUSDT              rows= 32286  ( 0.1s)
[  56/665] ARBUSDT              rows= 28554  ( 0.1s)
[  57/665] ARCUSDT              rows= 12571  ( 0.1s)
[  58/665] ARIAUSDT             rows=  7077  ( 0.1s)
[  60/665] ARKUSDT              rows= 15359  ( 0.1s)
[  59/665] ARKMUSDT             rows= 25491  ( 0.4s)
[  61/665] ARMUSDT              rows=  6959  ( 0.1s)
[  63/665] ARQQUSDT             rows=   718  ( 0.1s)
[  62/665] ARPAUSDT             rows= 27910  ( 0.1s)
[  64/665] ARUSDT               rows= 39335  ( 0.1s)
[  65/665] ARXUSDT              rows=    68  ( 0.1s)
[  66/665] ASMLUSDT             rows=  6959  ( 0.1s)
[  67/665] ASRUSDT              rows=  9960  ( 0.1s)
[  69/665] ASTRUSDT             rows= 29234  ( 0.1s)
[  68/665] ASTERUSDT            rows=  6690  ( 0.1s)
[  70/665] ASTSUSDT             rows=   888  ( 0.1s)
[  71/665] ATHUSDT              rows= 17761  ( 0.1s)
[  72/665] ATOMUSDT             rows= 49565  ( 0.1s)
[  73/665] ATUSDT               rows=  5622  ( 0.1s)
[  75/665] AUSDT                rows=  9432  ( 0.1s)
[  74/665] AUCTIONUSDT          rows= 11832  ( 0.1s)
[  76/665] AVAUSDT              rows= 13412  ( 0.1s)
[  77/665] AVAVUSDT             rows=   572  ( 0.1s)
[  78/665] AVAXUSDT             rows= 41526  ( 0.1s)
[  79/665] AVGOUSDT             rows=  3211  ( 0.1s)
[  80/665] AVNTUSDT             rows=  6935  ( 0.1s)
[  81/665] AWEUSDT              rows=  9600  ( 0.1s)
[  82/665] AXLUSDT              rows= 20018  ( 0.1s)
[  83/665] AXONUSDT             rows=   572  ( 0.1s)
[  84/665] AXSUSDT              rows= 41661  ( 0.1s)
[  85/665] AXTIUSDT             rows=  1081  ( 0.1s)
[  86/665] AZTECUSDT            rows=  3191  ( 0.1s)
[  87/665] B2USDT               rows= 10102  ( 0.1s)
[  88/665] BABAUSDT             rows=  6959  ( 0.1s)
[  89/665] BABYUSDT             rows= 10583  ( 0.1s)
[  90/665] BANANAS31USDT        rows= 11087  ( 0.1s)
[  91/665] BANANAUSDT           rows= 16920  ( 0.1s)
[  92/665] BANDUSDT             rows= 33841  ( 0.1s)
[  93/665] BANKUSDT             rows= 10389  ( 0.1s)
[  94/665] BANUSDT              rows= 14013  ( 0.1s)
