symbol,bar_ts,last_close,ret_bar,amt_bar,ch_score,dist_ma10,ret_short,ret_24h,ret_72h,vol_burst_24v72,bull_stack,ma10_strong_up,ch_pct,거래대금,ret_bar_str
UBUSDT,2026-05-26 01:00:00,0.18962,-0.007900381938994339,968044.0419800001,92.0,0.0093,-0.0034,0.2029,0.6467,0.36,1,1,70.8,$968K,-0.79%
GRASSUSDT,2026-05-26 01:00:00,0.5918,-0.0032002694963786382,1443246.9238,82.0,0.0233,-0.0391,0.1502,0.4914,0.24,1,1,63.1,$1.4M,-0.32%
CUSDT,2026-05-26 01:00:00,0.09562,0.0179921217928245,45118.48824,75.0,0.0002,0.0099,0.0887,0.0567,0.3,1,1,57.7,$45K,1.8%
FLUXUSDT,2026-05-26 01:00:00,0.07939,-0.022892307692307656,18264.38401,74.0,0.0006,-0.0266,0.0692,0.1585,0.92,1,1,56.9,$18K,-2.29%
MMTUSDT,2026-05-26 01:00:00,0.1374,0.07427677873338534,670015.1616,71.0,0.0562,0.0618,0.1027,0.1063,1.43,1,0,54.6,$670K,7.43%
INUSDT,2026-05-26 01:00:00,0.09387,0.06913439635535301,1958167.5315299998,70.0,0.0294,0.0122,0.2501,0.1112,0.24,1,1,53.8,$2.0M,6.91%
WLDUSDT,2026-05-26 01:00:00,0.3284,-0.002430133657351008,2593822.4092,69.0,0.0133,-0.0194,0.1281,0.2154,0.36,1,1,53.1,$2.6M,-0.24%
PHAUSDT,2026-05-26 01:00:00,0.04636,0.013554875382597142,787659.73792,67.0,-0.0493,-0.0482,0.2386,0.3905,4.1,1,1,51.5,$788K,1.36%
ESPUSDT,2026-05-26 01:00:00,0.070665,0.001999319380636466,27877.837155,65.0,0.0074,0.0111,0.0812,0.0838,0.72,1,0,50.0,$28K,0.2%
EWTUSDT,2026-05-26 01:00:00,99.79,-0.007262236370871422,75959.15010000001,65.0,0.0142,0.0182,0.0327,0.0375,0.83,1,0,50.0,$76K,-0.73%
ERAUSDT,2026-05-26 01:00:00,0.1517,0.009314703925482393,439940.9224,65.0,0.0147,0.0073,0.2011,0.1954,46.65,0,0,50.0,$440K,0.93%
NXPCUSDT,2026-05-26 01:00:00,0.3744,0.005100671140939594,44592.5376,63.0,0.0137,-0.0029,0.0603,0.0996,0.19,1,1,48.5,$45K,0.51%
LLYUSDT,2026-05-26 01:00:00,1076.27,-0.0006128532030866829,15627.4404,61.0,0.0011,-0.017,0.0088,0.0119,0.41,1,0,46.9,$16K,-0.06%
INFQUSDT,2026-05-26 01:00:00,16.931,5.906674542233148e-05,164801.78263,59.0,0.0143,0.0178,0.0271,0.0627,0.03,1,0,45.4,$165K,0.01%
BASUSDT,2026-05-26 01:00:00,0.023413,0.004720422263227775,6895.36263,58.0,0.0278,0.0327,0.037,0.1026,0.34,1,0,44.6,$7K,0.47%
EWYUSDT,2026-05-26 01:00:00,192.6,-0.003672857068956592,799193.7,57.0,0.0041,0.0046,0.0168,0.0646,0.79,1,0,43.8,$799K,-0.37%
TRXUSDT,2026-05-26 01:00:00,0.37359,0.00603204524033929,214938.65547,56.0,0.0039,0.0049,0.0237,0.0305,0.67,1,0,43.1,$215K,0.6%
AMATUSDT,2026-05-26 01:00:00,436.82,0.0033305004938328775,742.5939999999999,54.0,0.0099,0.0089,0.0153,0.0139,0.73,1,0,41.5,$743,0.33%
ATOMUSDT,2026-05-26 01:00:00,2.1586,0.013474811023991506,171071.20859999998,54.0,0.0069,0.0027,0.0504,0.0208,0.3,1,0,41.5,$171K,1.35%
FLYUSDT,2026-05-26 01:00:00,50.74,-0.0033392260852483924,51652.812600000005,53.0,0.0129,0.0164,0.0168,0.0187,0.09,1,0,40.8,$52K,-0.33%
NEARUSDT,2026-05-26 01:00:00,2.6835,-0.012293422650815233,5515875.213,53.0,-0.0226,-0.0373,0.1366,0.2875,0.28,1,1,40.8,$5.5M,-1.23%
SENTUSDT,2026-05-26 01:00:00,0.01675,0.0017942583732057926,5918.49525,53.0,0.0007,0.0006,0.0469,0.0482,0.49,1,1,40.8,$6K,0.18%
STXSTOCKUSDT,2026-05-26 01:00:00,825.46,0.0038062578283657444,165.092,52.0,0.0165,0.0223,0.0241,0.0212,0.52,1,0,40.0,$165,0.38%
POLYXUSDT,2026-05-26 01:00:00,0.05706,0.004931313842902574,24946.80318,52.0,0.006,0.0104,0.0363,0.0244,0.14,1,0,40.0,$25K,0.49%
WOOUSDT,2026-05-26 01:00:00,0.01742,0.006354708261120834,2861.9439940000007,51.0,0.0019,0.0075,0.0494,0.0635,0.35,1,1,39.2,$3K,0.64%
KLACUSDT,2026-05-26 01:00:00,1902.33,-0.0027417224097799897,1497.13371,49.0,0.0059,0.0073,0.0101,0.0101,0.47,1,0,37.7,$1K,-0.27%
LWLGUSDT,2026-05-26 01:00:00,12.898,-0.003476782816966728,36619.227719999995,49.0,0.0047,0.0055,0.0065,0.013,0.09,1,0,37.7,$37K,-0.35%
XANUSDT,2026-05-26 01:00:00,0.011434,0.01644590630278242,298695.961792,49.0,-0.0155,0.0025,0.1059,0.1695,31.13,0,0,37.7,$299K,1.64%
MUSDT,2026-05-26 01:00:00,2.9762,-0.017645544384518375,40476.32,49.0,0.0032,0.0102,0.035,0.0787,0.32,1,0,37.7,$40K,-1.76%
INDAUSDT,2026-05-26 01:00:00,48.84,-0.0018393623543837556,207.08160000000004,49.0,0.0031,0.0023,0.0035,0.007,0.27,1,0,37.7,$207,-0.18%
KOPNUSDT,2026-05-26 01:00:00,5.214,-0.00210526315789461,852.6975600000001,49.0,0.0018,0.0095,0.0168,0.0152,0.06,1,0,37.7,$853,-0.21%
NILUSDT,2026-05-26 01:00:00,0.08376,0.03830420230568987,733941.80688,48.0,-0.0203,-0.0057,0.0992,0.6142,0.8,1,1,36.9,$734K,3.83%
