symbol,last_close,today_chg,today_amount,vol_ratio_1d,ch_score,ret_30d,ret_90d,from_high_1y,has_1h,ch_pct,거래대금,today_chg_str,vol_x
DEXEUSDT,17.425,0.14457435627955872,7441598.912500001,4.742345475217021,96.0,0.2684720099002693,4.32874617737003,0.0,True,83.5,$7.4M,14.46%,4.7
HYPEUSDT,61.137,-0.02654289535698362,134952890.01993,0.9244284448333324,79.0,0.47442421319184835,1.2585614540618422,-0.02654289535698362,True,68.7,$135.0M,-2.65%,0.9
VVVUSDT,17.366,-0.09078534031413621,5154502.66182,0.6130452301341999,77.0,0.9068848138794334,3.810526315789474,-0.09078534031413621,True,67.0,$5.2M,-9.08%,0.6
ZECUSDT,652.14,-0.01563773584905659,84487287.51954,0.8835871379578772,74.0,0.8182679975464227,1.6873531956978614,,True,64.3,$84.5M,-1.56%,0.9
TAGUSDT,0.0015904,0.08604206500956035,5198330.594912,2.350379352717803,74.0,1.417021276595745,3.266094420600859,0.0,True,64.3,$5.2M,8.6%,2.4
ARMUSDT,313.05,0.014354222020607876,752662.9845,0.3422511215237107,73.0,0.3357654889912953,1.4489556442149731,0.0,True,63.5,$753K,1.44%,0.3
NEARUSDT,2.769,0.1570282466989803,134193689.79900001,2.5557197350294363,73.0,0.9763043323103278,1.867053220128391,-0.12814861460957183,True,63.5,$134.2M,15.7%,2.6
MRVLUSDT,203.77,0.029557396928051816,1148631.113,0.5104487645960872,73.0,0.2520430107526883,1.5971195513637526,0.0,True,63.5,$1.1M,2.96%,0.5
XANUSDT,0.011171,0.13296146044624746,31722508.969778,77.49069864975422,70.0,0.30884592852958415,0.5645658263305324,,True,60.9,$31.7M,13.3%,77.5
AKTUSDT,0.9277,0.10243612596553775,2985015.5748599996,1.3630642531455766,66.0,0.94282722513089,2.127781523937964,-0.21314673452078037,True,57.4,$3.0M,10.24%,1.4
MAGMAUSDT,0.255,0.058398705018055,509123.055,0.5668718004148671,65.0,0.3189200372400951,1.4606774100164044,,True,56.5,$509K,5.84%,0.6
INJUSDT,5.666,0.1044834307992204,16407719.519600002,1.1231435119691087,64.0,0.6001129624399888,0.8125399872040948,-0.6153950583763237,True,55.7,$16.4M,10.45%,1.1
BEATUSDT,0.98215,-0.17707041592653427,24237708.86225,1.3998590141310192,63.0,0.7416168673416912,3.557329126258642,,True,54.8,$24.2M,-17.71%,1.4
JSTUSDT,0.09298,0.0008611410118406493,129172.465,0.5237070505086565,61.0,0.17875253549695724,1.0243849335946003,-0.00884767082400606,True,53.0,$129K,0.09%,0.5
USELESSUSDT,0.08214,0.11361171366594358,4279574.66148,1.1628801237698956,59.0,1.013235294117647,1.166139240506329,-0.8025955299206922,True,51.3,$4.3M,11.36%,1.2
TRXUSDT,0.37162,0.0171337858550471,7791355.1904,1.8690900255112237,59.0,0.14899669171072571,0.3099971799210379,0.0,True,51.3,$7.8M,1.71%,1.9
APRUSDT,0.18141,0.12175364828097934,949821.21711,0.4322518801911322,57.0,0.012671653455397891,1.020831012587724,,True,49.6,$950K,12.18%,0.4
ONDOUSDT,0.4276,-0.027739881764438534,23042520.3452,0.6533996881360669,56.0,0.6383141762452107,0.7367993501218522,-0.6035969222211922,True,48.7,$23.0M,-2.77%,0.7
FIDAUSDT,0.03444,-0.051500963921784715,7072118.71968,0.5132139282854289,56.0,1.083484573502722,1.2378167641325537,-0.6462249614791988,True,48.7,$7.1M,-5.15%,0.5
1MCHEEMSUSDT,0.6749,-0.0330945558739254,225739.20220000003,0.8905205374997704,55.0,0.16002062564455155,0.5996681678122779,-0.6640951622536333,True,47.8,$226K,-3.31%,0.9
AAPLUSDT,310.9,0.0006759148990955754,1216990.069,0.6010652358492485,54.0,0.14795259018572526,0.14537282640730909,-0.0016377123406443594,True,47.0,$1.2M,0.07%,0.6
LITUSDT,1.379,0.06568778979907264,2860724.468,0.8639101406721406,54.0,0.49242424242424243,-0.03566433566433558,,True,47.0,$2.9M,6.57%,0.9
RENDERUSDT,2.183,0.08176412289395452,16449412.765799997,3.160104870221529,53.0,0.21143174250832386,0.611070110701107,-0.4667806546165121,True,46.1,$16.4M,8.18%,3.2
USDCUSDT,1.0002,-9.997000899730768e-05,16147.7289,0.3627428115382075,53.0,0.001201201201201263,0.0009006304413088362,-0.0005995203836929308,True,46.1,$16K,-0.01%,0.4
ASMLUSDT,1653.01,0.003752664209420553,137993.2748,0.3090581279548038,53.0,0.1321831207791675,0.10299200619219828,0.0,True,46.1,$138K,0.38%,0.3
INUSDT,0.09034,0.2027692717347891,17472896.181140002,4.04576835115161,50.0,0.3909160892994614,0.3387670420865443,-0.5240252897787144,True,43.5,$17.5M,20.28%,4.0
NXPCUSDT,0.3694,0.03764044943820233,601700.1452,1.4580910429419733,49.0,0.205220228384992,0.3997726411519513,-0.47296333285775427,True,42.6,$602K,3.76%,1.5
QNTUSDT,79.82,-0.0021252656582072538,574717.5693999999,0.6983982565675168,47.0,0.1380096948959224,0.2886664514045849,-0.2516407275454716,True,40.9,$575K,-0.21%,0.7
GRASSUSDT,0.5995,0.15532857968780123,18289788.7975,2.8345477541789212,47.0,0.664815329075257,2.261697497279652,-0.3610104455340013,True,40.9,$18.3M,15.53%,2.8
MSFTUSDT,421.87,0.002042706824066043,478531.3597,0.18351253946807397,45.0,-0.0064763788799396815,0.08377434105739101,,True,39.1,$479K,0.2%,0.2
BANANAS31USDT,0.011838,0.021397756686798886,1114145.2079999999,0.5836631254901146,45.0,0.2507131537242473,1.614399293286219,-0.22455129044936462,True,39.1,$1.1M,2.14%,0.6
QQQUSDT,726.53,0.0017510961586189033,3776423.0217,1.0121043268375616,45.0,0.09712930943356324,0.19581605108960431,,True,39.1,$3.8M,0.18%,1.0
FLUXUSDT,0.08206,0.09955781857161994,757136.8474999999,4.26725112854695,43.0,0.18549552152557047,0.32354838709677414,-0.6341506910387873,True,37.4,$757K,9.96%,4.3
FFUSDT,0.09024,0.05965241897604501,1909640.3808,0.5296770478671109,43.0,0.30141332564176526,0.13767019667170954,,True,37.4,$1.9M,5.97%,0.5
DASHUSDT,44.77,-0.0235550708833151,3298677.3281,0.5679601083969661,43.0,0.2401662049861497,0.38521039603960405,,True,37.4,$3.3M,-2.36%,0.6
TRUSTUSDT,0.07475,0.019920862327739153,297435.25825,2.5842852319613483,43.0,0.0709169054441261,0.028764106798788713,,True,37.4,$297K,1.99%,2.6
BASUSDT,0.023365,0.030202821869488528,766803.83193,0.5527251539321913,42.0,0.6056212204507971,2.75824352581631,-0.8345079151467932,True,36.5,$767K,3.02%,0.6
INTCUSDT,122.91,0.008202772537117653,2854550.3352,0.14609924804814242,41.0,0.488194696694515,1.666160520607375,-0.045729813664596386,True,35.7,$2.9M,0.82%,0.1
MORPHOUSDT,2.2389,-0.0032943061924053385,1348225.2798000001,1.9160151293993184,41.0,0.2021585051546393,0.28864970645792565,-0.04832950777862777,True,35.7,$1.3M,-0.33%,1.9
