asset,symbol,entry_dt,entry_close,+1w_%,+2w_%,+3w_%,+4w_%,+5w_%,+6w_%,+7w_%,+8w_%
crypto,1000SATSUSDT,2026-05-04,1.6e-05,-3.0,,,,,,,
crypto,1000XECUSDT,2025-07-21,0.02359,-14.6,-6.7,-11.7,-12.3,-16.1,-16.9,-13.4,-18.1
crypto,1000XECUSDT,2025-08-04,0.02201,-5.3,-6.0,-10.0,-10.9,-7.2,-12.2,-19.0,-15.7
crypto,1INCHUSDT,2025-07-07,0.3179,0.5,-8.4,-21.1,-11.6,-18.9,-18.1,-24.0,-22.6
crypto,AAVEUSDT,2023-10-16,79.243,6.7,12.4,25.9,15.5,23.5,29.7,23.7,26.2
crypto,ACHUSDT,2026-05-04,0.008504,-2.2,,,,,,,
crypto,ADAUSDT,2023-10-23,0.29533,15.7,29.9,30.0,31.1,33.7,101.6,96.7,100.6
crypto,AGLDUSDT,2026-05-04,0.2711,0.6,,,,,,,
crypto,ALGOUSDT,2026-05-04,0.129,-4.7,,,,,,,
crypto,APEUSDT,2024-02-26,2.235,2.5,-5.7,-11.1,-10.1,-22.9,-45.1,-42.6,-42.9
crypto,APEUSDT,2024-10-14,1.4889,-24.1,-38.0,-25.0,-27.5,-7.4,2.3,27.0,8.1
crypto,APEUSDT,2024-11-04,1.1166,-3.4,23.4,36.4,69.4,44.1,1.5,7.4,21.0
crypto,API3USDT,2025-08-18,1.3671,-20.0,-25.1,-28.5,-33.2,-42.5,-43.3,-46.9,-47.0
crypto,APTUSDT,2024-09-30,8.7,17.1,14.9,5.7,-5.9,25.3,35.5,44.0,54.8
crypto,APTUSDT,2025-09-29,5.4555,-28.5,-41.5,-34.3,-38.2,-40.8,-48.1,-57.2,-63.7
crypto,ARBUSDT,2025-07-21,0.4605,-16.9,1.4,16.4,25.7,7.8,7.7,11.6,4.3
crypto,ARBUSDT,2025-08-04,0.4669,14.8,24.0,6.3,6.2,10.0,2.9,-7.9,-7.5
crypto,ARKMUSDT,2025-08-11,0.5571,-2.4,-13.3,-11.4,13.6,7.6,-3.7,-4.2,-32.4
crypto,ARKMUSDT,2025-09-08,0.6331,-5.3,-15.3,-15.7,-40.5,-41.5,-40.4,-43.5,-46.3
crypto,ARUSDT,2023-11-27,8.027,4.0,17.0,34.7,20.1,0.3,26.0,17.6,9.0
crypto,ARUSDT,2025-08-04,7.863,-6.9,-9.1,-19.3,-16.4,-7.7,-15.2,-26.9,-23.9
crypto,ASTRUSDT,2025-08-18,0.02631,-10.8,-11.7,-7.5,-5.2,-12.7,-6.2,-22.8,-31.5
crypto,ATOMUSDT,2023-11-06,9.523,-1.8,4.0,0.0,12.3,16.5,17.9,11.4,-1.2
crypto,ATOMUSDT,2023-11-20,9.905,-3.8,7.9,12.1,13.4,7.1,-5.0,0.8,-2.7
crypto,ATOMUSDT,2024-11-18,8.747,2.0,15.8,4.1,-26.8,-28.1,-16.1,-26.2,-32.6
crypto,ATOMUSDT,2025-08-11,4.62,3.6,-3.4,-3.0,0.3,-4.7,-9.5,-10.3,-24.6
crypto,ATOMUSDT,2026-05-04,2.011,2.5,,,,,,,
crypto,AVAXUSDT,2023-10-30,12.349,53.5,85.0,70.6,77.7,201.1,228.9,286.1,212.8
crypto,AVAXUSDT,2025-07-21,26.061,-18.0,-8.5,-3.8,-0.9,-10.3,-5.3,13.1,26.8
crypto,AVAXUSDT,2025-08-04,23.839,5.2,8.3,-1.9,3.5,23.6,38.6,25.8,26.2
crypto,AXSUSDT,2023-10-23,5.6379,1.4,12.7,11.0,18.7,19.5,38.9,23.3,61.9
crypto,AXSUSDT,2023-11-20,6.6928,0.7,17.0,3.9,36.4,32.3,11.7,16.3,16.3
crypto,AXSUSDT,2024-11-18,8.329,-0.7,13.6,-6.5,-27.9,-24.5,-15.6,-26.2,-30.3
crypto,AXSUSDT,2025-08-25,2.517,-2.3,1.0,-5.5,-13.7,-13.3,-32.5,-37.1,-35.0
crypto,AXSUSDT,2026-04-20,1.419,-6.6,0.9,0.5,,,,,
