asset,symbol,entry_dt,entry_close,+1w_%,+2w_%,+3w_%,+4w_%,+5w_%,+6w_%,+7w_%,+8w_%
crypto,AAVEUSDT,2023-10-23,84.572,5.3,18.0,8.2,15.7,21.5,15.9,18.3,17.7
crypto,ADAUSDT,2023-11-20,0.38717,2.0,53.8,50.0,53.0,53.5,27.8,35.7,30.0
crypto,ARBUSDT,2025-08-11,0.5361,8.0,-7.4,-7.5,-4.2,-10.4,-19.8,-19.4,-37.6
crypto,ATOMUSDT,2023-12-04,10.691,3.8,5.0,-0.8,-12.0,-6.6,-9.8,-11.9,-16.2
crypto,AVAXUSDT,2023-11-27,21.94,69.5,85.1,117.3,76.0,53.4,60.8,48.4,58.5
crypto,AVAXUSDT,2025-08-11,25.067,3.0,-6.7,-1.6,17.6,31.8,19.6,20.0,-10.3
crypto,AXSUSDT,2023-11-20,6.6928,0.7,17.0,3.9,36.4,32.3,11.7,16.3,16.3
crypto,CKBUSDT,2025-08-18,0.005036,-4.7,-2.8,7.9,-1.9,-14.9,-16.2,-30.4,-33.7
crypto,ETCUSDT,2023-11-27,19.848,10.7,0.6,5.0,10.5,-3.1,33.5,23.5,18.3
crypto,ICPUSDT,2023-11-20,4.654,1.3,19.9,126.1,110.6,185.9,142.1,170.9,138.6
crypto,KNCUSDT,2025-08-18,0.4014,-4.6,-7.9,-3.7,-8.7,-16.3,-17.2,-28.8,-26.9
crypto,LDOUSDT,2025-08-18,1.4352,-17.0,-16.4,-14.2,-13.1,-22.1,-18.9,-36.3,-37.2
crypto,LUNCUSDT,2026-04-27,8.5e-05,17.8,18.5,,,,,,
crypto,MANAUSDT,2023-11-20,0.4504,0.0,18.5,7.0,20.1,15.7,-5.4,-1.1,5.8
crypto,MEMEUSDT,2025-09-29,0.002421,-24.9,-29.7,-28.6,-36.2,-32.0,-41.6,-48.2,-47.4
crypto,NEARUSDT,2023-11-27,1.9795,27.2,14.4,91.7,84.4,62.1,66.9,47.6,45.3
