symbol,last_close,today_chg,vol_ratio,today_amount,s_1m,s_1w,s_1d,m_1w,m_1d,v_1w,acc_w,acc_d,ret_30d,ret_90d,from_high,verdict,risk_flags,pb_score,pb_pct,cut_pb,ch_score,ch_pct,cut_ch,Name,Marcap,Marcap_fmt,today_amount_fmt
010955,55200.0,0.0036363636363636598,0.44926189119766524,744372000.0,B4,B5,A4,bounce_ma20,pullback_ma10,accumulation_suspect,0.0,0.0,-0.025,0.176,-0.266,watch,,70.0,64.8,False,50,44.6,False,S-Oil우,220803792300,2208억,7.4억
000590,76900.0,-0.0012987012987012436,1.5982773058978348,102738400.0,A2,A3,A4,pullback_ma10,pullback_ma10,normal,0.0,0.6,0.001,0.034,-0.233,watch,accumulation_suspect,69.0,63.9,False,60,53.6,False,CS홀딩스,88433321200,884억,1.0억
006125,41100.0,-0.009638554216867434,0.2362492388877613,47840400.0,A2,A3,A4,pullback_ma10,pullback_ma20,normal,0.0,0.6,0.019,0.044,-0.059,watch,,69.0,63.9,False,55,49.1,False,SK디스커버리우,50561490250,506억,0.48억
034830,1362.0,-0.03472714386959608,0.752065462294393,755968566.0,B3,B5,A4,bounce_ma20,pullback_ma10,accumulation_suspect,0.0,0.0,-0.093,0.144,-0.275,watch,,68.0,63.0,False,45,40.2,False,한국토지신탁,335305697440,3353억,7.6억
126720,28450.0,-0.03231292517006801,0.5700646456999583,1555333050.0,B4,B5,A4,pullback_ma20,breaking,accumulation_suspect,0.0,0.0,0.0,0.329,-0.218,watch,"low_history,accumulation_suspect",67.0,62.0,False,54,48.2,False,수산인더스트리,406436700000,4064억,15.6억
005720,6890.0,-0.011477761836441891,0.7846695138412515,256535370.0,A1,A3,A4,pullback_ma10,breaking,normal,0.0,0.6,0.05,0.226,-0.148,watch,,67.0,62.0,False,62,55.4,False,넥센,365706079920,3657억,2.6억
000860,14780.0,-0.04150453955901423,1.1534550987118812,466131640.0,A1,A4,A4,pullback_ma10,pullback_ma10,normal,0.0,0.0,0.084,-0.063,-0.217,watch,,65.0,60.2,False,48,42.9,False,강남제비스코,191100000000,1911억,4.7억
454910,107800.0,0.011257035647279645,0.28677648364001906,59644230800.0,B4,A3,A4,pullback_ma10,pullback_ma20,normal,0.0,0.0,0.178,0.289,-0.223,watch,low_history,64.0,59.3,False,58,51.8,False,두산로보틱스,6987593844000,6.99조,596억
009680,10210.0,-0.02946768060836502,0.9625549021067521,277232130.0,A2,A3,A3,pullback_ma10,pullback_ma10,normal,0.0,0.3,-0.036,0.025,-0.148,watch,,64.0,59.3,False,59,52.7,False,모토닉,222764213500,2228억,2.8억
003925,36650.0,-0.0027210884353741083,0.43445592578540554,107018000.0,A3,A3,A4,pullback_ma20,pullback_ma50,normal,0.0,0.0,-0.049,0.111,-0.227,skip,,63.0,58.3,False,54,48.2,False,남양유업우,73300000000,733억,1.1억
005305,76400.0,-0.012919896640826822,0.6495202036686467,76018000.0,A2,A3,A4,pullback_ma10,pullback_ma10,normal,0.0,0.0,-0.044,0.015,-0.182,watch,,63.0,58.3,False,57,50.9,False,롯데칠성우,59233684000,592억,0.76억
002170,55800.0,-0.010638297872340385,0.3522509466598102,84090600.0,B5,B5,A4,pullback_ma50,breaking,normal,0.0,0.0,-0.067,0.022,-0.11,watch,,63.0,58.3,False,43,38.4,False,SYTS,168300000000,1683억,0.84억
181710,38600.0,-0.03500000000000003,0.39588107516540366,1151939800.0,A2,A3,A4,pullback_ma10,pullback_ma10,normal,0.0,0.0,0.029,0.184,-0.126,watch,,63.0,58.3,False,59,52.7,False,NHN,1277372421000,1.28조,11.5억
058650,158200.0,0.012156110044785562,1.1768425807423022,1236491200.0,A2,A3,A3,pullback_ma20,pullback_ma50,accumulation_suspect,0.0,0.0,0.016,0.218,-0.144,watch,accumulation_suspect,63.0,58.3,False,56,50.0,False,세아홀딩스,668152170000,6682억,12.4억
214320,20350.0,-0.0332541567695962,0.2111401433599031,896865200.0,B5,B5,A1,bounce_ma20,pullback_ma10,accumulation_suspect,0.0,0.3,0.124,0.124,-0.083,pass,,62.0,57.4,False,53,47.3,False,이노션,810000000000,8100억,9.0억
