symbol,last_close,today_chg,today_amount,vol_ratio,pb_score,ch_score,today_chg_pct,bull_stack,bear_stack,dist_ma10,dist_ma20,ret_30d,ret_90d,from_high_1y,acc_d,vol_recent_vs_prior,recent_strong_bull_10d,ma10_touch_5d,ma10_strong_up,today_strong_bull,bullish_holding,Name,Marcap,시총,거래대금,today_chg_str,vol_x,pb_pct,ch_pct
088350,5430.0,-0.03035714285714286,20359312590.0,0.3338020440020506,61.0,64.0,-0.03035714285714286,1,0,0.006021306160259421,0.049275362318840665,0.1195876288659794,0.7629870129870129,-0.17727272727272725,0.5,1.8049115576840766,1,1,1,0,1,한화생명,4690062000000,4.69조,204억,-3.04%,0.3,79.2,60.4
000370,7040.0,-0.020862308762169657,3943512320.0,0.46198828456010027,61.0,54.0,-0.020862308762169657,1,0,0.014701643124819919,0.03052038351752917,0.10518053375196224,0.33840304182509495,-0.24301075268817207,0.5,1.9651856005434118,1,1,0,0,1,한화손해보험,834683242250,8347억,39.4억,-2.09%,0.5,79.2,50.9
003555,76600.0,0.00922266139657446,707784000.0,0.3089061246322546,60.0,61.0,0.00922266139657446,1,0,0.017534537725823585,0.042105979185089515,0.138187221396731,0.17304747320061264,-0.053152039555006136,0.5,2.1545052842565595,1,1,0,0,1,LG우,228248884200,2282억,7.1억,0.92%,0.3,77.9,57.5
001800,25200.0,-0.0039525691699604515,1262419200.0,0.35348125694141624,58.0,50.0,-0.0039525691699604515,0,0,0.02376599634369292,0.020242914979757165,0.0862068965517242,0.29032258064516125,-0.027027027027026973,0.5,1.152252260384867,1,1,0,0,1,오리온홀딩스,1584929176600,1.58조,12.6억,-0.4%,0.4,75.3,47.2
383800,9530.0,-0.042211055276381915,2002596080.0,0.6332789065951585,56.0,39.0,-0.042211055276381915,0,0,0.0424414788886458,0.04141623866244126,0.1867995018679951,0.21246819338422385,-0.05456349206349209,0.5,1.5184775674667634,1,0,0,0,1,LX홀딩스,723903748100,7239억,20.0억,-4.22%,0.6,72.7,36.8
009140,26700.0,-0.011111111111111072,119802900.0,0.14910667258175198,56.0,24.0,-0.011111111111111072,1,0,-0.026613197229310992,0.041646347410513984,0.17105263157894735,0.33499999999999996,-0.1563981042654028,0.0,2.1185714803052655,1,1,0,0,0,경인전자,43196917500,432억,1.2억,-1.11%,0.1,72.7,22.6
454910,107800.0,0.011257035647279645,59644230800.0,0.28677648364001906,56.0,57.0,0.011257035647279645,1,0,0.002510927183111633,0.026568898200171498,0.17814207650273217,0.2894736842105263,-0.1688511950655358,0.0,1.8767230789709712,1,1,0,0,1,두산로보틱스,6929255862000,6.93조,596억,1.13%,0.3,72.7,53.8
002450,1309.0,-0.020942408376963373,245860307.0,0.551600245106065,55.0,22.0,-0.020942408376963373,1,0,-0.004108338405356071,0.02473774855174571,0.10744500846023697,0.11880341880341883,-0.07163120567375891,0.0,1.6343084428529038,1,1,0,0,0,삼익악기,119138684140,1191억,2.5억,-2.09%,0.6,71.4,20.8
078930,77200.0,0.0039011703511053764,7025431600.0,0.26760369963151304,55.0,38.0,0.0039011703511053764,0,0,0.022110419700781092,0.0016217969510217145,0.11239193083573484,0.3496503496503496,-0.059683313032886764,0.0,1.0694212339202265,1,1,0,0,1,GS,7154484106000,7.15조,70.3억,0.39%,0.3,71.4,35.8
378850,3590.0,-0.006915629322268302,149333230.0,0.11119530069738649,55.0,53.0,-0.006915629322268302,1,0,0.001953670108847394,0.01894557581778189,0.06845238095238093,0.14696485623003186,-0.08418367346938771,0.0,2.623538616873667,1,1,0,0,1,화승알앤에이,67902202225,679억,1.5억,-0.69%,0.1,71.4,50.0
000155,658000.0,0.06472491909385103,6937294000.0,0.43929990353985804,55.0,41.0,0.06472491909385103,0,0,0.029733959311424085,0.009589566551591933,0.1834532374100719,0.39406779661016955,-0.08611111111111114,0.0,1.1262045297283743,1,1,0,0,1,두산우,2533756908000,2.53조,69.4억,6.47%,0.4,71.4,38.7
