symbol,score,verdict,s_1m,s_1w,s_1d,m_1w,m_1d,v_1w,acc_w,acc_d,ret_30d,ret_90d,risk_flags,reason,cut,Name,Marcap
010955,57.0,watch,B4,B5,A4,bounce_ma20,pullback_ma10,accumulation_suspect,0.0,0.0,0.004,0.133,,주봉 B5(buy zone)이나 일봉 A4 조정 중으로 TF 충돌. 주봉 MA20 지지 확인 시 진입 고려. 일봉 MA 복귀 확인 필요.,False,S-Oil우,220803792300
034830,55.0,watch,B3,B5,A4,bounce_ma20,pullback_ma10,accumulation_suspect,0.0,0.0,-0.08,0.156,,"월봉 B3(바닥 다지기), 주봉 B5(상승 retest), 일봉 A4(첫 하락) 충돌. 주봉 MA20 지지 여부가 핵심. 거래량 회복 시 pass 가능.",False,한국토지신탁,342122906650
005490,54.0,watch,B4,B5,A4,bounce_ma10,pullback_ma50,accumulation_suspect,0.0,0.0,0.195,0.372,drawdown_deep,"1W B5 신호이나 1D는 MA10·MA20 하향 이탈(A4), drawdown_deep — MA50 지지 확인 후 재평가",False,POSCO홀딩스,35420962569000
006400,54.0,watch,B4,B5,A4,bounce_ma10,breaking,normal,0.0,0.0,0.257,1.058,parabolic,"1W B5 강세 반전 신호(ADX 50, 정배열 전환)이나 1D A4 하락 첫 시도 중, 1M B4 전환 경계. TF 충돌. 1W MA10(546K) 지지와 1D MA50(521K) 지지가 관건. auto_risk ",False,삼성SDI,51897081320000
021240,53.0,watch,A2,B4,B5,bounce_ma20,bounce_ma20,normal,0.0,0.0,0.218,0.064,,"1M A2 vs 1W B4 분리. 1D B5 조건 근접(MA20 지지+정배열). 1W MA50(90,498) 돌파 확인 시 pass 상향 가능.",False,코웨이,6772442668200
002420,52.0,watch,B3,B5,B5,bounce_ma10,pullback_ma10,accumulation_suspect,0.0,0.0,0.214,0.137,"drawdown_deep,accumulation_suspect",1W/1D B5 정합이나 1M은 B3 아직 전환 미확정. 주봉 거래량 폭증+MA 회복은 긍정. 그러나 일봉 역배열 MA 아직 하향 중 — 눌림 확인 후 진입 검토.,False,세기상사,38088268240
021050,51.0,watch,B4,B5,A4,bounce_ma10,pullback_ma20,normal,0.0,0.0,0.171,0.21,drawdown_deep,"주봉 B5(정배열 전환, MA10 지지 중)로 큰 흐름 긍정적이나, 일봉 A4(MA10/20 하향 이탈)로 단기 하락 진행 중. TF간 분리 상태로 일봉 MA50 지지 확인 후 재진입 고려.",False,서원,71686630900
004000,51.0,watch,B4,B5,A4,bounce_ma20,breaking,normal,0.0,0.0,0.075,0.201,drawdown_deep,1W는 B5 buy zone (MA20 닿음) 이나 1D가 A4 하락 국면. TF 충돌로 주봉 MA20 지지 재확인 필요. 1M 장기 사이클상 회복 시도 구간.,False,롯데정밀화학,1390620000000
007590,50.0,watch,B3,B4,B4,bounce_ma10,pullback_ma10,accumulation_suspect,0.0,1.0,0.013,0.008,accumulation_suspect,"월봉 B3 다지기, 주봉/일봉 B4 상승 첫 시도. 일봉 acc_score=1.0 + 주봉 강양봉 holding=true 매집 시그널. MA 군 수렴 돌파 시 pass 전환 가능.",False,동방아그로,81841637770
267290,49.8,watch,B4,B5,A3,riding,pullback_ma20,normal,0.0,0.6,0.011,0.106,"drawdown_deep,accumulation_suspect",1W B5 상승 안정+1D A3 박스 분리. 일봉 MA 수렴 + 매집 신호(accumulation_score 0.6). 돌파 방향 확인 필요.,False,경동도시가스,133825716200
011790,49.0,watch,B3,B5,A4,bounce_ma10,pullback_ma20,normal,0.0,0.0,0.367,0.184,drawdown_deep,"주봉 B5 상승 retest (매력적)이나 일봉 A4 하락 첫 시도로 충돌. 일봉 MA50(110,857) 지지 + 거래량 안정화 확인 시 진입 재검토. drawdown_deep.",False,SKC,5755981296000
000430,49.0,watch,B3,B5,A4,bounce_ma20,pullback_ma50,normal,0.0,0.0,0.043,-0.047,drawdown_deep,"월봉 B3, 주봉 B5(MA20 풀백), 일봉 A4(신고가 후 하락) — TF 충돌. 주봉 B5 구조는 긍정적이나 일봉 신고가 실패+하락 중. MA20 지지 여부 확인 필요.",False,대원강업,281790000000
126720,47.0,watch,B4,B5,A4,pullback_ma20,breaking,accumulation_suspect,0.0,0.0,0.007,0.278,"low_history,accumulation_suspect","1W B5(MA20 retest, buy zone 후보) vs 1D A4(하락 확인). 1M 데이터 부족(46봉, low_history). 주봉 MA20 지지 확인 후 일봉 MA50 회복 시 재평가. 현재는 관망.",False,수산인더스트리,407151000000
019180,47.0,watch,A3,A4,A5,pullback_ma10,pullback_ma20,normal,0.0,0.0,-0.03,-0.136,parabolic,"1M=A3(토핑 횡보), 1W=A4(하락 첫 시도), 1D=A5(MA 아래 재진입). TF 충돌. 1M 기준 페러볼릭 상승 후 조정 국면. 1D 추세 약화로 B1 진입 리스크 — 관망.",False,티에이치엔,174240000000
002170,47.0,watch,B5,B5,A4,pullback_ma50,breaking,normal,0.0,0.0,-0.089,0.04,,월봉·주봉은 B5(상승 retest 확인) 구조이나 일봉은 A4(하락 첫 시도) 충돌. 큰 그림에서 추세 회복 중이나 단기 일봉이 MA3선 전부 하회하는 약세. 주봉 MA50 지지 여부(~56200) 확인 후 진입 ,False,SYTS,167700000000
026960,46.8,watch,B4,B3,B4,riding,bounce_ma10,normal,0.0,0.6,-0.06,-0.023,,월봉 B4 회복 시도이나 주봉은 B3 횡보. 일봉에서 accumulation_score 0.6 + holding=true 단기 긍정 신호 포착. 주봉 역배열 극복 여부가 관건.,False,동서,2507455000000
000815,45.4,watch,A2,A3,A3,pullback_ma10,pullback_ma20,accumulation_suspect,0.6,0.3,0.032,-0.003,"parabolic,accumulation_suspect",월봉 A2 강세 추세(ADX 60) + 주봉·일봉 A3 토핑 횡보 분리. 90일 +109%로 parabolic 기준 근접. 주봉 accumulation_score 0.6 + holding=true는 긍정적이나 일봉 ,False,삼성화재우,1180255350000
003350,45.0,skip,A3,A5,A5,breaking,breaking,distribution_suspect,0.0,0.0,0.031,-0.096,drawdown_deep,1W/1D 모두 A5(하락 retest 확정)로 정합. 반등 시도 후 MA 아래 재이탈이 확인됨. 90일 수익률 -47%의 깊은 하락 추세. 매수 진입 근거 없음.,False,한국화장품제조,213004000000
