symbol,score,verdict,s_1m,s_1w,s_1d,m_1w,m_1d,v_1w,acc_w,acc_d,ret_30d,ret_90d,last_close,dist_ma10,dist_ma20,risk_flags,cut,Name,Marcap
010955,57.0,watch,B4,B5,A4,bounce_ma20,pullback_ma10,accumulation_suspect,0.0,0.0,0.005,0.172,55000.0,-0.005,-0.032,,False,S-Oil우,220803792300
034830,55.0,watch,B3,B5,A4,bounce_ma20,pullback_ma10,accumulation_suspect,0.0,0.0,-0.078,0.193,1411.0,-0.03,-0.07,,False,한국토지신탁,335305697440
006400,54.0,watch,B4,B5,A4,bounce_ma10,breaking,normal,0.0,0.0,0.372,1.387,647000.0,0.036,-0.006,parabolic,False,삼성SDI,51574739200000
005490,54.0,watch,B4,B5,A4,bounce_ma10,pullback_ma50,accumulation_suspect,0.0,0.0,0.234,0.489,447500.0,-0.036,-0.043,drawdown_deep,False,POSCO홀딩스,35302100278500
021240,53.0,watch,A2,B4,B5,bounce_ma20,bounce_ma20,normal,0.0,0.0,0.205,0.186,94200.0,0.012,0.055,,False,코웨이,6843210094200
267290,53.0,watch,B4,B5,A3,riding,pullback_ma20,normal,0.0,1.0,0.013,0.123,22750.0,0.022,0.006,"drawdown_deep,accumulation_suspect",False,경동도시가스,133825716200
002420,52.0,watch,B3,B5,B5,bounce_ma10,pullback_ma10,accumulation_suspect,0.0,0.0,0.316,0.281,6660.0,0.184,0.196,"drawdown_deep,accumulation_suspect",False,세기상사,38267366680
004000,51.0,watch,B4,B5,A4,bounce_ma20,breaking,normal,0.0,0.0,0.067,0.287,54000.0,-0.034,-0.101,drawdown_deep,False,롯데정밀화학,1393200000000
021050,51.0,watch,B4,B5,A4,bounce_ma10,pullback_ma20,normal,0.0,0.0,0.246,0.384,1538.0,0.007,-0.016,drawdown_deep,False,서원,71686630900
011790,49.0,watch,B3,B5,A4,bounce_ma10,pullback_ma20,normal,0.0,0.0,0.479,0.45,142100.0,0.018,0.04,drawdown_deep,False,SKC,5827931062200
000430,49.0,watch,B3,B5,A4,bounce_ma20,pullback_ma50,normal,0.0,0.0,0.118,0.129,4550.0,0.059,0.052,drawdown_deep,False,대원강업,282100000000
004080,48.0,watch,B3,B3,B3,riding,riding,normal,0.6,1.0,-0.009,-0.007,13900.0,0.004,-0.001,,False,신흥,129344000000
004370,47.8,watch,B3,B3,B5,riding,bounce_ma10,normal,0.0,0.6,0.077,-0.014,400000.0,0.039,0.047,drawdown_deep,False,농심,2384395664000
126720,47.0,watch,B4,B5,A4,pullback_ma20,breaking,accumulation_suspect,0.0,0.0,0.024,0.407,29400.0,-0.014,-0.077,"low_history,accumulation_suspect",False,수산인더스트리,406436700000
002170,47.0,watch,B5,B5,A4,pullback_ma50,breaking,normal,0.0,0.0,-0.062,0.033,56400.0,-0.03,-0.044,,False,SYTS,168300000000
019180,47.0,watch,A3,A4,A5,pullback_ma10,pullback_ma20,normal,0.0,0.0,0.016,-0.007,7450.0,-0.026,-0.019,parabolic,False,티에이치엔,174240000000
026960,46.8,watch,B4,B3,B4,riding,bounce_ma10,normal,0.0,0.6,-0.051,0.05,26150.0,0.038,0.019,,False,동서,2517425000000
003350,45.0,skip,A3,A5,A5,breaking,breaking,distribution_suspect,0.0,0.0,0.085,-0.025,9630.0,0.005,-0.018,drawdown_deep,False,한국화장품제조,213910400000
443060,45.0,skip,A3,A4,A4,pullback_ma10,pullback_ma10,normal,0.0,0.0,0.389,0.334,245500.0,0.062,-0.003,,False,HD현대마린솔루션,11432532300000
031430,45.0,watch,B3,B5,A3,bounce_ma10,pullback_ma20,normal,0.0,0.0,0.209,0.393,14830.0,-0.028,-0.013,drawdown_deep,False,신세계인터내셔날,489104280000
214320,44.4,pass,B5,B5,A1,bounce_ma20,pullback_ma10,accumulation_suspect,0.0,0.3,0.179,0.173,21050.0,0.022,0.05,,False,이노션,810000000000
031820,44.0,watch,B4,B5,A4,pullback_ma10,pullback_ma20,accumulation_suspect,0.0,0.0,0.114,0.358,7810.0,-0.021,0.001,"drawdown_deep,accumulation_suspect",False,아이티센씨티에스,93693830040
00104K,44.0,watch,A2,A4,A5,pullback_ma50,breaking,normal,0.0,0.0,-0.081,0.02,155900.0,-0.081,-0.132,,False,CJ4우(전환),656799964800
306200,44.0,skip,A3,A4,A5,pullback_ma10,pullback_ma50,normal,0.0,0.0,0.106,0.392,156900.0,0.003,-0.042,drawdown_deep,False,세아제강,445582730000
062040,43.0,skip,A3,A3,A5,pullback_ma10,pullback_ma20,normal,0.0,0.0,0.922,1.077,282500.0,0.008,0.031,parabolic,False,산일전기,8388742900000
006125,42.8,watch,A2,A3,A4,pullback_ma10,pullback_ma20,normal,0.0,0.6,0.037,0.041,41500.0,0.018,-0.004,,False,SK디스커버리우,50561490250
005305,42.8,watch,A2,A3,A4,pullback_ma10,pullback_ma10,normal,0.0,0.6,-0.026,0.021,77400.0,-0.013,-0.03,,False,롯데칠성우,59233684000
000590,42.8,watch,A2,A3,A4,pullback_ma10,pullback_ma10,normal,0.0,0.6,0.003,0.029,77000.0,-0.001,-0.017,accumulation_suspect,False,CS홀딩스,88433321200
000815,42.4,watch,A2,A3,A3,pullback_ma10,pullback_ma20,accumulation_suspect,0.3,0.3,0.042,0.077,393000.0,0.029,0.041,"parabolic,accumulation_suspect",False,삼성화재우,1193786940000
009180,42.0,watch,A1,B5,A4,pullback_ma20,breaking,normal,0.0,0.0,0.008,0.142,3060.0,-0.007,-0.039,,False,한솔로지스틱스,84467475000
329180,42.0,watch,A2,A3,A3,riding,pullback_ma10,normal,0.0,0.0,0.404,0.168,680000.0,0.024,0.019,,False,HD현대중공업,77776267725000
000860,42.0,watch,A1,A4,A4,pullback_ma10,pullback_ma10,normal,0.0,0.0,0.083,0.043,15420.0,0.027,-0.025,,False,강남제비스코,191100000000
064400,42.0,watch,B4,B4,B4,bounce_ma50,bounce_ma20,accumulation_suspect,0.0,0.0,0.355,0.371,83200.0,0.064,0.144,"low_history,accumulation_suspect",False,LG씨엔에스,8012467899600
015230,42.0,skip,A3,A4,A4,pullback_ma50,breaking,normal,0.0,0.0,-0.049,0.07,6610.0,-0.014,-0.041,drawdown_deep,False,대창단조,175619221400
007590,42.0,watch,B3,B4,B4,bounce_ma10,pullback_ma10,accumulation_suspect,0.0,0.0,0.015,0.015,6000.0,0.001,-0.004,accumulation_suspect,False,동방아그로,81977813540
023450,41.8,watch,B3,B3,B3,riding,riding,accumulation_suspect,0.3,0.6,-0.021,-0.122,29600.0,-0.015,-0.024,"drawdown_deep,accumulation_suspect",False,동남합성,102900000000
033530,41.0,watch,A4,A5,B4,breaking,pullback_ma10,normal,0.0,0.0,0.157,-0.057,8700.0,0.066,0.073,drawdown_deep,False,SJG세종,235921749280
003925,41.0,skip,A3,A3,A4,pullback_ma20,pullback_ma50,normal,0.0,0.0,-0.043,0.104,36750.0,0.018,-0.006,,False,남양유업우,73300000000
007980,41.0,watch,B4,B5,A4,pullback_ma10,breaking,normal,0.0,0.0,0.057,0.054,1935.0,-0.015,-0.059,drawdown_deep,False,TP,89620835850
072130,41.0,watch,B3,A4,A5,pullback_ma20,breaking,normal,0.0,0.0,-0.093,0.083,4900.0,0.012,-0.029,drawdown_deep,False,유엔젤,61192088280
008770,41.0,watch,B4,B5,A4,pullback_ma10,breaking,normal,0.0,0.0,0.225,0.316,58300.0,-0.038,-0.069,drawdown_deep,False,호텔신라,2225368460700
055490,41.0,watch,B4,B5,A4,pullback_ma10,pullback_ma10,normal,0.0,0.0,0.112,0.352,18140.0,-0.023,-0.069,drawdown_deep,False,테이팩스,85281342000
034590,41.0,watch,B5,B5,B4,pullback_ma10,pullback_ma10,normal,0.0,0.0,-0.006,0.054,26500.0,0.001,-0.006,,False,인천도시가스,115930981000
009540,40.4,watch,A2,A3,A4,pullback_ma10,pullback_ma50,normal,0.0,0.3,0.081,-0.008,421000.0,-0.021,-0.06,,False,HD한국조선해양,31706355968000
181710,40.4,watch,A2,A3,A4,pullback_ma10,pullback_ma10,normal,0.0,0.3,0.077,0.236,40000.0,0.045,0.012,,False,NHN,1277372421000
047050,40.0,skip,A2,A3,A5,pullback_ma20,breaking,normal,0.0,0.0,-0.042,0.469,70300.0,-0.018,-0.09,,False,포스코인터내셔널,12173856929600
005940,40.0,watch,A2,A3,A5,pullback_ma20,breaking,normal,0.0,0.0,-0.029,0.579,32850.0,-0.004,-0.044,,False,NH투자증권,11474288681800
003230,40.0,watch,A2,A3,A2,riding,bounce_ma10,normal,0.0,0.0,0.123,0.115,1315000.0,-0.031,-0.015,parabolic,False,삼양식품,9743954902500
454910,40.0,watch,B4,A3,A4,pullback_ma10,pullback_ma20,normal,0.0,0.0,0.202,0.283,106600.0,-0.005,0.023,low_history,False,두산로보틱스,6987593844000
000157,40.0,skip,A2,A3,A5,pullback_ma10,pullback_ma50,normal,0.0,0.0,0.184,0.181,506000.0,-0.061,-0.089,parabolic,False,두산2우B,499208242000
005387,40.0,skip,A2,A3,A5,pullback_ma10,pullback_ma50,normal,0.0,0.0,0.067,0.166,263000.0,-0.023,0.005,,False,현대차2우B,9650044680000
