pct_of_1m_high,symbol,last_close,1d_MA10,1d_MA20,4h_MA10,4h_MA20,1h_MA10,1h_MA20
99.55,TRXUSDT,0.37039,3.49,5.23,-0.85,-0.14,-0.55,-0.8
99.26,JSTUSDT,0.09558,1.86,4.19,1.45,2.15,0.59,1.24
93.89,RENDERUSDT,2.211,17.02,17.61,-3.37,1.25,-0.82,-2.18
93.72,BASUSDT,0.026754,19.03,18.05,0.08,8.28,-4.71,-2.29
92.57,MORPHOUSDT,2.2008,12.6,11.59,-1.37,-2.0,-1.63,-1.79
92.41,AKTUSDT,0.8355,10.1,12.39,-4.27,-5.26,-2.11,-4.28
91.89,HYPEUSDT,60.469,8.0,22.28,-0.78,-1.86,-1.84,-0.96
91.88,BANUSDT,0.09106,14.97,21.84,-4.53,-3.57,-2.04,-3.44
91.6,APRUSDT,0.17465,4.75,11.5,-1.61,-0.58,-0.34,-0.85
90.68,DEXEUSDT,16.459,12.91,21.43,-0.57,-1.19,-1.27,-0.39
86.37,CYSUSDT,0.45977,2.68,4.76,-0.39,0.42,-0.71,-1.55
85.71,NEARUSDT,2.5617,23.7,41.11,-2.23,-0.67,1.36,0.96
84.93,HUSDT,0.26743,5.89,8.14,3.62,7.38,0.07,3.15
84.74,STABLEUSDT,0.03789,5.65,4.13,2.22,2.46,0.89,2.04
84.01,KITEUSDT,0.20803,-3.49,3.04,-0.76,1.33,-0.13,-0.31
83.57,GRASSUSDT,0.4989,23.3,34.98,-6.07,-6.87,-1.31,-2.27
83.46,TAOUSDT,274.87,2.62,-3.17,-1.6,-1.16,-0.39,-0.85
83.09,UBUSDT,0.21212,43.73,34.87,2.44,9.96,-1.21,0.27
82.55,ZECUSDT,557.23,-6.86,-2.94,-4.54,-10.17,-2.25,-2.43
81.43,HOLOUSDT,0.0728,-4.93,-5.86,0.84,-0.1,0.81,1.0
81.35,VIRTUALUSDT,0.7847,7.52,0.85,-2.2,0.4,-1.92,-1.94
80.79,VVVUSDT,17.761,-0.89,5.93,2.09,-1.4,1.81,2.74
80.67,SAFEUSDT,0.1398,-3.42,-6.0,0.48,-1.93,-0.18,1.23
79.07,BANANAS31USDT,0.011104,2.84,-2.85,-3.13,-4.5,-0.59,-1.96
75.03,DASHUSDT,43.65,-2.87,-4.89,-0.39,-2.27,0.56,0.47
74.33,JTOUSDT,0.5279,6.94,4.09,1.25,2.31,1.43,1.91
73.76,ARCUSDT,0.06507,-1.01,-1.88,0.74,0.89,0.9,1.13
73.07,LUNCUSDT,9.256e-05,11.85,5.85,6.9,10.08,1.83,2.86
71.65,JUPUSDT,0.1976,-2.36,-8.55,-0.45,-1.21,1.72,0.93
68.29,MONUSDT,0.02474,-5.43,-13.95,-1.82,-3.03,-0.45,-0.46
68.15,JCTUSDT,0.003148,-4.82,-5.44,-2.57,-8.57,0.56,-0.17
68.0,MUSDT,3.02596,-2.67,-7.48,1.05,1.96,-1.27,-0.3
67.85,QUSDT,0.01736,-9.96,-5.13,-3.09,-3.35,-0.23,-1.14
66.92,SAHARAUSDT,0.033,-7.51,-10.71,-2.01,-3.69,0.48,1.39
66.57,TONUSDT,1.8884,0.48,-8.2,-1.56,0.34,-0.18,-1.29
65.21,PIEVERSEUSDT,0.70027,-7.1,-13.47,-0.87,-2.13,0.99,0.64
63.2,TAGUSDT,0.0014121,8.46,7.72,-1.15,-5.35,0.3,0.47
62.97,OPENUSDT,0.1856,-6.33,-5.57,0.24,0.07,0.77,0.74
62.14,ENJUSDT,0.03942,-7.49,-12.73,0.18,-1.48,0.29,0.66
62.09,ORDIUSDT,4.076,-2.3,-11.03,1.31,1.22,1.69,1.89
61.62,SPKUSDT,0.02562,-7.56,-18.11,-1.19,-3.62,-0.14,-0.63
61.36,UAIUSDT,0.26038,-0.62,-2.05,0.98,-2.61,-0.06,1.39
60.63,CETUSUSDT,0.0243,-6.97,-16.15,-0.5,-2.06,0.79,0.61
59.53,REZUSDT,0.004358,-8.72,-21.39,1.6,-0.23,2.45,2.48
58.81,TACUSDT,0.017977,-5.93,-11.04,1.68,1.99,1.51,2.57
57.61,AINUSDT,0.08627,-4.75,-11.31,3.76,5.92,2.42,3.94
57.36,ZBTUSDT,0.13811,-11.94,-15.34,0.05,-2.33,0.63,1.87
56.29,ORCAUSDT,1.308,-5.51,-10.04,-1.69,-5.4,0.55,-0.3
54.04,BRUSDT,0.12977,-0.29,-7.42,2.31,4.3,0.2,2.01
53.75,LABUSDT,4.70889,0.75,-4.02,4.85,7.01,8.08,7.07
49.15,DOGSUSDT,5.139e-05,-4.17,-15.46,-0.62,-0.92,0.59,0.17
49.0,BABYUSDT,0.01579,-3.44,-8.37,0.83,-0.66,1.71,1.86
47.97,LUMIAUSDT,0.10125,2.56,-4.71,-1.92,-3.88,-0.02,-0.74
32.15,BUSDT,0.2492,-17.32,-35.72,1.01,0.88,0.33,0.88
25.44,SKYAIUSDT,0.2039,-25.53,-43.08,-10.67,-23.37,-6.91,-6.93
