asset,strategy,interval,score_th,rule,n,win%,mean%,median%,held,total%,MDD%,Sharpe_ann,PF,_max_hold,_trailing_pct,_take_profit_pct,_cut_1bar_neg,_cut_short_thr,_cut_short_at
crypto,quiet_bottom,1d,binary,hold_60d_trail15_cut3d,3534,32.9,-1.26,-6.3,13.3,-100.0,-100.0,-1.59,0.82,60,0.15,0.0,False,-5,3
crypto,quiet_bottom,1d,binary,hold_30d_trail10,3534,39.0,-1.57,-3.54,14.1,-100.0,-100.0,-1.86,0.79,30,0.1,0.0,False,-999,2
crypto,quiet_bottom,1d,binary,hold_60d_trail20_TP30,3534,39.6,0.69,-6.13,24.3,-100.0,-100.0,0.61,1.07,60,0.2,0.3,False,-999,2
crypto,quiet_bottom,1w,binary,hold_13w_trail15_cut1w,68,20.6,3.13,-5.29,3.6,-48.8,-87.2,0.27,1.4,13,0.15,0.0,True,-999,2
crypto,quiet_bottom,1w,binary,hold_8w_trail15,68,33.8,-0.98,-13.55,6.9,-99.3,-99.7,-0.08,0.93,8,0.15,0.0,False,-999,2
crypto,quiet_bottom,1w,binary,hold_13w_trail20_TP30,68,29.4,-8.93,-17.61,8.8,-100.0,-100.0,-0.82,0.58,13,0.2,0.3,False,-999,2
crypto,quiet_bottom,4h,binary,hold_120bars_trail15_cut24h,721,24.0,-3.08,-7.28,29.1,-100.0,-100.0,-1.69,0.62,120,0.15,0.0,False,-4,6
crypto,quiet_bottom,4h,binary,hold_60bars_trail10,721,31.2,-2.2,-5.28,25.8,-100.0,-100.0,-1.14,0.71,60,0.1,0.0,False,-999,2
crypto,quiet_bottom,4h,binary,hold_120bars_trail20_TP30,721,30.5,-2.91,-10.89,52.5,-100.0,-100.0,-1.28,0.75,120,0.2,0.3,False,-999,2
crypto,trend_chase,1d,60,hold_60d_trail15_cut3d,305,45.2,13.48,-3.85,28.9,676201486951.0,-87.6,2.04,3.36,60,0.15,0.0,False,-5,3
crypto,trend_chase,1d,60,hold_30d_trail10,305,46.2,5.83,-1.5,20.0,1343962.1,-77.8,1.38,2.23,30,0.1,0.0,False,-999,2
crypto,trend_chase,1d,60,hold_60d_trail20_TP30,305,57.4,10.67,6.13,35.9,308870155699.9,-85.6,2.85,2.72,60,0.2,0.3,False,-999,2
crypto,trend_chase,1d,70,hold_60d_trail15_cut3d,209,43.5,10.25,-5.28,26.3,19891712.2,-84.6,1.65,2.74,60,0.15,0.0,False,-5,3
crypto,trend_chase,1d,70,hold_30d_trail10,209,45.5,4.38,-1.94,19.4,9562.4,-74.8,1.07,1.87,30,0.1,0.0,False,-999,2
crypto,trend_chase,1d,70,hold_60d_trail20_TP30,209,56.9,10.75,5.4,35.5,170533735.5,-85.3,2.23,2.58,60,0.2,0.3,False,-999,2
crypto,trend_chase,1d,75,hold_60d_trail15_cut3d,138,36.2,6.97,-5.94,23.1,10177.6,-74.4,0.98,2.09,60,0.15,0.0,False,-5,3
crypto,trend_chase,1d,75,hold_30d_trail10,138,41.3,2.63,-4.16,19.5,149.1,-71.9,0.58,1.45,30,0.1,0.0,False,-999,2
crypto,trend_chase,1d,75,hold_60d_trail20_TP30,138,53.6,9.57,2.19,36.2,309433.9,-76.9,1.62,2.34,60,0.2,0.3,False,-999,2
crypto,trend_chase,1d,80,hold_60d_trail15_cut3d,127,37.0,7.17,-5.94,23.1,7652.5,-78.9,0.94,2.12,60,0.15,0.0,False,-5,3
crypto,trend_chase,1d,80,hold_30d_trail10,127,41.7,2.62,-4.15,19.0,104.1,-71.9,0.54,1.43,30,0.1,0.0,False,-999,2
crypto,trend_chase,1d,80,hold_60d_trail20_TP30,127,54.3,9.65,2.38,35.4,152548.8,-76.9,1.54,2.31,60,0.2,0.3,False,-999,2
crypto,trend_chase,1d,85,hold_60d_trail15_cut3d,88,36.4,4.9,-6.43,20.6,495.2,-83.4,0.68,1.7,60,0.15,0.0,False,-5,3
crypto,trend_chase,1d,85,hold_30d_trail10,88,38.6,1.4,-4.72,17.2,-37.8,-75.4,0.26,1.21,30,0.1,0.0,False,-999,2
