asset,strategy,interval,score_th,rule,n,win%,mean%,median%,held,total%,MDD%,Sharpe_ann,PF,_max_hold,_trailing_pct,_take_profit_pct,_cut_1bar_neg,_cut_short_thr,_cut_short_at
crypto,trend_chase,1d,60,hold_60d_trail15_cut3d,305,45.2,13.48,-3.85,28.9,676201486951.0,-87.6,2.04,3.36,60,0.15,0.0,False,-5,3
crypto,trend_chase,1d,60,hold_30d_trail10,305,46.2,5.83,-1.5,20.0,1343962.1,-77.8,1.38,2.23,30,0.1,0.0,False,-999,2
crypto,trend_chase,1d,60,hold_60d_trail20_TP30,305,57.4,10.67,6.13,35.9,308870155699.9,-85.6,2.85,2.72,60,0.2,0.3,False,-999,2
crypto,trend_chase,1d,70,hold_60d_trail15_cut3d,209,43.5,10.25,-5.28,26.3,19891712.2,-84.6,1.65,2.74,60,0.15,0.0,False,-5,3
crypto,trend_chase,1d,70,hold_30d_trail10,209,45.5,4.38,-1.94,19.4,9562.4,-74.8,1.07,1.87,30,0.1,0.0,False,-999,2
crypto,trend_chase,1d,70,hold_60d_trail20_TP30,209,56.9,10.75,5.4,35.5,170533735.5,-85.3,2.23,2.58,60,0.2,0.3,False,-999,2
crypto,trend_chase,1d,75,hold_60d_trail15_cut3d,138,36.2,6.97,-5.94,23.1,10177.6,-74.4,0.98,2.09,60,0.15,0.0,False,-5,3
crypto,trend_chase,1d,75,hold_30d_trail10,138,41.3,2.63,-4.16,19.5,149.1,-71.9,0.58,1.45,30,0.1,0.0,False,-999,2
crypto,trend_chase,1d,75,hold_60d_trail20_TP30,138,53.6,9.57,2.19,36.2,309433.9,-76.9,1.62,2.34,60,0.2,0.3,False,-999,2
crypto,trend_chase,1d,80,hold_60d_trail15_cut3d,127,37.0,7.17,-5.94,23.1,7652.5,-78.9,0.94,2.12,60,0.15,0.0,False,-5,3
crypto,trend_chase,1d,80,hold_30d_trail10,127,41.7,2.62,-4.15,19.0,104.1,-71.9,0.54,1.43,30,0.1,0.0,False,-999,2
crypto,trend_chase,1d,80,hold_60d_trail20_TP30,127,54.3,9.65,2.38,35.4,152548.8,-76.9,1.54,2.31,60,0.2,0.3,False,-999,2
crypto,trend_chase,1d,85,hold_60d_trail15_cut3d,88,36.4,4.9,-6.43,20.6,495.2,-83.4,0.68,1.7,60,0.15,0.0,False,-5,3
crypto,trend_chase,1d,85,hold_30d_trail10,88,38.6,1.4,-4.72,17.2,-37.8,-75.4,0.26,1.21,30,0.1,0.0,False,-999,2
crypto,trend_chase,1d,85,hold_60d_trail20_TP30,88,55.7,10.74,2.19,33.0,35163.5,-68.5,1.37,2.51,60,0.2,0.3,False,-999,2
crypto,trend_chase,1d,90,hold_60d_trail15_cut3d,59,35.6,5.88,-6.88,18.8,315.7,-73.0,0.6,1.79,60,0.15,0.0,False,-5,3
crypto,trend_chase,1d,90,hold_30d_trail10,59,45.8,1.88,-3.83,17.9,-6.4,-86.3,0.28,1.28,30,0.1,0.0,False,-999,2
crypto,trend_chase,1d,90,hold_60d_trail20_TP30,59,57.6,12.34,9.71,32.8,10951.2,-53.4,1.25,2.82,60,0.2,0.3,False,-999,2
