asset,strategy,interval,score_th,rule,n,win%,mean%,median%,held,total%,MDD%,Sharpe_ann,PF,_max_hold,_trailing_pct,_take_profit_pct,_cut_1bar_neg,_cut_short_thr,_cut_short_at
crypto,trend_chase,1w,60,hold_13w_trail15_cut1w,1,100.0,24.99,24.99,6.0,25.0,0.0,0.0,99.99,13,0.15,0.0,True,-999,2
crypto,trend_chase,1w,60,hold_8w_trail15,1,100.0,24.99,24.99,6.0,25.0,0.0,0.0,99.99,8,0.15,0.0,False,-999,2
crypto,trend_chase,1w,60,hold_13w_trail20_TP30,1,100.0,34.89,34.89,3.0,34.9,0.0,0.0,99.99,13,0.2,0.3,False,-999,2
crypto,trend_chase,1w,70,hold_13w_trail15_cut1w,1,100.0,24.99,24.99,6.0,25.0,0.0,0.0,99.99,13,0.15,0.0,True,-999,2
crypto,trend_chase,1w,70,hold_8w_trail15,1,100.0,24.99,24.99,6.0,25.0,0.0,0.0,99.99,8,0.15,0.0,False,-999,2
crypto,trend_chase,1w,70,hold_13w_trail20_TP30,1,100.0,34.89,34.89,3.0,34.9,0.0,0.0,99.99,13,0.2,0.3,False,-999,2
crypto,trend_chase,1w,75,hold_13w_trail15_cut1w,1,100.0,24.99,24.99,6.0,25.0,0.0,0.0,99.99,13,0.15,0.0,True,-999,2
crypto,trend_chase,1w,75,hold_8w_trail15,1,100.0,24.99,24.99,6.0,25.0,0.0,0.0,99.99,8,0.15,0.0,False,-999,2
crypto,trend_chase,1w,75,hold_13w_trail20_TP30,1,100.0,34.89,34.89,3.0,34.9,0.0,0.0,99.99,13,0.2,0.3,False,-999,2
crypto,trend_chase,1w,80,hold_13w_trail15_cut1w,1,100.0,24.99,24.99,6.0,25.0,0.0,0.0,99.99,13,0.15,0.0,True,-999,2
crypto,trend_chase,1w,80,hold_8w_trail15,1,100.0,24.99,24.99,6.0,25.0,0.0,0.0,99.99,8,0.15,0.0,False,-999,2
crypto,trend_chase,1w,80,hold_13w_trail20_TP30,1,100.0,34.89,34.89,3.0,34.9,0.0,0.0,99.99,13,0.2,0.3,False,-999,2
crypto,trend_chase,1w,85,hold_13w_trail15_cut1w,1,100.0,24.99,24.99,6.0,25.0,0.0,0.0,99.99,13,0.15,0.0,True,-999,2
crypto,trend_chase,1w,85,hold_8w_trail15,1,100.0,24.99,24.99,6.0,25.0,0.0,0.0,99.99,8,0.15,0.0,False,-999,2
crypto,trend_chase,1w,85,hold_13w_trail20_TP30,1,100.0,34.89,34.89,3.0,34.9,0.0,0.0,99.99,13,0.2,0.3,False,-999,2
crypto,trend_chase,1w,90,hold_13w_trail15_cut1w,1,100.0,24.99,24.99,6.0,25.0,0.0,0.0,99.99,13,0.15,0.0,True,-999,2
crypto,trend_chase,1w,90,hold_8w_trail15,1,100.0,24.99,24.99,6.0,25.0,0.0,0.0,99.99,8,0.15,0.0,False,-999,2
crypto,trend_chase,1w,90,hold_13w_trail20_TP30,1,100.0,34.89,34.89,3.0,34.9,0.0,0.0,99.99,13,0.2,0.3,False,-999,2
