asset,strategy,interval,score_th,rule,n,win%,mean%,median%,held,total%,MDD%,Sharpe_ann,PF,_max_hold,_trailing_pct,_take_profit_pct,_cut_1bar_neg,_cut_short_thr,_cut_short_at
crypto,trend_chase,4h,60,hold_120bars_trail15_cut24h,11682,31.8,0.31,-5.57,52.9,-100.0,-100.0,0.62,1.05,120,0.15,0.0,False,-4,6
crypto,trend_chase,4h,60,hold_60bars_trail10,11682,38.1,-0.09,-3.69,37.6,-100.0,-100.0,-0.21,0.98,60,0.1,0.0,False,-999,2
crypto,trend_chase,4h,60,hold_120bars_trail20_TP30,11682,38.7,0.1,-5.56,81.5,-100.0,-100.0,0.2,1.01,120,0.2,0.3,False,-999,2
crypto,trend_chase,4h,70,hold_120bars_trail15_cut24h,7032,30.6,0.13,-5.78,48.7,-100.0,-100.0,0.19,1.02,120,0.15,0.0,False,-4,6
crypto,trend_chase,4h,70,hold_60bars_trail10,7032,37.2,-0.28,-4.07,36.3,-100.0,-100.0,-0.5,0.95,60,0.1,0.0,False,-999,2
crypto,trend_chase,4h,70,hold_120bars_trail20_TP30,7032,37.8,0.04,-6.13,79.9,-100.0,-100.0,0.06,1.0,120,0.2,0.3,False,-999,2
crypto,trend_chase,4h,75,hold_120bars_trail15_cut24h,4459,29.5,-0.02,-6.0,44.3,-100.0,-100.0,-0.03,1.0,120,0.15,0.0,False,-4,6
crypto,trend_chase,4h,75,hold_60bars_trail10,4459,36.3,-0.41,-4.44,35.3,-100.0,-100.0,-0.53,0.94,60,0.1,0.0,False,-999,2
crypto,trend_chase,4h,75,hold_120bars_trail20_TP30,4459,36.5,-0.33,-6.47,78.5,-100.0,-100.0,-0.38,0.97,120,0.2,0.3,False,-999,2
crypto,trend_chase,4h,80,hold_120bars_trail15_cut24h,3769,28.9,-0.22,-6.24,42.1,-100.0,-100.0,-0.24,0.97,120,0.15,0.0,False,-4,6
crypto,trend_chase,4h,80,hold_60bars_trail10,3769,35.7,-0.63,-4.69,34.8,-100.0,-100.0,-0.77,0.9,60,0.1,0.0,False,-999,2
crypto,trend_chase,4h,80,hold_120bars_trail20_TP30,3769,35.7,-0.66,-6.92,77.5,-100.0,-100.0,-0.72,0.93,120,0.2,0.3,False,-999,2
crypto,trend_chase,4h,85,hold_120bars_trail15_cut24h,2479,27.6,-0.5,-6.67,37.8,-100.0,-100.0,-0.42,0.93,120,0.15,0.0,False,-4,6
crypto,trend_chase,4h,85,hold_60bars_trail10,2479,34.9,-1.19,-5.17,34.3,-100.0,-100.0,-1.17,0.83,60,0.1,0.0,False,-999,2
crypto,trend_chase,4h,85,hold_120bars_trail20_TP30,2479,34.0,-1.34,-7.63,76.7,-100.0,-100.0,-1.15,0.87,120,0.2,0.3,False,-999,2
crypto,trend_chase,4h,90,hold_120bars_trail15_cut24h,1782,26.3,-0.59,-7.04,34.5,-100.0,-100.0,-0.4,0.92,120,0.15,0.0,False,-4,6
crypto,trend_chase,4h,90,hold_60bars_trail10,1782,33.6,-1.49,-5.51,33.5,-100.0,-100.0,-1.16,0.8,60,0.1,0.0,False,-999,2
crypto,trend_chase,4h,90,hold_120bars_trail20_TP30,1782,32.8,-1.74,-8.54,75.3,-100.0,-100.0,-1.27,0.83,120,0.2,0.3,False,-999,2
