asset,strategy,interval,score_th,rule,n,win%,mean%,median%,held,total%,MDD%,Sharpe_ann,PF,_max_hold,_trailing_pct,_take_profit_pct,_cut_1bar_neg,_cut_short_thr,_cut_short_at
crypto,trend_pullback,1d,60,hold_60d_trail15_cut3d,12575,29.7,1.79,-7.31,15.9,-100.0,-100.0,2.46,1.22,60,0.15,0.0,False,-5,3
crypto,trend_pullback,1d,60,hold_30d_trail10,12575,36.2,0.59,-4.73,15.0,-100.0,-100.0,0.95,1.08,30,0.1,0.0,False,-999,2
crypto,trend_pullback,1d,60,hold_60d_trail20_TP30,12575,36.6,0.45,-9.08,26.6,-100.0,-100.0,0.69,1.04,60,0.2,0.3,False,-999,2
crypto,trend_pullback,1d,70,hold_60d_trail15_cut3d,11230,31.2,2.19,-7.09,16.1,-100.0,-100.0,2.81,1.28,60,0.15,0.0,False,-5,3
crypto,trend_pullback,1d,70,hold_30d_trail10,11230,37.4,0.82,-4.57,15.3,-100.0,-100.0,1.28,1.11,30,0.1,0.0,False,-999,2
crypto,trend_pullback,1d,70,hold_60d_trail20_TP30,11230,38.5,1.37,-7.74,26.9,-100.0,-100.0,1.98,1.12,60,0.2,0.3,False,-999,2
crypto,trend_pullback,1d,75,hold_60d_trail15_cut3d,10175,31.0,2.01,-6.96,16.5,-100.0,-100.0,2.47,1.25,60,0.15,0.0,False,-5,3
crypto,trend_pullback,1d,75,hold_30d_trail10,10175,37.4,0.68,-4.4,15.6,-100.0,-100.0,1.02,1.09,30,0.1,0.0,False,-999,2
crypto,trend_pullback,1d,75,hold_60d_trail20_TP30,10175,38.8,1.38,-7.34,27.5,-100.0,-100.0,1.92,1.12,60,0.2,0.3,False,-999,2
crypto,trend_pullback,1d,80,hold_60d_trail15_cut3d,8070,31.8,2.35,-6.8,16.4,-100.0,-100.0,2.56,1.31,60,0.15,0.0,False,-5,3
crypto,trend_pullback,1d,80,hold_30d_trail10,8070,38.6,0.92,-4.04,15.6,-100.0,-100.0,1.26,1.12,30,0.1,0.0,False,-999,2
crypto,trend_pullback,1d,80,hold_60d_trail20_TP30,8070,39.8,1.93,-6.52,27.2,-100.0,-100.0,2.41,1.17,60,0.2,0.3,False,-999,2
crypto,trend_pullback,1d,85,hold_60d_trail15_cut3d,6770,32.1,2.15,-6.78,16.1,-100.0,-100.0,2.27,1.28,60,0.15,0.0,False,-5,3
crypto,trend_pullback,1d,85,hold_30d_trail10,6770,38.9,1.12,-3.86,15.5,-100.0,-100.0,1.42,1.15,30,0.1,0.0,False,-999,2
crypto,trend_pullback,1d,85,hold_60d_trail20_TP30,6770,40.3,2.18,-6.33,27.1,-100.0,-100.0,2.49,1.2,60,0.2,0.3,False,-999,2
crypto,trend_pullback,1d,90,hold_60d_trail15_cut3d,4218,32.4,2.43,-6.64,16.0,-100.0,-100.0,2.06,1.33,60,0.15,0.0,False,-5,3
crypto,trend_pullback,1d,90,hold_30d_trail10,4218,39.4,1.11,-3.5,15.8,-100.0,-100.0,1.15,1.15,30,0.1,0.0,False,-999,2
crypto,trend_pullback,1d,90,hold_60d_trail20_TP30,4218,40.7,2.53,-5.65,27.4,-100.0,-100.0,2.28,1.23,60,0.2,0.3,False,-999,2
