asset,strategy,interval,score_th,rule,n,win%,mean%,median%,held,total%,MDD%,Sharpe_ann,PF,_max_hold,_trailing_pct,_take_profit_pct,_cut_1bar_neg,_cut_short_thr,_cut_short_at
crypto,trend_pullback,1w,60,hold_13w_trail15_cut1w,658,26.3,4.95,-6.24,3.8,2927.9,-100.0,1.29,1.64,13,0.15,0.0,True,-999,2
crypto,trend_pullback,1w,60,hold_8w_trail15,658,44.4,10.5,-4.31,6.7,76286.3,-100.0,2.01,1.86,8,0.15,0.0,False,-999,2
crypto,trend_pullback,1w,60,hold_13w_trail20_TP30,658,47.1,6.51,-4.5,7.8,-100.0,-100.0,1.65,1.46,13,0.2,0.3,False,-999,2
crypto,trend_pullback,1w,70,hold_13w_trail15_cut1w,388,28.4,7.58,-5.08,4.0,3086855.5,-98.6,1.45,2.08,13,0.15,0.0,True,-999,2
crypto,trend_pullback,1w,70,hold_8w_trail15,388,44.8,9.82,-4.06,6.9,3232.1,-100.0,1.48,1.81,8,0.15,0.0,False,-999,2
crypto,trend_pullback,1w,70,hold_13w_trail20_TP30,388,48.2,7.58,-1.95,8.0,-93.6,-100.0,1.45,1.55,13,0.2,0.3,False,-999,2
crypto,trend_pullback,1w,75,hold_13w_trail15_cut1w,333,28.8,7.54,-4.78,4.1,827001.6,-96.0,1.34,2.1,13,0.15,0.0,True,-999,2
crypto,trend_pullback,1w,75,hold_8w_trail15,333,46.2,9.94,-3.23,6.9,4932.8,-100.0,1.41,1.83,8,0.15,0.0,False,-999,2
crypto,trend_pullback,1w,75,hold_13w_trail20_TP30,333,50.5,9.09,0.08,7.9,1899.8,-100.0,1.6,1.69,13,0.2,0.3,False,-999,2
crypto,trend_pullback,1w,80,hold_13w_trail15_cut1w,207,31.9,10.64,-4.21,4.5,3206153.9,-84.5,1.39,2.7,13,0.15,0.0,True,-999,2
crypto,trend_pullback,1w,80,hold_8w_trail15,207,45.9,8.39,-2.33,6.8,917.9,-98.0,1.08,1.75,8,0.15,0.0,False,-999,2
crypto,trend_pullback,1w,80,hold_13w_trail20_TP30,207,50.7,8.94,0.49,7.8,1136.1,-99.3,1.29,1.71,13,0.2,0.3,False,-999,2
crypto,trend_pullback,1w,85,hold_13w_trail15_cut1w,142,28.2,8.99,-4.2,4.4,16904.4,-86.0,0.95,2.47,13,0.15,0.0,True,-999,2
crypto,trend_pullback,1w,85,hold_8w_trail15,142,42.3,4.98,-4.45,7.0,-87.3,-99.1,0.56,1.43,8,0.15,0.0,False,-999,2
crypto,trend_pullback,1w,85,hold_13w_trail20_TP30,142,50.0,7.47,-0.19,8.2,92.9,-99.1,0.91,1.59,13,0.2,0.3,False,-999,2
crypto,trend_pullback,1w,90,hold_13w_trail15_cut1w,86,30.2,9.17,-2.48,4.3,4770.1,-54.2,0.81,2.86,13,0.15,0.0,True,-999,2
crypto,trend_pullback,1w,90,hold_8w_trail15,86,48.8,9.7,-1.65,7.2,1326.6,-94.8,0.83,1.96,8,0.15,0.0,False,-999,2
crypto,trend_pullback,1w,90,hold_13w_trail20_TP30,86,57.0,10.11,10.68,8.1,1986.9,-95.9,1.04,1.93,13,0.2,0.3,False,-999,2
