asset,strategy,interval,score_th,rule,n,win%,mean%,median%,held,total%,MDD%,Sharpe_ann,PF,_max_hold,_trailing_pct,_take_profit_pct,_cut_1bar_neg,_cut_short_thr,_cut_short_at
crypto,trend_pullback,4h,60,hold_120bars_trail15_cut24h,34979,27.9,-0.12,-6.3,43.5,-100.0,-100.0,-0.38,0.98,120,0.15,0.0,False,-4,6
crypto,trend_pullback,4h,60,hold_60bars_trail10,34979,34.2,-0.37,-4.68,32.5,-100.0,-100.0,-1.46,0.94,60,0.1,0.0,False,-999,2
crypto,trend_pullback,4h,60,hold_120bars_trail20_TP30,34979,35.1,-0.5,-8.47,68.9,-100.0,-100.0,-1.6,0.95,120,0.2,0.3,False,-999,2
crypto,trend_pullback,4h,70,hold_120bars_trail15_cut24h,36440,27.5,-0.17,-6.31,42.8,-100.0,-100.0,-0.56,0.98,120,0.15,0.0,False,-4,6
crypto,trend_pullback,4h,70,hold_60bars_trail10,36440,34.4,-0.29,-4.73,32.5,-100.0,-100.0,-1.17,0.95,60,0.1,0.0,False,-999,2
crypto,trend_pullback,4h,70,hold_120bars_trail20_TP30,36440,34.9,-0.46,-8.61,68.5,-100.0,-100.0,-1.51,0.95,120,0.2,0.3,False,-999,2
crypto,trend_pullback,4h,75,hold_120bars_trail15_cut24h,37176,26.9,-0.34,-6.38,42.1,-100.0,-100.0,-1.15,0.95,120,0.15,0.0,False,-4,6
crypto,trend_pullback,4h,75,hold_60bars_trail10,37176,34.0,-0.35,-4.84,32.5,-100.0,-100.0,-1.41,0.94,60,0.1,0.0,False,-999,2
crypto,trend_pullback,4h,75,hold_120bars_trail20_TP30,37176,34.8,-0.47,-8.67,68.5,-100.0,-100.0,-1.57,0.95,120,0.2,0.3,False,-999,2
crypto,trend_pullback,4h,80,hold_120bars_trail15_cut24h,30461,26.8,-0.34,-6.38,41.1,-100.0,-100.0,-1.05,0.95,120,0.15,0.0,False,-4,6
crypto,trend_pullback,4h,80,hold_60bars_trail10,30461,34.0,-0.34,-4.86,32.2,-100.0,-100.0,-1.28,0.94,60,0.1,0.0,False,-999,2
crypto,trend_pullback,4h,80,hold_120bars_trail20_TP30,30461,34.8,-0.42,-8.68,67.8,-100.0,-100.0,-1.25,0.96,120,0.2,0.3,False,-999,2
crypto,trend_pullback,4h,85,hold_120bars_trail15_cut24h,24429,26.8,-0.31,-6.39,40.1,-100.0,-100.0,-0.85,0.96,120,0.15,0.0,False,-4,6
crypto,trend_pullback,4h,85,hold_60bars_trail10,24429,34.0,-0.32,-4.85,31.9,-100.0,-100.0,-1.05,0.95,60,0.1,0.0,False,-999,2
crypto,trend_pullback,4h,85,hold_120bars_trail20_TP30,24429,34.6,-0.52,-8.86,67.1,-100.0,-100.0,-1.4,0.95,120,0.2,0.3,False,-999,2
crypto,trend_pullback,4h,90,hold_120bars_trail15_cut24h,14576,27.3,-0.17,-6.37,40.2,-100.0,-100.0,-0.35,0.98,120,0.15,0.0,False,-4,6
crypto,trend_pullback,4h,90,hold_60bars_trail10,14576,34.6,-0.12,-4.74,32.0,-100.0,-100.0,-0.31,0.98,60,0.1,0.0,False,-999,2
crypto,trend_pullback,4h,90,hold_120bars_trail20_TP30,14576,35.4,-0.18,-8.45,67.5,-100.0,-100.0,-0.36,0.98,120,0.2,0.3,False,-999,2
