asset,strategy,interval,score_th,rule,IS_n,IS_win%,IS_mean%,IS_MDD%,IS_Sharpe,IS_PF,OOS_n,OOS_win%,OOS_mean%,OOS_MDD%,OOS_Sharpe,OOS_PF,Sharpe_decay
kr,trend_pullback,1d,60,hold_252d_trail20_TP30,10556,46.9,7.25,-100.0,14.79,1.94,7448,54.2,10.86,-100.0,24.83,2.85,0.679
kr,trend_pullback,1d,70,hold_252d_trail20_TP30,11439,46.6,6.86,-100.0,14.61,1.87,7952,53.2,10.44,-100.0,24.86,2.74,0.702
kr,trend_pullback,1d,80,hold_252d_trail20_TP30,8574,46.7,6.74,-100.0,12.39,1.85,5834,51.8,9.61,-99.9,21.85,2.53,0.764
us,trend_pullback,1d,60,hold_252d_trail20_TP30,10499,49.6,7.8,-100.0,15.98,2.05,5650,52.0,9.4,-100.0,19.88,2.39,0.244
us,trend_pullback,1d,70,hold_252d_trail20_TP30,12258,51.1,8.42,-100.0,18.82,2.17,6805,52.2,9.29,-100.0,22.08,2.39,0.173
us,trend_pullback,1d,80,hold_252d_trail20_TP30,8945,50.6,8.1,-100.0,15.57,2.11,5029,52.2,9.3,-100.0,18.97,2.38,0.218
kr,trend_chase,1d,60,hold_252d_trail20_TP30,2772,44.0,4.61,-100.0,5.05,1.56,1221,56.8,11.52,-99.4,12.32,3.09,1.44
kr,trend_chase,1d,70,hold_252d_trail20_TP30,1707,44.3,4.74,-99.8,4.03,1.58,785,57.2,12.04,-90.2,10.22,3.18,1.536
kr,trend_chase,1d,80,hold_252d_trail20_TP30,1001,43.3,4.2,-99.8,2.7,1.49,443,57.6,12.23,-73.0,7.89,3.32,1.922
us,trend_chase,1d,60,hold_252d_trail20_TP30,1297,48.2,6.53,-95.1,5.18,1.96,883,49.9,7.21,-95.6,6.79,2.11,0.311
us,trend_chase,1d,70,hold_252d_trail20_TP30,722,48.9,6.92,-98.8,4.05,2.0,551,49.7,7.21,-88.9,5.31,2.09,0.311
us,trend_chase,1d,80,hold_252d_trail20_TP30,372,49.5,7.63,-98.5,3.25,2.18,273,48.7,7.24,-80.0,3.73,2.09,0.148
kr,quiet_bottom,1w,binary,hold_52w_trail20_TP30,370,65.7,19.29,-97.3,6.7,4.7,242,53.3,12.27,-90.8,4.41,2.62,-0.342
us,quiet_bottom,1w,binary,hold_52w_trail20_TP30,251,56.6,12.85,-92.3,3.5,2.72,155,55.5,18.08,-96.8,4.96,3.83,0.417
crypto,trend_chase,1d,60,hold_60d_trail20_TP30,183,62.3,14.3,-66.5,3.8,3.54,116,50.0,4.9,-99.1,1.35,1.67,-0.645
crypto,trend_chase,1d,70,hold_60d_trail20_TP30,125,64.8,15.44,-58.8,3.35,3.82,79,44.3,3.09,-98.6,0.63,1.34,-0.812
crypto,trend_chase,1d,80,hold_60d_trail20_TP30,79,63.3,14.23,-68.5,2.35,3.33,45,37.8,0.62,-95.8,0.1,1.06,-0.957
crypto,trend_pullback,1d,60,hold_60d_trail15_cut3d,5037,34.2,4.71,-100.0,4.55,1.63,7261,26.4,-0.17,-100.0,-0.32,0.98,-1.07
crypto,trend_pullback,1d,70,hold_60d_trail15_cut3d,4768,35.0,4.38,-100.0,4.37,1.59,6164,28.1,0.6,-100.0,1.0,1.07,-0.771
crypto,trend_pullback,1d,80,hold_60d_trail15_cut3d,3654,33.7,3.66,-100.0,3.24,1.49,4184,29.5,1.32,-100.0,1.77,1.16,-0.454
