asset,strategy,interval,score_th,trail,tp,hold,rule_name,IS_n,IS_win%,IS_mean%,IS_MDD%,IS_Sharpe,IS_PF,OOS_n,OOS_win%,OOS_mean%,OOS_MDD%,OOS_Sharpe,OOS_PF,Sharpe_decay
kr,quiet_bottom,1w,binary,0.1,0.2,13,trail10_TP20_hold13,370,54.3,7.0,-82.8,3.48,2.47,242,43.4,4.5,-87.2,2.13,1.66,-0.388
kr,quiet_bottom,1w,binary,0.1,0.25,13,trail10_TP25_hold13,370,54.1,7.59,-81.1,3.57,2.6,242,42.6,4.56,-88.5,2.07,1.67,-0.42
kr,quiet_bottom,1w,binary,0.1,0.3,13,trail10_TP30_hold13,370,54.1,7.95,-81.5,3.55,2.67,242,42.1,4.54,-88.5,2.04,1.67,-0.425
kr,quiet_bottom,1w,binary,0.1,0.4,13,trail10_TP40_hold13,370,53.8,8.9,-83.4,3.61,2.87,242,42.1,4.66,-88.5,2.02,1.69,-0.44
kr,quiet_bottom,1w,binary,0.1,0.5,13,trail10_TP50_hold13,370,53.8,9.31,-83.4,3.59,2.95,242,42.1,4.81,-88.3,2.03,1.71,-0.435
kr,quiet_bottom,1w,binary,0.1,,13,trail10_TPoff_hold13,370,53.8,10.53,-85.7,3.19,3.21,242,42.1,4.41,-88.3,1.71,1.65,-0.464
kr,quiet_bottom,1w,binary,0.15,0.2,13,trail15_TP20_hold13,370,60.0,8.7,-88.2,4.14,2.8,242,48.8,5.74,-90.6,2.56,1.77,-0.382
kr,quiet_bottom,1w,binary,0.15,0.25,13,trail15_TP25_hold13,370,59.2,9.34,-86.9,4.22,2.93,242,46.7,6.16,-92.6,2.58,1.82,-0.389
kr,quiet_bottom,1w,binary,0.15,0.3,13,trail15_TP30_hold13,370,59.2,9.88,-85.4,4.22,3.04,242,46.3,6.35,-92.6,2.59,1.85,-0.386
kr,quiet_bottom,1w,binary,0.15,0.4,13,trail15_TP40_hold13,370,58.9,10.93,-86.4,4.26,3.25,242,46.3,6.38,-91.7,2.5,1.85,-0.413
kr,quiet_bottom,1w,binary,0.15,0.5,13,trail15_TP50_hold13,370,58.9,11.42,-86.3,4.19,3.35,242,46.3,6.26,-91.1,2.42,1.84,-0.422
kr,quiet_bottom,1w,binary,0.15,,13,trail15_TPoff_hold13,370,58.9,12.09,-86.3,3.62,3.49,242,46.3,6.2,-91.2,2.07,1.83,-0.428
kr,quiet_bottom,1w,binary,0.2,0.2,13,trail20_TP20_hold13,370,63.8,9.11,-84.7,4.34,2.93,242,54.1,6.68,-90.5,2.97,1.93,-0.316
kr,quiet_bottom,1w,binary,0.2,0.25,13,trail20_TP25_hold13,370,62.2,9.68,-83.1,4.37,3.02,242,50.8,6.96,-92.5,2.9,1.94,-0.336
kr,quiet_bottom,1w,binary,0.2,0.3,13,trail20_TP30_hold13,370,61.6,10.18,-83.1,4.33,3.1,242,50.4,7.24,-92.4,2.94,1.98,-0.321
kr,quiet_bottom,1w,binary,0.2,0.4,13,trail20_TP40_hold13,370,60.8,11.21,-83.0,4.34,3.3,242,50.0,7.65,-90.8,2.92,2.04,-0.327
kr,quiet_bottom,1w,binary,0.2,0.5,13,trail20_TP50_hold13,370,60.8,11.62,-83.0,4.24,3.38,242,50.0,7.91,-90.5,2.89,2.07,-0.318
kr,quiet_bottom,1w,binary,0.2,,13,trail20_TPoff_hold13,370,60.8,13.17,-86.1,3.69,3.7,242,50.0,8.85,-90.8,2.62,2.2,-0.29
