asset,strategy,interval,score_th,trail,tp,hold,rule_name,n_full,win%_full,mean%_full,MDD%_full,Sharpe_full,PF_full,held_full,n_oos,win%_oos,mean%_oos,Sharpe_oos,PF_oos
kr,quiet_bottom,1w,binary,15,20,26,h26_tr15_tp20,607,57.3,9.95,-98.6,4.19,2.64,12.5,235,45.5,6.06,1.44,1.76
kr,quiet_bottom,1w,binary,15,30,26,h26_tr15_tp30,607,54.9,11.82,-98.6,4.39,2.93,14.0,235,42.1,7.02,1.52,1.87
kr,quiet_bottom,1w,binary,15,none,26,h26_tr15_tpnone,607,54.7,14.76,-99.3,3.57,3.41,17.2,235,42.1,7.54,1.12,1.93
kr,quiet_bottom,1w,binary,20,20,26,h26_tr20_tp20,607,64.6,11.61,-97.0,4.81,2.94,14.1,235,52.8,7.93,1.83,2.01
kr,quiet_bottom,1w,binary,20,30,26,h26_tr20_tp30,607,60.5,13.87,-97.6,4.99,3.23,15.9,235,48.5,9.47,1.96,2.17
kr,quiet_bottom,1w,binary,20,none,26,h26_tr20_tpnone,607,59.6,20.68,-98.4,4.19,4.31,20.4,235,48.5,14.7,1.74,2.81
kr,quiet_bottom,1w,binary,25,20,26,h26_tr25_tp20,607,67.4,12.15,-96.9,4.96,3.01,15.2,235,56.6,8.6,1.94,2.06
kr,quiet_bottom,1w,binary,25,30,26,h26_tr25_tp30,607,62.9,14.46,-98.0,5.1,3.23,17.3,235,51.5,10.21,2.05,2.19
kr,quiet_bottom,1w,binary,25,none,26,h26_tr25_tpnone,607,61.0,21.24,-98.1,4.28,4.22,22.5,235,50.6,15.58,1.83,2.81
kr,quiet_bottom,1w,binary,15,20,52,h52_tr15_tp20,607,59.0,11.39,-97.6,4.74,2.96,15.1,235,48.1,7.62,1.82,2.03
kr,quiet_bottom,1w,binary,15,30,52,h52_tr15_tp30,607,56.3,13.32,-97.7,4.85,3.27,17.1,235,44.7,8.97,1.93,2.2
kr,quiet_bottom,1w,binary,15,none,52,h52_tr15_tpnone,607,56.2,18.5,-98.3,3.88,4.15,22.4,235,44.7,10.22,1.34,2.37
kr,quiet_bottom,1w,binary,20,20,52,h52_tr20_tp20,607,67.2,13.74,-98.1,5.59,3.35,17.2,235,57.0,10.14,2.34,2.38
kr,quiet_bottom,1w,binary,20,30,52,h52_tr20_tp30,607,60.6,16.48,-98.5,5.7,3.68,20.1,235,52.8,12.33,2.51,2.63
kr,quiet_bottom,1w,binary,20,none,52,h52_tr20_tpnone,607,59.8,30.48,-99.0,3.69,5.93,29.4,235,52.8,26.15,1.85,4.45
kr,quiet_bottom,1w,binary,25,20,52,h52_tr25_tp20,607,72.2,14.7,-98.6,5.86,3.44,19.3,235,63.0,11.29,2.55,2.5
kr,quiet_bottom,1w,binary,25,30,52,h52_tr25_tp30,607,65.2,17.5,-98.9,5.89,3.6,22.9,235,57.9,13.42,2.67,2.68
kr,quiet_bottom,1w,binary,25,none,52,h52_tr25_tpnone,607,61.0,30.65,-99.2,3.68,5.37,35.0,235,56.6,28.87,2.0,4.58
kr,quiet_bottom,1w,binary,15,20,104,h104_tr15_tp20,607,60.0,12.14,-98.0,5.12,3.24,17.3,235,50.6,9.52,2.37,2.5
kr,quiet_bottom,1w,binary,15,30,104,h104_tr15_tp30,607,57.2,14.29,-98.7,5.22,3.59,19.3,235,46.8,11.12,2.44,2.72
kr,quiet_bottom,1w,binary,15,none,104,h104_tr15_tpnone,607,57.0,20.59,-98.8,4.17,4.74,25.5,235,46.8,12.56,1.65,2.94
kr,quiet_bottom,1w,binary,20,20,104,h104_tr20_tp20,607,68.9,14.68,-98.5,6.06,3.69,19.6,235,60.0,12.24,2.96,2.96
kr,quiet_bottom,1w,binary,20,30,104,h104_tr20_tp30,607,61.6,17.53,-99.0,6.09,4.02,22.7,235,55.3,14.68,3.07,3.24
kr,quiet_bottom,1w,binary,20,none,104,h104_tr20_tpnone,607,60.5,36.52,-99.2,3.72,7.25,34.4,235,55.3,37.08,1.87,6.65
kr,quiet_bottom,1w,binary,25,20,104,h104_tr25_tp20,607,74.1,15.67,-98.8,6.34,3.77,22.1,235,67.2,13.77,3.27,3.21
kr,quiet_bottom,1w,binary,25,30,104,h104_tr25_tp30,607,65.4,18.63,-99.3,6.24,3.83,26.5,235,61.7,16.65,3.38,3.45
kr,quiet_bottom,1w,binary,25,none,104,h104_tr25_tpnone,607,60.1,36.29,-99.3,3.79,6.27,43.3,235,60.4,43.32,2.14,7.31
