asset,strategy,interval,score_th,trail,tp,hold,rule_name,IS_n,IS_win%,IS_mean%,IS_MDD%,IS_Sharpe,IS_PF,OOS_n,OOS_win%,OOS_mean%,OOS_MDD%,OOS_Sharpe,OOS_PF,Sharpe_decay
kr,trend_chase,1d,60,0.1,0.2,60,trail10_TP20_hold60,2772,42.6,1.66,-99.7,3.07,1.35,1221,44.9,2.77,-89.6,4.72,1.61,0.537
kr,trend_chase,1d,60,0.1,0.25,60,trail10_TP25_hold60,2772,42.6,1.68,-99.8,3.01,1.35,1221,44.7,2.93,-93.3,4.7,1.64,0.561
kr,trend_chase,1d,60,0.1,0.3,60,trail10_TP30_hold60,2772,42.6,1.85,-99.5,3.16,1.39,1221,44.6,3.0,-93.0,4.62,1.66,0.462
kr,trend_chase,1d,60,0.1,0.4,60,trail10_TP40_hold60,2772,42.6,1.87,-99.8,3.06,1.4,1221,44.6,3.33,-94.4,4.7,1.73,0.536
kr,trend_chase,1d,60,0.1,0.5,60,trail10_TP50_hold60,2772,42.6,1.84,-99.9,2.95,1.39,1221,44.6,3.36,-96.0,4.56,1.74,0.546
kr,trend_chase,1d,60,0.1,,60,trail10_TPoff_hold60,2772,42.6,2.05,-99.9,2.96,1.43,1221,44.6,3.11,-96.1,4.22,1.68,0.426
kr,trend_chase,1d,60,0.15,0.2,60,trail15_TP20_hold60,2772,46.1,2.19,-99.6,3.67,1.4,1221,48.3,3.34,-86.7,5.13,1.63,0.398
kr,trend_chase,1d,60,0.15,0.25,60,trail15_TP25_hold60,2772,45.8,2.26,-99.6,3.62,1.41,1221,47.3,3.68,-88.4,5.27,1.69,0.456
kr,trend_chase,1d,60,0.15,0.3,60,trail15_TP30_hold60,2772,45.8,2.38,-99.7,3.65,1.43,1221,47.3,3.8,-90.3,5.17,1.71,0.416
kr,trend_chase,1d,60,0.15,0.4,60,trail15_TP40_hold60,2772,45.7,2.43,-99.7,3.52,1.44,1221,47.1,4.19,-91.3,5.2,1.79,0.477
kr,trend_chase,1d,60,0.15,0.5,60,trail15_TP50_hold60,2772,45.7,2.52,-99.7,3.5,1.46,1221,47.1,4.19,-91.3,4.98,1.78,0.423
kr,trend_chase,1d,60,0.15,,60,trail15_TPoff_hold60,2772,45.7,2.57,-99.7,3.3,1.47,1221,47.1,3.69,-91.9,4.46,1.69,0.352
kr,trend_chase,1d,60,0.2,0.2,60,trail20_TP20_hold60,2772,50.4,2.57,-99.7,4.15,1.46,1221,54.8,4.42,-89.3,6.56,1.85,0.581
kr,trend_chase,1d,60,0.2,0.25,60,trail20_TP25_hold60,2772,48.6,2.59,-99.7,3.98,1.45,1221,53.0,4.84,-91.3,6.66,1.92,0.673
kr,trend_chase,1d,60,0.2,0.3,60,trail20_TP30_hold60,2772,48.1,2.72,-99.8,4.0,1.48,1221,52.0,5.04,-91.1,6.55,1.95,0.637
kr,trend_chase,1d,60,0.2,0.4,60,trail20_TP40_hold60,2772,47.9,2.74,-99.8,3.82,1.48,1221,51.4,5.37,-93.1,6.36,2.01,0.665
kr,trend_chase,1d,60,0.2,0.5,60,trail20_TP50_hold60,2772,47.9,2.88,-99.7,3.83,1.5,1221,51.4,5.39,-93.1,6.1,2.02,0.593
