asset,strategy,interval,score_th,trail,tp,hold,rule_name,n_full,win%_full,mean%_full,MDD%_full,Sharpe_full,PF_full,held_full,n_oos,win%_oos,mean%_oos,Sharpe_oos,PF_oos
kr,trend_chase,1d,60.0,15,20,60,h60_tr15_tp20,4011,46.8,2.54,-99.8,4.15,1.47,41.5,1210,48.4,3.38,3.0,1.65
kr,trend_chase,1d,60.0,15,30,60,h60_tr15_tp30,4011,46.2,2.81,-99.9,4.15,1.52,44.8,1210,47.4,3.85,3.03,1.73
kr,trend_chase,1d,60.0,15,none,60,h60_tr15_tpnone,4011,46.1,2.9,-99.9,3.67,1.53,47.9,1210,47.3,3.81,2.65,1.73
kr,trend_chase,1d,60.0,20,20,60,h60_tr20_tp20,4011,51.7,3.13,-99.7,4.92,1.57,46.3,1210,54.9,4.47,3.83,1.88
kr,trend_chase,1d,60.0,20,30,60,h60_tr20_tp30,4011,49.2,3.41,-99.7,4.84,1.61,50.3,1210,52.1,5.1,3.82,1.98
kr,trend_chase,1d,60.0,20,none,60,h60_tr20_tpnone,4011,48.9,3.49,-99.7,4.15,1.63,54.3,1210,51.6,4.87,3.2,1.93
kr,trend_chase,1d,60.0,25,20,60,h60_tr25_tp20,4011,53.3,3.45,-99.4,5.39,1.65,48.3,1210,57.1,5.08,4.37,2.07
kr,trend_chase,1d,60.0,25,30,60,h60_tr25_tp30,4011,51.3,3.82,-99.7,5.36,1.7,52.7,1210,55.3,5.99,4.47,2.23
kr,trend_chase,1d,60.0,25,none,60,h60_tr25_tpnone,4011,50.5,4.04,-99.7,4.64,1.74,57.3,1210,54.0,6.23,3.82,2.27
kr,trend_chase,1d,60.0,15,20,120,h120_tr15_tp20,4011,45.7,3.28,-99.9,4.85,1.54,56.9,1210,50.1,4.79,3.89,1.86
kr,trend_chase,1d,60.0,15,30,120,h120_tr15_tp30,4011,44.9,3.89,-100.0,5.06,1.64,63.2,1210,48.5,5.45,3.83,1.97
kr,trend_chase,1d,60.0,15,none,120,h120_tr15_tpnone,4011,44.8,4.81,-100.0,4.73,1.79,70.8,1210,48.3,6.56,3.46,2.17
kr,trend_chase,1d,60.0,20,20,120,h120_tr20_tp20,4011,54.5,4.35,-99.8,5.96,1.67,69.1,1210,61.1,6.8,5.24,2.24
kr,trend_chase,1d,60.0,20,30,120,h120_tr20_tp30,4011,49.2,5.2,-99.9,6.19,1.78,77.9,1210,55.0,7.99,5.2,2.39
kr,trend_chase,1d,60.0,20,none,120,h120_tr20_tpnone,4011,48.7,6.65,-100.0,5.46,1.99,89.8,1210,53.9,9.41,4.15,2.63
kr,trend_chase,1d,60.0,25,20,120,h120_tr25_tp20,4011,58.4,4.94,-99.7,6.57,1.76,76.4,1210,66.0,8.04,6.14,2.57
kr,trend_chase,1d,60.0,25,30,120,h120_tr25_tp30,4011,53.6,6.17,-99.8,7.03,1.9,87.0,1210,61.7,10.18,6.4,2.87
kr,trend_chase,1d,60.0,25,none,120,h120_tr25_tpnone,4011,51.5,8.13,-100.0,6.28,2.17,102.4,1210,59.7,13.15,5.22,3.38
kr,trend_chase,1d,60.0,15,20,252,h252_tr15_tp20,4011,45.2,3.77,-100.0,5.31,1.6,69.6,1210,51.1,6.02,4.92,2.16
kr,trend_chase,1d,60.0,15,30,252,h252_tr15_tp30,4011,44.2,4.65,-100.0,5.68,1.74,78.0,1210,49.5,7.22,4.94,2.39
kr,trend_chase,1d,60.0,15,none,252,h252_tr15_tpnone,4011,44.1,5.63,-100.0,5.02,1.89,91.1,1210,49.3,9.37,4.21,2.8
kr,trend_chase,1d,60.0,20,20,252,h252_tr20_tp20,4011,55.1,5.26,-99.9,6.69,1.74,89.5,1210,64.1,9.04,6.91,2.75
kr,trend_chase,1d,60.0,20,30,252,h252_tr20_tp30,4011,47.9,6.69,-100.0,7.23,1.91,103.4,1210,56.5,11.38,7.02,3.09
kr,trend_chase,1d,60.0,20,none,252,h252_tr20_tpnone,4011,47.2,8.9,-100.0,6.09,2.21,129.7,1210,55.3,16.43,5.52,4.01
kr,trend_chase,1d,60.0,25,20,252,h252_tr25_tp20,4011,60.7,5.94,-99.9,7.12,1.79,104.7,1210,71.8,11.13,8.49,3.4
kr,trend_chase,1d,60.0,25,30,252,h252_tr25_tp30,4011,53.0,7.94,-100.0,7.98,1.97,123.1,1210,66.6,15.14,9.12,3.98
kr,trend_chase,1d,60.0,25,none,252,h252_tr25_tpnone,4011,48.9,13.58,-100.0,6.92,2.64,162.8,1210,63.0,29.37,6.43,6.67
