asset,strategy,interval,score_th,trail,tp,hold,rule_name,n_full,win%_full,mean%_full,MDD%_full,Sharpe_full,PF_full,held_full,n_oos,win%_oos,mean%_oos,Sharpe_oos,PF_oos
kr,trend_pullback,1d,60.0,15,20,60,h60_tr15_tp20,18143,49.0,4.31,-100.0,12.41,1.78,33.4,7565,52.0,5.72,9.43,2.1
kr,trend_pullback,1d,60.0,15,30,60,h60_tr15_tp30,18143,48.0,5.0,-100.0,12.93,1.9,36.7,7565,50.4,6.83,10.11,2.3
kr,trend_pullback,1d,60.0,15,none,60,h60_tr15_tpnone,18143,47.8,6.4,-100.0,10.73,2.15,40.8,7565,50.1,8.62,7.5,2.63
kr,trend_pullback,1d,60.0,20,20,60,h60_tr20_tp20,18143,55.4,5.11,-100.0,14.11,1.89,38.6,7565,59.3,7.0,11.22,2.33
kr,trend_pullback,1d,60.0,20,30,60,h60_tr20_tp30,18143,51.4,5.86,-100.0,14.43,1.99,42.9,7565,54.6,8.13,11.61,2.48
kr,trend_pullback,1d,60.0,20,none,60,h60_tr20_tpnone,18143,51.0,7.8,,10.42,2.32,48.3,7565,53.7,10.92,7.14,2.98
kr,trend_pullback,1d,60.0,25,20,60,h60_tr25_tp20,18143,58.3,5.69,-100.0,15.54,2.02,41.5,7565,63.2,7.91,12.61,2.59
kr,trend_pullback,1d,60.0,25,30,60,h60_tr25_tp30,18143,55.1,6.6,,15.99,2.13,46.4,7565,59.3,9.31,13.16,2.77
kr,trend_pullback,1d,60.0,25,none,60,h60_tr25_tpnone,18143,53.8,9.36,,10.35,2.6,52.8,7565,57.3,14.06,7.26,3.63
kr,trend_pullback,1d,60.0,15,20,120,h120_tr15_tp20,18143,48.9,5.12,-100.0,14.0,1.88,41.5,7565,52.2,6.5,10.44,2.22
kr,trend_pullback,1d,60.0,15,30,120,h120_tr15_tp30,18143,47.7,6.14,-100.0,14.79,2.05,46.7,7565,50.4,7.81,11.17,2.45
kr,trend_pullback,1d,60.0,15,none,120,h120_tr15_tpnone,18143,47.5,8.08,,12.23,2.38,54.7,7565,50.0,10.11,8.24,2.87
kr,trend_pullback,1d,60.0,20,20,120,h120_tr20_tp20,18143,57.6,6.47,,16.59,2.02,51.6,7565,61.0,8.12,12.52,2.44
kr,trend_pullback,1d,60.0,20,30,120,h120_tr20_tp30,18143,50.9,7.72,,17.19,2.17,59.4,7565,53.9,9.56,12.91,2.61
kr,trend_pullback,1d,60.0,20,none,120,h120_tr20_tpnone,18143,50.2,11.54,,13.13,2.74,73.1,7565,52.7,13.96,8.36,3.34
kr,trend_pullback,1d,60.0,25,20,120,h120_tr25_tp20,18143,63.1,7.53,,18.69,2.18,59.1,7565,67.2,9.74,14.8,2.82
kr,trend_pullback,1d,60.0,25,30,120,h120_tr25_tp30,18143,57.2,9.3,,19.86,2.36,68.8,7565,61.0,11.81,15.54,3.01
kr,trend_pullback,1d,60.0,25,none,120,h120_tr25_tpnone,18143,54.4,15.82,,13.24,3.28,87.7,7565,57.7,22.08,8.78,4.7
kr,trend_pullback,1d,60.0,15,20,252,h252_tr15_tp20,18143,49.2,5.5,-100.0,14.77,1.94,47.7,7565,53.0,7.09,11.52,2.4
kr,trend_pullback,1d,60.0,15,30,252,h252_tr15_tp30,18143,47.8,6.66,,15.68,2.14,53.7,7565,51.1,8.53,12.22,2.67
kr,trend_pullback,1d,60.0,15,none,252,h252_tr15_tpnone,18143,47.6,9.09,,12.9,2.55,64.9,7565,50.7,11.05,8.79,3.16
kr,trend_pullback,1d,60.0,20,20,252,h252_tr20_tp20,18143,58.2,7.06,,17.54,2.07,60.9,7565,62.0,8.89,13.76,2.63
kr,trend_pullback,1d,60.0,20,30,252,h252_tr20_tp30,18143,49.8,8.63,,18.4,2.25,71.2,7565,53.9,10.54,14.13,2.81
kr,trend_pullback,1d,60.0,20,none,252,h252_tr20_tpnone,18143,49.0,14.34,,14.55,3.06,95.8,7565,52.6,15.77,9.06,3.69
kr,trend_pullback,1d,60.0,25,20,252,h252_tr25_tp20,18143,65.1,8.36,,19.8,2.21,72.7,7565,69.8,11.01,16.76,3.13
kr,trend_pullback,1d,60.0,25,30,252,h252_tr25_tp30,18143,57.0,10.75,,21.53,2.42,87.1,7565,62.4,13.69,17.72,3.36
kr,trend_pullback,1d,60.0,25,none,252,h252_tr25_tpnone,18143,52.9,23.3,,15.35,4.03,127.5,7565,58.0,31.26,10.35,6.25
