asset,strategy,interval,score_th,trail,tp,hold,rule_name,n_full,win%_full,mean%_full,MDD%_full,Sharpe_full,PF_full,held_full,n_oos,win%_oos,mean%_oos,Sharpe_oos,PF_oos
us,quiet_bottom,1w,binary,15,20,26,h26_tr15_tp20,404,56.4,9.92,-96.4,3.23,2.53,11.0,154,55.8,11.34,2.1,2.75
us,quiet_bottom,1w,binary,15,30,26,h26_tr15_tp30,404,53.7,11.16,-96.5,3.24,2.67,12.7,154,51.9,12.8,2.12,2.88
us,quiet_bottom,1w,binary,15,none,26,h26_tr15_tpnone,404,53.7,16.05,-95.8,2.63,3.41,16.0,154,51.9,18.36,1.83,3.7
us,quiet_bottom,1w,binary,20,20,26,h26_tr20_tp20,404,63.6,11.41,-96.9,3.61,2.73,12.5,154,64.3,13.47,2.44,3.07
us,quiet_bottom,1w,binary,20,30,26,h26_tr20_tp30,404,56.9,13.18,-96.9,3.64,2.88,14.5,154,56.5,16.1,2.54,3.3
us,quiet_bottom,1w,binary,20,none,26,h26_tr20_tpnone,404,55.7,16.92,-94.9,2.73,3.4,18.8,154,55.2,21.64,2.07,4.08
us,quiet_bottom,1w,binary,25,20,26,h26_tr25_tp20,404,66.8,11.95,-97.1,3.71,2.82,13.7,154,67.5,13.91,2.51,3.17
us,quiet_bottom,1w,binary,25,30,26,h26_tr25_tp30,404,61.1,13.75,-97.1,3.73,2.92,15.9,154,61.0,16.44,2.56,3.29
us,quiet_bottom,1w,binary,25,none,26,h26_tr25_tpnone,404,57.7,17.93,-94.6,2.72,3.45,20.8,154,56.5,24.15,2.05,4.26
us,quiet_bottom,1w,binary,15,20,52,h52_tr15_tp20,404,57.9,10.84,-97.1,3.53,2.75,12.9,154,57.1,12.85,2.45,3.3
us,quiet_bottom,1w,binary,15,30,52,h52_tr15_tp30,404,54.7,12.17,-97.3,3.51,2.9,15.0,154,51.9,13.83,2.34,3.33
us,quiet_bottom,1w,binary,15,none,52,h52_tr15_tpnone,404,54.7,18.82,-98.0,2.73,3.94,20.2,154,51.9,18.39,1.91,4.1
us,quiet_bottom,1w,binary,20,20,52,h52_tr20_tp20,404,65.6,12.81,-98.2,3.99,2.95,15.1,154,66.9,16.11,2.96,3.83
us,quiet_bottom,1w,binary,20,30,52,h52_tr20_tp30,404,56.2,14.87,-98.3,4.01,3.1,18.0,154,55.8,18.31,2.89,3.9
us,quiet_bottom,1w,binary,20,none,52,h52_tr20_tpnone,404,55.0,20.19,-98.9,2.87,3.85,25.3,154,54.5,23.13,2.27,4.65
us,quiet_bottom,1w,binary,25,20,52,h52_tr25_tp20,404,71.5,14.09,-98.8,4.32,3.19,17.4,154,74.0,17.23,3.16,4.12
us,quiet_bottom,1w,binary,25,30,52,h52_tr25_tp30,404,62.1,15.94,-99.0,4.22,3.17,21.0,154,64.9,19.71,3.1,4.02
us,quiet_bottom,1w,binary,25,none,52,h52_tr25_tpnone,404,56.4,28.68,-99.0,2.8,4.8,30.6,154,58.4,40.09,2.17,6.88
us,quiet_bottom,1w,binary,15,20,104,h104_tr15_tp20,404,58.4,11.53,-97.0,3.76,2.95,14.4,154,57.1,13.02,2.52,3.38
us,quiet_bottom,1w,binary,15,30,104,h104_tr15_tp30,404,55.2,12.89,-97.2,3.72,3.11,16.8,154,51.9,14.13,2.41,3.43
us,quiet_bottom,1w,binary,15,none,104,h104_tr15_tpnone,404,55.2,21.35,-97.9,2.87,4.49,23.7,154,51.9,18.75,1.95,4.23
us,quiet_bottom,1w,binary,20,20,104,h104_tr20_tp20,404,66.1,13.57,-98.0,4.23,3.14,16.8,154,66.9,16.29,3.03,3.92
us,quiet_bottom,1w,binary,20,30,104,h104_tr20_tp30,404,55.9,15.75,-98.2,4.24,3.29,20.3,154,55.8,18.76,2.99,4.03
us,quiet_bottom,1w,binary,20,none,104,h104_tr20_tpnone,404,54.7,24.16,-98.8,3.12,4.49,31.0,154,54.5,23.94,2.35,4.85
us,quiet_bottom,1w,binary,25,20,104,h104_tr25_tp20,404,73.3,15.47,-98.7,4.78,3.52,19.7,154,74.7,17.95,3.36,4.35
us,quiet_bottom,1w,binary,25,30,104,h104_tr25_tp30,404,63.1,17.68,-98.6,4.67,3.48,24.7,154,65.6,21.15,3.36,4.33
us,quiet_bottom,1w,binary,25,none,104,h104_tr25_tpnone,404,56.7,37.07,-98.2,3.28,6.02,40.7,154,59.1,45.92,2.38,7.91
