asset,strategy,interval,score_th,trail,tp,hold,rule_name,IS_n,IS_win%,IS_mean%,IS_MDD%,IS_Sharpe,IS_PF,OOS_n,OOS_win%,OOS_mean%,OOS_MDD%,OOS_Sharpe,OOS_PF,Sharpe_decay
us,trend_chase,1d,60,0.1,0.2,60,trail10_TP20_hold60,1297,47.4,2.06,-90.3,2.87,1.5,883,55.0,3.72,-69.0,6.02,2.03,1.098
us,trend_chase,1d,60,0.1,0.25,60,trail10_TP25_hold60,1297,47.4,2.1,-91.7,2.82,1.51,883,54.9,3.78,-71.9,5.86,2.05,1.078
us,trend_chase,1d,60,0.1,0.3,60,trail10_TP30_hold60,1297,47.4,2.22,-92.0,2.88,1.54,883,54.9,4.06,-71.9,5.97,2.13,1.073
us,trend_chase,1d,60,0.1,0.4,60,trail10_TP40_hold60,1297,47.4,2.41,-92.2,2.99,1.59,883,54.9,4.28,-71.9,5.98,2.19,1.0
us,trend_chase,1d,60,0.1,0.5,60,trail10_TP50_hold60,1297,47.4,2.31,-92.4,2.88,1.56,883,54.9,4.42,-71.9,5.99,2.23,1.08
us,trend_chase,1d,60,0.1,,60,trail10_TPoff_hold60,1297,47.4,2.31,-92.4,2.85,1.56,883,54.9,4.59,-71.9,5.84,2.27,1.049
us,trend_chase,1d,60,0.15,0.2,60,trail15_TP20_hold60,1297,53.3,2.54,-90.5,3.2,1.53,883,58.1,4.29,-70.6,6.34,2.04,0.981
us,trend_chase,1d,60,0.15,0.25,60,trail15_TP25_hold60,1297,53.2,2.79,-90.0,3.32,1.58,883,57.5,4.44,-73.6,6.24,2.07,0.88
us,trend_chase,1d,60,0.15,0.3,60,trail15_TP30_hold60,1297,53.2,2.93,-89.4,3.38,1.62,883,57.5,4.85,-73.6,6.44,2.17,0.905
us,trend_chase,1d,60,0.15,0.4,60,trail15_TP40_hold60,1297,53.2,3.16,-91.0,3.4,1.66,883,57.5,5.12,-73.6,6.41,2.24,0.885
us,trend_chase,1d,60,0.15,0.5,60,trail15_TP50_hold60,1297,53.2,3.1,-92.4,3.24,1.65,883,57.5,5.29,-73.6,6.41,2.28,0.978
us,trend_chase,1d,60,0.15,,60,trail15_TPoff_hold60,1297,53.2,3.01,-92.4,3.11,1.63,883,57.5,5.41,-73.6,6.25,2.31,1.01
us,trend_chase,1d,60,0.2,0.2,60,trail20_TP20_hold60,1297,57.4,2.94,-89.9,3.55,1.61,883,61.9,4.54,-86.2,6.38,2.05,0.797
us,trend_chase,1d,60,0.2,0.25,60,trail20_TP25_hold60,1297,56.7,3.2,-91.0,3.66,1.66,883,60.4,4.6,-86.2,6.14,2.04,0.678
us,trend_chase,1d,60,0.2,0.3,60,trail20_TP30_hold60,1297,56.7,3.36,-91.5,3.71,1.69,883,60.4,5.07,-86.2,6.38,2.14,0.72
us,trend_chase,1d,60,0.2,0.4,60,trail20_TP40_hold60,1297,56.6,3.57,-93.0,3.7,1.73,883,60.4,5.4,-86.2,6.41,2.22,0.732
us,trend_chase,1d,60,0.2,0.5,60,trail20_TP50_hold60,1297,56.6,3.62,-92.9,3.61,1.74,883,60.4,5.64,-86.2,6.45,2.27,0.787
us,trend_chase,1d,60,0.2,,60,trail20_TPoff_hold60,1297,56.6,3.47,-94.1,3.45,1.71,883,60.4,5.77,-86.2,6.3,2.3,0.826
us,trend_chase,1d,60,0.25,0.2,60,trail25_TP20_hold60,1297,58.2,2.97,-90.0,3.5,1.61,883,62.3,4.55,-87.6,6.27,2.04,0.791
us,trend_chase,1d,60,0.25,0.25,60,trail25_TP25_hold60,1297,57.7,3.21,-91.7,3.59,1.65,883,61.2,4.64,-87.6,6.07,2.03,0.691
us,trend_chase,1d,60,0.25,0.3,60,trail25_TP30_hold60,1297,57.4,3.41,-91.3,3.69,1.69,883,61.0,5.11,-87.6,6.32,2.13,0.713
us,trend_chase,1d,60,0.25,0.4,60,trail25_TP40_hold60,1297,57.1,3.62,-93.7,3.67,1.73,883,60.6,5.41,-87.6,6.32,2.2,0.722
us,trend_chase,1d,60,0.25,0.5,60,trail25_TP50_hold60,1297,57.1,3.72,-93.6,3.62,1.75,883,60.6,5.65,-87.6,6.37,2.25,0.76
us,trend_chase,1d,60,0.25,,60,trail25_TPoff_hold60,1297,57.1,3.67,-91.4,3.47,1.74,883,60.6,5.81,-87.6,6.22,2.28,0.793
us,trend_chase,1d,60,0.3,0.2,60,trail30_TP20_hold60,1297,58.4,3.0,-91.8,3.49,1.61,883,63.1,4.73,-85.7,6.5,2.11,0.862
us,trend_chase,1d,60,0.3,0.25,60,trail30_TP25_hold60,1297,57.8,3.23,-93.3,3.57,1.65,883,61.9,4.8,-85.7,6.24,2.09,0.748
us,trend_chase,1d,60,0.3,0.3,60,trail30_TP30_hold60,1297,57.6,3.41,-93.9,3.64,1.68,883,61.8,5.27,-87.0,6.49,2.19,0.783
us,trend_chase,1d,60,0.3,0.4,60,trail30_TP40_hold60,1297,57.2,3.61,-94.1,3.62,1.72,883,61.4,5.54,-87.0,6.43,2.24,0.776
us,trend_chase,1d,60,0.3,0.5,60,trail30_TP50_hold60,1297,57.2,3.72,-94.1,3.58,1.74,883,61.4,5.78,-87.0,6.48,2.29,0.81
us,trend_chase,1d,60,0.3,,60,trail30_TPoff_hold60,1297,57.2,3.61,-94.1,3.39,1.72,883,61.4,5.93,-87.0,6.33,2.33,0.867
us,trend_chase,1d,60,0.1,0.2,120,trail10_TP20_hold120,1297,45.4,2.42,-91.3,3.06,1.56,883,52.3,4.48,-71.0,6.62,2.19,1.163
us,trend_chase,1d,60,0.1,0.25,120,trail10_TP25_hold120,1297,45.3,2.44,-92.2,2.96,1.56,883,52.0,4.6,-71.6,6.42,2.22,1.169
us,trend_chase,1d,60,0.1,0.3,120,trail10_TP30_hold120,1297,45.2,2.67,-94.3,3.06,1.61,883,52.0,4.92,-68.9,6.46,2.3,1.111
us,trend_chase,1d,60,0.1,0.4,120,trail10_TP40_hold120,1297,45.2,2.98,-94.4,3.21,1.68,883,52.0,5.43,-71.1,6.51,2.44,1.028
us,trend_chase,1d,60,0.1,0.5,120,trail10_TP50_hold120,1297,45.2,2.88,-94.9,3.08,1.66,883,52.0,5.72,-71.5,6.49,2.51,1.107
us,trend_chase,1d,60,0.1,,120,trail10_TPoff_hold120,1297,45.2,2.85,-94.9,2.99,1.65,883,52.0,6.36,-71.5,5.59,2.69,0.87
us,trend_chase,1d,60,0.15,0.2,120,trail15_TP20_hold120,1297,48.9,3.41,-92.5,3.7,1.62,883,53.0,4.9,-78.9,6.35,1.99,0.716
us,trend_chase,1d,60,0.15,0.25,120,trail15_TP25_hold120,1297,48.3,3.84,-92.5,3.86,1.69,883,51.8,5.31,-82.1,6.35,2.07,0.645
us,trend_chase,1d,60,0.15,0.3,120,trail15_TP30_hold120,1297,48.3,4.11,-94.6,3.93,1.74,883,51.5,5.88,-82.8,6.54,2.18,0.664
