asset,strategy,interval,score_th,trail,tp,hold,rule_name,IS_n,IS_win%,IS_mean%,IS_MDD%,IS_Sharpe,IS_PF,OOS_n,OOS_win%,OOS_mean%,OOS_MDD%,OOS_Sharpe,OOS_PF,Sharpe_decay
us,trend_pullback,1d,70,0.1,0.2,60,trail10_TP20_hold60,12258,43.1,1.88,-100.0,6.91,1.38,6805,49.6,4.26,-100.0,15.22,1.94,1.203
us,trend_pullback,1d,70,0.1,0.25,60,trail10_TP25_hold60,12258,43.0,1.98,-100.0,6.96,1.4,6805,49.3,4.58,-100.0,15.4,2.01,1.213
us,trend_pullback,1d,70,0.1,0.3,60,trail10_TP30_hold60,12258,42.9,2.06,-100.0,6.99,1.42,6805,49.2,4.88,-99.9,15.57,2.07,1.227
us,trend_pullback,1d,70,0.1,0.4,60,trail10_TP40_hold60,12258,42.9,2.16,-100.0,7.02,1.44,6805,49.2,5.24,-99.9,15.62,2.15,1.225
us,trend_pullback,1d,70,0.1,0.5,60,trail10_TP50_hold60,12258,42.9,2.19,-100.0,6.96,1.44,6805,49.2,5.42,-100.0,15.52,2.19,1.23
us,trend_pullback,1d,70,0.1,,60,trail10_TPoff_hold60,12258,42.9,2.21,-100.0,6.67,1.45,6805,49.2,6.08,-100.0,14.65,2.34,1.196
us,trend_pullback,1d,70,0.15,0.2,60,trail15_TP20_hold60,12258,49.0,2.8,-100.0,9.07,1.48,6805,54.4,5.3,-100.0,17.14,1.98,0.89
us,trend_pullback,1d,70,0.15,0.25,60,trail15_TP25_hold60,12258,48.3,3.03,-100.0,9.31,1.51,6805,53.2,5.8,-100.0,17.46,2.07,0.875
us,trend_pullback,1d,70,0.15,0.3,60,trail15_TP30_hold60,12258,48.2,3.22,-100.0,9.49,1.54,6805,53.0,6.38,-100.0,17.98,2.17,0.895
us,trend_pullback,1d,70,0.15,0.4,60,trail15_TP40_hold60,12258,48.2,3.42,-100.0,9.56,1.58,6805,53.0,7.13,-100.0,18.36,2.31,0.921
us,trend_pullback,1d,70,0.15,0.5,60,trail15_TP50_hold60,12258,48.2,3.5,-100.0,9.51,1.59,6805,53.0,7.66,-100.0,18.49,2.4,0.944
us,trend_pullback,1d,70,0.15,,60,trail15_TPoff_hold60,12258,48.2,3.61,-100.0,9.18,1.61,6805,53.0,9.04,-100.0,16.79,2.66,0.829
us,trend_pullback,1d,70,0.2,0.2,60,trail20_TP20_hold60,12258,55.4,3.5,-100.0,10.73,1.57,6805,61.7,6.49,-100.0,20.07,2.19,0.87
us,trend_pullback,1d,70,0.2,0.25,60,trail20_TP25_hold60,12258,53.5,3.8,-100.0,10.98,1.61,6805,59.1,7.21,-100.0,20.58,2.28,0.874
us,trend_pullback,1d,70,0.2,0.3,60,trail20_TP30_hold60,12258,52.8,4.02,-100.0,11.14,1.65,6805,58.1,8.03,-100.0,21.21,2.42,0.904
us,trend_pullback,1d,70,0.2,0.4,60,trail20_TP40_hold60,12258,52.6,4.27,-100.0,11.17,1.69,6805,57.8,9.03,-100.0,21.63,2.59,0.936
us,trend_pullback,1d,70,0.2,0.5,60,trail20_TP50_hold60,12258,52.6,4.43,-100.0,11.19,1.71,6805,57.8,9.89,-100.0,21.95,2.74,0.962
us,trend_pullback,1d,70,0.2,,60,trail20_TPoff_hold60,12258,52.6,4.86,-100.0,10.53,1.78,6805,57.8,11.82,-100.0,19.67,3.09,0.868
us,trend_pullback,1d,70,0.25,0.2,60,trail25_TP20_hold60,12258,57.9,3.76,-100.0,11.22,1.61,6805,64.8,7.0,-100.0,21.1,2.28,0.881
us,trend_pullback,1d,70,0.25,0.25,60,trail25_TP25_hold60,12258,56.3,4.07,-100.0,11.45,1.65,6805,62.9,7.84,-100.0,21.75,2.38,0.9
us,trend_pullback,1d,70,0.25,0.3,60,trail25_TP30_hold60,12258,55.4,4.31,-100.0,11.61,1.68,6805,61.7,8.73,-100.0,22.42,2.52,0.931
us,trend_pullback,1d,70,0.25,0.4,60,trail25_TP40_hold60,12258,54.7,4.57,-100.0,11.6,1.72,6805,60.6,9.87,-100.0,22.89,2.7,0.973
us,trend_pullback,1d,70,0.25,0.5,60,trail25_TP50_hold60,12258,54.7,4.75,-100.0,11.63,1.74,6805,60.5,10.83,-100.0,23.18,2.86,0.993
us,trend_pullback,1d,70,0.25,,60,trail25_TPoff_hold60,12258,54.7,5.22,-100.0,11.01,1.82,6805,60.5,13.22,-100.0,19.62,3.27,0.782
us,trend_pullback,1d,70,0.3,0.2,60,trail30_TP20_hold60,12258,58.7,3.95,-100.0,11.26,1.64,6805,66.2,7.36,-100.0,21.92,2.36,0.947
us,trend_pullback,1d,70,0.3,0.25,60,trail30_TP25_hold60,12258,57.3,4.27,-100.0,11.53,1.68,6805,64.5,8.24,-100.0,22.53,2.46,0.954
us,trend_pullback,1d,70,0.3,0.3,60,trail30_TP30_hold60,12258,56.6,4.54,-100.0,11.74,1.71,6805,63.6,9.2,-100.0,23.26,2.6,0.981
us,trend_pullback,1d,70,0.3,0.4,60,trail30_TP40_hold60,12258,55.9,4.79,-100.0,11.73,1.75,6805,62.4,10.39,-100.0,23.71,2.78,1.021
us,trend_pullback,1d,70,0.3,0.5,60,trail30_TP50_hold60,12258,55.6,4.94,-100.0,11.7,1.77,6805,61.9,11.4,-100.0,23.98,2.95,1.05
us,trend_pullback,1d,70,0.3,,60,trail30_TPoff_hold60,12258,55.6,5.46,-100.0,10.9,1.85,6805,61.8,13.89,-100.0,20.28,3.37,0.861
us,trend_pullback,1d,70,0.1,0.2,120,trail10_TP20_hold120,12258,43.0,2.31,-100.0,8.12,1.47,6805,49.0,4.57,-100.0,16.25,2.03,1.001
us,trend_pullback,1d,70,0.1,0.25,120,trail10_TP25_hold120,12258,42.9,2.39,-100.0,8.03,1.48,6805,48.7,4.94,-100.0,16.41,2.11,1.044
us,trend_pullback,1d,70,0.1,0.3,120,trail10_TP30_hold120,12258,42.8,2.52,-100.0,8.1,1.51,6805,48.6,5.3,-100.0,16.56,2.19,1.044
us,trend_pullback,1d,70,0.1,0.4,120,trail10_TP40_hold120,12258,42.8,2.64,-100.0,8.07,1.53,6805,48.5,5.82,-100.0,16.67,2.3,1.066
us,trend_pullback,1d,70,0.1,0.5,120,trail10_TP50_hold120,12258,42.8,2.65,-100.0,7.88,1.53,6805,48.5,6.01,-100.0,16.46,2.34,1.089
us,trend_pullback,1d,70,0.1,,120,trail10_TPoff_hold120,12258,42.8,2.69,-100.0,7.55,1.54,6805,48.5,6.92,-100.0,15.28,2.55,1.024
us,trend_pullback,1d,70,0.15,0.2,120,trail15_TP20_hold120,12258,47.6,3.77,-100.0,11.37,1.61,6805,51.8,5.74,-100.0,18.04,2.02,0.587
us,trend_pullback,1d,70,0.15,0.25,120,trail15_TP25_hold120,12258,46.6,4.2,-100.0,11.8,1.67,6805,50.3,6.37,-100.0,18.43,2.13,0.562
us,trend_pullback,1d,70,0.15,0.3,120,trail15_TP30_hold120,12258,46.3,4.59,-100.0,12.16,1.73,6805,50.1,7.07,-100.0,18.94,2.25,0.558
us,trend_pullback,1d,70,0.15,0.4,120,trail15_TP40_hold120,12258,46.2,5.02,-100.0,12.3,1.8,6805,49.9,8.04,-100.0,19.33,2.41,0.572
us,trend_pullback,1d,70,0.15,0.5,120,trail15_TP50_hold120,12258,46.2,5.3,-100.0,12.34,1.85,6805,49.9,8.7,-100.0,19.34,2.53,0.567
us,trend_pullback,1d,70,0.15,,120,trail15_TPoff_hold120,12258,46.2,5.55,-100.0,11.76,1.89,6805,49.9,11.05,-100.0,17.23,2.94,0.465
us,trend_pullback,1d,70,0.2,0.2,120,trail20_TP20_hold120,12258,58.5,5.38,-100.0,14.94,1.81,6805,60.2,7.01,-100.0,20.4,2.13,0.365
us,trend_pullback,1d,70,0.2,0.25,120,trail20_TP25_hold120,12258,55.0,6.14,-100.0,15.75,1.9,6805,56.5,8.04,-100.0,21.36,2.26,0.356
us,trend_pullback,1d,70,0.2,0.3,120,trail20_TP30_hold120,12258,53.5,6.76,-100.0,16.27,1.99,6805,54.6,9.07,-100.0,22.08,2.4,0.357
us,trend_pullback,1d,70,0.2,0.4,120,trail20_TP40_hold120,12258,53.0,7.5,-100.0,16.48,2.09,6805,54.1,10.53,-100.0,22.72,2.62,0.379
us,trend_pullback,1d,70,0.2,0.5,120,trail20_TP50_hold120,12258,53.0,8.07,-100.0,16.64,2.17,6805,54.1,11.73,-100.0,23.12,2.81,0.389
us,trend_pullback,1d,70,0.2,,120,trail20_TPoff_hold120,12258,53.0,9.44,-100.0,14.58,2.37,6805,54.1,16.72,-100.0,19.97,3.58,0.37
us,trend_pullback,1d,70,0.25,0.2,120,trail25_TP20_hold120,12258,64.4,6.37,-100.0,16.83,1.94,6805,65.6,7.94,-100.0,22.2,2.26,0.319
us,trend_pullback,1d,70,0.25,0.25,120,trail25_TP25_hold120,12258,61.5,7.25,-100.0,17.6,2.03,6805,62.5,9.17,-100.0,23.3,2.38,0.324
us,trend_pullback,1d,70,0.25,0.3,120,trail25_TP30_hold120,12258,59.5,7.99,-100.0,18.19,2.11,6805,60.2,10.35,-100.0,24.1,2.52,0.325
us,trend_pullback,1d,70,0.25,0.4,120,trail25_TP40_hold120,12258,57.5,8.88,-100.0,18.42,2.22,6805,57.7,12.12,-100.0,24.85,2.75,0.349
us,trend_pullback,1d,70,0.25,0.5,120,trail25_TP50_hold120,12258,57.4,9.58,-100.0,18.58,2.32,6805,57.3,13.65,-100.0,25.35,2.97,0.364
us,trend_pullback,1d,70,0.25,,120,trail25_TPoff_hold120,12258,57.4,11.43,,16.29,2.57,6805,57.3,21.29,,21.78,4.08,0.337
us,trend_pullback,1d,70,0.3,0.2,120,trail30_TP20_hold120,12258,67.0,7.09,-100.0,17.55,2.06,6805,68.8,8.65,-100.0,23.59,2.38,0.344
us,trend_pullback,1d,70,0.3,0.25,120,trail30_TP25_hold120,12258,64.6,8.02,-100.0,18.36,2.14,6805,66.3,10.02,-100.0,24.78,2.51,0.35
us,trend_pullback,1d,70,0.3,0.3,120,trail30_TP30_hold120,12258,63.1,8.86,-100.0,19.1,2.23,6805,64.3,11.29,-100.0,25.53,2.64,0.337
us,trend_pullback,1d,70,0.3,0.4,120,trail30_TP40_hold120,12258,60.9,9.83,,19.37,2.33,6805,61.5,13.23,-100.0,26.3,2.85,0.358
us,trend_pullback,1d,70,0.3,0.5,120,trail30_TP50_hold120,12258,60.1,10.54,,19.49,2.42,6805,60.3,14.94,-100.0,26.85,3.08,0.378
us,trend_pullback,1d,70,0.3,,120,trail30_TPoff_hold120,12258,60.0,12.31,,16.97,2.66,6805,60.0,23.32,,22.81,4.23,0.344
us,trend_pullback,1d,70,0.1,0.2,252,trail10_TP20_hold252,12258,43.3,2.58,-100.0,8.83,1.53,6805,49.4,4.87,-100.0,17.28,2.13,0.957
us,trend_pullback,1d,70,0.1,0.25,252,trail10_TP25_hold252,12258,43.2,2.7,-100.0,8.8,1.55,6805,49.1,5.28,-100.0,17.46,2.22,0.984
us,trend_pullback,1d,70,0.1,0.3,252,trail10_TP30_hold252,12258,43.1,2.83,-100.0,8.85,1.58,6805,49.0,5.66,-100.0,17.59,2.31,0.988
us,trend_pullback,1d,70,0.1,0.4,252,trail10_TP40_hold252,12258,43.0,2.95,-100.0,8.74,1.6,6805,48.9,6.23,-100.0,17.67,2.44,1.022
us,trend_pullback,1d,70,0.1,0.5,252,trail10_TP50_hold252,12258,43.0,2.97,-100.0,8.55,1.61,6805,48.9,6.38,-100.0,17.35,2.47,1.029
us,trend_pullback,1d,70,0.1,,252,trail10_TPoff_hold252,12258,43.0,2.99,-100.0,8.12,1.61,6805,48.9,7.3,-100.0,15.91,2.68,0.959
us,trend_pullback,1d,70,0.15,0.2,252,trail15_TP20_hold252,12258,47.0,4.24,-100.0,12.36,1.68,6805,51.4,6.03,-100.0,18.84,2.09,0.524
us,trend_pullback,1d,70,0.15,0.25,252,trail15_TP25_hold252,12258,45.7,4.8,-100.0,12.95,1.76,6805,49.9,6.7,-100.0,19.22,2.2,0.484
us,trend_pullback,1d,70,0.15,0.3,252,trail15_TP30_hold252,12258,45.5,5.37,-100.0,13.55,1.85,6805,49.6,7.48,-100.0,19.79,2.33,0.461
us,trend_pullback,1d,70,0.15,0.4,252,trail15_TP40_hold252,12258,45.3,6.04,-100.0,13.84,1.96,6805,49.5,8.6,-100.0,20.23,2.53,0.462
