asset,strategy,interval,score_th,trail,tp,hold,rule_name,n_full,win%_full,mean%_full,MDD%_full,Sharpe_full,PF_full,held_full,n_oos,win%_oos,mean%_oos,Sharpe_oos,PF_oos
us,trend_pullback,1d,70.0,15,20,60,h60_tr15_tp20,19038,50.7,3.61,-100.0,11.66,1.63,35.7,6811,54.2,5.2,9.78,1.97
us,trend_pullback,1d,70.0,15,30,60,h60_tr15_tp30,19038,49.7,4.25,-100.0,12.28,1.74,39.6,6811,52.9,6.27,10.27,2.16
us,trend_pullback,1d,70.0,15,none,60,h60_tr15_tpnone,19038,49.6,5.44,-100.0,11.92,1.95,43.5,6811,52.8,8.93,9.62,2.65
us,trend_pullback,1d,70.0,20,20,60,h60_tr20_tp20,19038,57.4,4.48,-100.0,13.73,1.76,40.6,6811,61.4,6.39,11.48,2.17
us,trend_pullback,1d,70.0,20,30,60,h60_tr20_tp30,19038,54.4,5.35,-100.0,14.48,1.89,45.2,6811,57.9,7.92,12.15,2.41
us,trend_pullback,1d,70.0,20,none,60,h60_tr20_tpnone,19038,54.2,7.24,,13.83,2.2,50.2,6811,57.6,11.74,11.31,3.09
us,trend_pullback,1d,70.0,25,20,60,h60_tr25_tp20,19038,60.1,4.83,-100.0,14.4,1.82,43.3,6811,64.5,6.9,12.09,2.27
us,trend_pullback,1d,70.0,25,30,60,h60_tr25_tp30,19038,57.4,5.79,-100.0,15.21,1.94,48.2,6811,61.5,8.63,12.87,2.51
us,trend_pullback,1d,70.0,25,none,60,h60_tr25_tpnone,19038,56.5,7.96,,14.12,2.29,53.7,6811,60.4,13.16,11.3,3.28
us,trend_pullback,1d,70.0,15,20,120,h120_tr15_tp20,19038,48.9,4.4,-100.0,13.44,1.73,45.2,6811,51.6,5.63,10.29,2.01
us,trend_pullback,1d,70.0,15,30,120,h120_tr15_tp30,19038,47.5,5.4,-100.0,14.34,1.89,52.6,6811,49.9,6.94,10.81,2.23
us,trend_pullback,1d,70.0,15,none,120,h120_tr15_tpnone,19038,47.3,7.43,,13.63,2.23,63.1,6811,49.8,10.92,9.86,2.93
us,trend_pullback,1d,70.0,20,20,120,h120_tr20_tp20,19038,58.9,5.89,,16.61,1.91,55.3,6811,59.9,6.91,11.69,2.12
us,trend_pullback,1d,70.0,20,30,120,h120_tr20_tp30,19038,53.7,7.51,,18.11,2.12,65.2,6811,54.5,8.95,12.66,2.4
us,trend_pullback,1d,70.0,20,none,120,h120_tr20_tpnone,19038,53.2,11.94,,16.37,2.77,80.9,6811,54.0,16.61,11.48,3.58
us,trend_pullback,1d,70.0,25,20,120,h120_tr25_tp20,19038,64.6,6.86,,18.46,2.04,61.8,6811,65.2,7.84,12.75,2.25
us,trend_pullback,1d,70.0,25,30,120,h120_tr25_tp30,19038,59.6,8.75,,20.04,2.24,73.1,6811,60.0,10.22,13.83,2.52
us,trend_pullback,1d,70.0,25,none,120,h120_tr25_tpnone,19038,57.2,14.83,,18.02,3.07,92.1,6811,57.2,21.15,12.51,4.09
us,trend_pullback,1d,70.0,15,20,252,h252_tr15_tp20,19038,48.4,4.8,-100.0,14.33,1.8,51.0,6811,51.2,5.9,10.74,2.07
us,trend_pullback,1d,70.0,15,30,252,h252_tr15_tp30,19038,46.8,6.05,-100.0,15.51,2.0,61.0,6811,49.5,7.35,11.3,2.32
us,trend_pullback,1d,70.0,15,none,252,h252_tr15_tpnone,19038,46.6,8.95,,14.55,2.47,80.3,6811,49.3,11.85,10.09,3.12
us,trend_pullback,1d,70.0,20,20,252,h252_tr20_tp20,19038,58.7,6.54,,17.83,1.97,65.0,6811,59.5,7.11,11.85,2.13
us,trend_pullback,1d,70.0,20,30,252,h252_tr20_tp30,19038,51.3,8.65,,19.76,2.23,80.1,6811,52.0,9.17,12.66,2.38
us,trend_pullback,1d,70.0,20,none,252,h252_tr20_tpnone,19038,50.6,15.89,,17.77,3.25,116.3,6811,51.4,19.13,11.53,3.87
us,trend_pullback,1d,70.0,25,20,252,h252_tr25_tp20,19038,65.8,7.76,,19.9,2.1,75.5,6811,65.8,8.16,12.87,2.23
us,trend_pullback,1d,70.0,25,30,252,h252_tr25_tp30,19038,58.0,10.32,,22.01,2.33,93.9,6811,58.2,10.7,13.9,2.47
us,trend_pullback,1d,70.0,25,none,252,h252_tr25_tpnone,19038,53.8,22.1,,19.1,3.8,142.2,6811,54.2,28.22,12.34,4.79
