IS_n,IS_win%,IS_mean%,IS_MDD%,IS_Sharpe,IS_PF,OOS_n,OOS_win%,OOS_mean%,OOS_MDD%,OOS_Sharpe,OOS_PF,asset,strategy,interval,score_th,rule,gate_param,gate_value
2772,44.0,4.61,-100.0,5.05,1.56,1221,56.8,11.52,-99.4,12.32,3.09,kr,trend_chase,1d,60,hold_252d_trail20_TP30,baseline,default
2850,43.5,4.41,-100.0,4.9,1.53,1232,56.5,11.4,-99.4,12.24,3.06,kr,trend_chase,1d,60,hold_252d_trail20_TP30,amount_lookback,120
2772,44.0,4.61,-100.0,5.05,1.56,1221,56.8,11.52,-99.4,12.32,3.09,kr,trend_chase,1d,60,hold_252d_trail20_TP30,amount_lookback,250
2699,44.1,4.68,-100.0,5.03,1.57,1198,56.9,11.73,-99.4,12.43,3.16,kr,trend_chase,1d,60,hold_252d_trail20_TP30,amount_lookback,500
1514,45.0,4.78,-100.0,3.93,1.61,656,59.9,12.83,-95.3,10.24,3.58,kr,trend_chase,1d,60,hold_252d_trail20_TP30,fresh_big_th,0.04
2772,44.0,4.61,-100.0,5.05,1.56,1221,56.8,11.52,-99.4,12.32,3.09,kr,trend_chase,1d,60,hold_252d_trail20_TP30,fresh_big_th,0.05
3787,43.0,4.35,-100.0,5.54,1.52,1874,54.1,10.4,-99.9,13.52,2.73,kr,trend_chase,1d,60,hold_252d_trail20_TP30,fresh_big_th,0.06
5200,43.4,4.7,-100.0,6.96,1.57,2812,52.8,10.19,-99.9,15.96,2.65,kr,trend_chase,1d,60,hold_252d_trail20_TP30,fresh_big_th,0.08
2772,44.0,4.61,-100.0,5.05,1.56,1221,56.8,11.52,-99.4,12.32,3.09,kr,trend_chase,1d,60,hold_252d_trail20_TP30,max_prior_extension,0.3
2791,44.0,4.63,-100.0,5.09,1.57,1233,56.8,11.52,-99.4,12.36,3.09,kr,trend_chase,1d,60,hold_252d_trail20_TP30,max_prior_extension,0.4
2797,44.0,4.64,-100.0,5.1,1.57,1242,56.9,11.56,-99.4,12.46,3.11,kr,trend_chase,1d,60,hold_252d_trail20_TP30,max_prior_extension,0.5
