IS_n,IS_win%,IS_mean%,IS_MDD%,IS_Sharpe,IS_PF,OOS_n,OOS_win%,OOS_mean%,OOS_MDD%,OOS_Sharpe,OOS_PF,asset,strategy,interval,score_th,rule,gate_param,gate_value
10556,46.9,7.25,-100.0,14.79,1.94,7448,54.2,10.86,-100.0,24.83,2.85,kr,trend_pullback,1d,60,hold_252d_trail20_TP30,baseline,default
4925,47.0,7.27,-100.0,9.78,1.9,3987,50.5,9.22,-99.9,13.91,2.39,kr,trend_pullback,1d,60,hold_252d_trail20_TP30,rally_lookback,30
10556,46.9,7.25,-100.0,14.79,1.94,7448,54.2,10.86,-100.0,24.83,2.85,kr,trend_pullback,1d,60,hold_252d_trail20_TP30,rally_lookback,60
13689,45.2,6.26,-100.0,14.77,1.79,9380,54.8,11.01,,29.16,2.93,kr,trend_pullback,1d,60,hold_252d_trail20_TP30,rally_lookback,90
10523,46.9,7.26,-100.0,14.78,1.94,7468,54.3,10.9,-100.0,24.96,2.86,kr,trend_pullback,1d,60,hold_252d_trail20_TP30,depth_lookback,15
10556,46.9,7.25,-100.0,14.79,1.94,7448,54.2,10.86,-100.0,24.83,2.85,kr,trend_pullback,1d,60,hold_252d_trail20_TP30,depth_lookback,20
10448,46.9,7.24,-100.0,14.67,1.94,7342,54.2,10.85,-99.9,24.57,2.85,kr,trend_pullback,1d,60,hold_252d_trail20_TP30,depth_lookback,30
10335,47.0,7.26,-100.0,14.63,1.94,7245,54.2,10.81,-99.9,24.28,2.83,kr,trend_pullback,1d,60,hold_252d_trail20_TP30,depth_lookback,45
10372,47.4,7.36,-100.0,14.97,1.97,7110,53.4,10.39,-100.0,23.11,2.72,kr,trend_pullback,1d,60,hold_252d_trail20_TP30,near_ma_pct,0.02
10585,46.7,7.17,-100.0,14.77,1.94,7446,53.7,10.64,-100.0,24.35,2.79,kr,trend_pullback,1d,60,hold_252d_trail20_TP30,near_ma_pct,0.03
10585,47.0,7.33,-100.0,15.04,1.96,7493,54.2,10.86,-100.0,24.95,2.85,kr,trend_pullback,1d,60,hold_252d_trail20_TP30,near_ma_pct,0.05
10556,46.9,7.25,-100.0,14.79,1.94,7448,54.2,10.86,-100.0,24.83,2.85,kr,trend_pullback,1d,60,hold_252d_trail20_TP30,near_ma_pct,0.07
