IS_n,IS_win%,IS_mean%,IS_MDD%,IS_Sharpe,IS_PF,OOS_n,OOS_win%,OOS_mean%,OOS_MDD%,OOS_Sharpe,OOS_PF,asset,strategy,interval,score_th,rule,gate_param,gate_value
12258,51.1,8.42,-100.0,18.82,2.17,6805,52.2,9.29,-100.0,22.08,2.39,us,trend_pullback,1d,70,hold_252d_trail20_TP30,baseline,default
5385,48.7,7.75,-100.0,10.9,1.98,3196,56.4,12.1,-99.9,18.78,2.97,us,trend_pullback,1d,70,hold_252d_trail20_TP30,rally_lookback,30
12258,51.1,8.42,-100.0,18.82,2.17,6805,52.2,9.29,-100.0,22.08,2.39,us,trend_pullback,1d,70,hold_252d_trail20_TP30,rally_lookback,60
16162,52.3,8.7,,23.03,2.28,8783,50.3,7.76,-100.0,21.54,2.12,us,trend_pullback,1d,70,hold_252d_trail20_TP30,rally_lookback,90
12085,51.1,8.46,-100.0,18.79,2.18,6699,52.0,9.24,-100.0,21.79,2.38,us,trend_pullback,1d,70,hold_252d_trail20_TP30,depth_lookback,15
12258,51.1,8.42,-100.0,18.82,2.17,6805,52.2,9.29,-100.0,22.08,2.39,us,trend_pullback,1d,70,hold_252d_trail20_TP30,depth_lookback,20
12184,51.1,8.41,-100.0,18.82,2.17,6781,52.0,9.14,-100.0,21.82,2.36,us,trend_pullback,1d,70,hold_252d_trail20_TP30,depth_lookback,30
12095,51.0,8.4,-100.0,18.73,2.17,6701,51.9,9.11,-100.0,21.63,2.35,us,trend_pullback,1d,70,hold_252d_trail20_TP30,depth_lookback,45
9399,51.0,8.36,-100.0,16.47,2.17,5185,51.6,8.97,-100.0,18.83,2.33,us,trend_pullback,1d,70,hold_252d_trail20_TP30,near_ma_pct,0.02
10651,51.4,8.58,-100.0,17.96,2.21,5830,51.7,9.09,-100.0,20.04,2.35,us,trend_pullback,1d,70,hold_252d_trail20_TP30,near_ma_pct,0.03
11820,51.3,8.51,-100.0,18.79,2.19,6524,52.2,9.37,-100.0,21.77,2.41,us,trend_pullback,1d,70,hold_252d_trail20_TP30,near_ma_pct,0.05
12258,51.1,8.42,-100.0,18.82,2.17,6805,52.2,9.29,-100.0,22.08,2.39,us,trend_pullback,1d,70,hold_252d_trail20_TP30,near_ma_pct,0.07
