asset,strategy,interval,score_th,rule,hold,trail_pct,take_profit_pct,n,win%,mean%,median%,held,total%,MDD%,Sharpe_ann,PF
kr,trend_pullback,1d,60,hold_180d_trail15_TP20,180,0.15,0.2,18188,49.0,5.36,-0.72,44.9,8.639841419160028e+279,-100.0,14.53,1.92
kr,trend_pullback,1d,60,hold_180d_trail15_TP25,180,0.15,0.25,18188,47.9,5.96,-1.16,48.2,8.711856817956515e+306,-100.0,15.06,2.02
kr,trend_pullback,1d,60,hold_180d_trail15_TP30,180,0.15,0.3,18188,47.7,6.5,-1.28,50.7,inf,,15.43,2.11
kr,trend_pullback,1d,60,hold_180d_trail15_TP35,180,0.15,0.35,18188,47.6,6.87,-1.33,52.6,inf,,15.56,2.17
kr,trend_pullback,1d,60,hold_180d_trail18_TP20,180,0.18,0.2,18188,54.2,6.24,19.77,52.2,inf,,16.09,1.98
kr,trend_pullback,1d,60,hold_180d_trail18_TP25,180,0.18,0.25,18188,49.7,6.94,-0.19,56.6,inf,,16.59,2.07
kr,trend_pullback,1d,60,hold_180d_trail18_TP30,180,0.18,0.3,18188,48.9,7.61,-0.69,60.2,inf,,17.0,2.17
kr,trend_pullback,1d,60,hold_180d_trail18_TP35,180,0.18,0.35,18188,48.6,8.2,-0.84,62.9,inf,,17.31,2.26
kr,trend_pullback,1d,60,hold_180d_trail20_TP20,180,0.2,0.2,18188,57.8,6.81,19.97,57.1,inf,,17.13,2.04
kr,trend_pullback,1d,60,hold_180d_trail20_TP25,180,0.2,0.25,18188,52.6,7.59,7.26,62.3,inf,,17.62,2.12
kr,trend_pullback,1d,60,hold_180d_trail20_TP30,180,0.2,0.3,18188,50.1,8.31,0.07,66.5,inf,,17.97,2.21
kr,trend_pullback,1d,60,hold_180d_trail20_TP35,180,0.2,0.35,18188,49.6,8.97,-0.3,69.7,inf,,18.29,2.3
kr,trend_pullback,1d,60,hold_180d_trail22_TP20,180,0.22,0.2,18188,60.7,7.32,20.13,61.3,inf,,18.04,2.09
kr,trend_pullback,1d,60,hold_180d_trail22_TP25,180,0.22,0.25,18188,56.1,8.27,24.53,67.3,inf,,18.76,2.18
kr,trend_pullback,1d,60,hold_180d_trail22_TP30,180,0.22,0.3,18188,52.5,9.15,5.31,72.2,inf,,19.29,2.29
kr,trend_pullback,1d,60,hold_180d_trail22_TP35,180,0.22,0.35,18188,51.5,9.94,1.43,75.9,inf,,19.7,2.39
kr,trend_pullback,1d,60,hold_180d_trail25_TP20,180,0.25,0.2,18188,64.4,8.07,20.33,67.4,inf,,19.43,2.2
kr,trend_pullback,1d,60,hold_180d_trail25_TP25,180,0.25,0.25,18188,60.5,9.21,24.92,74.3,inf,,20.35,2.29
kr,trend_pullback,1d,60,hold_180d_trail25_TP30,180,0.25,0.3,18188,57.3,10.28,15.23,80.0,inf,,21.04,2.4
kr,trend_pullback,1d,60,hold_180d_trail25_TP35,180,0.25,0.35,18188,54.6,11.17,7.97,84.4,inf,,21.45,2.51
kr,trend_pullback,1d,60,hold_252d_trail15_TP20,252,0.15,0.2,18188,49.2,5.5,-0.6,47.6,5.830103495199192e+286,-100.0,14.82,1.95
kr,trend_pullback,1d,60,hold_252d_trail15_TP25,252,0.15,0.25,18188,48.1,6.12,-1.04,51.0,inf,,15.36,2.05
kr,trend_pullback,1d,60,hold_252d_trail15_TP30,252,0.15,0.3,18188,47.8,6.68,-1.16,53.7,inf,,15.77,2.14
kr,trend_pullback,1d,60,hold_252d_trail15_TP35,252,0.15,0.35,18188,47.7,7.09,-1.2,55.7,inf,,15.92,2.21
kr,trend_pullback,1d,60,hold_252d_trail18_TP20,252,0.18,0.2,18188,54.5,6.43,19.84,55.2,inf,,16.48,2.01
kr,trend_pullback,1d,60,hold_252d_trail18_TP25,252,0.18,0.25,18188,49.8,7.17,-0.13,60.0,inf,,17.0,2.11
kr,trend_pullback,1d,60,hold_252d_trail18_TP30,252,0.18,0.3,18188,48.9,7.89,-0.68,63.9,inf,,17.46,2.21
kr,trend_pullback,1d,60,hold_252d_trail18_TP35,252,0.18,0.35,18188,48.6,8.52,-0.81,66.8,inf,,17.79,2.31
kr,trend_pullback,1d,60,hold_252d_trail20_TP20,252,0.2,0.2,18188,58.1,7.04,20.05,60.7,inf,,17.54,2.07
kr,trend_pullback,1d,60,hold_252d_trail20_TP25,252,0.2,0.25,18188,52.6,7.85,11.13,66.3,inf,,18.04,2.15
kr,trend_pullback,1d,60,hold_252d_trail20_TP30,252,0.2,0.3,18188,49.8,8.64,-0.13,71.0,inf,,18.46,2.25
kr,trend_pullback,1d,60,hold_252d_trail20_TP35,252,0.2,0.35,18188,49.3,9.36,-0.43,74.5,inf,,18.82,2.35
kr,trend_pullback,1d,60,hold_252d_trail22_TP20,252,0.22,0.2,18188,61.1,7.58,20.24,65.4,inf,,18.5,2.12
kr,trend_pullback,1d,60,hold_252d_trail22_TP25,252,0.22,0.25,18188,56.2,8.58,24.82,72.0,inf,,19.24,2.21
kr,trend_pullback,1d,60,hold_252d_trail22_TP30,252,0.22,0.3,18188,52.2,9.58,6.78,77.5,inf,,19.9,2.33
kr,trend_pullback,1d,60,hold_252d_trail22_TP35,252,0.22,0.35,18188,51.2,10.44,1.11,81.7,inf,,20.35,2.44
kr,trend_pullback,1d,60,hold_252d_trail25_TP20,252,0.25,0.2,18188,65.1,8.34,20.46,72.6,inf,,19.81,2.21
kr,trend_pullback,1d,60,hold_252d_trail25_TP25,252,0.25,0.25,18188,60.7,9.54,25.1,80.4,inf,,20.72,2.3
kr,trend_pullback,1d,60,hold_252d_trail25_TP30,252,0.25,0.3,18188,57.0,10.76,29.76,86.9,inf,,21.57,2.42
kr,trend_pullback,1d,60,hold_252d_trail25_TP35,252,0.25,0.35,18188,54.0,11.75,10.85,92.0,inf,,22.04,2.53
