asset,strategy,interval,score_th,rule,hold,trail_pct,take_profit_pct,n,win%,mean%,median%,held,total%,MDD%,Sharpe_ann,PF
kr,trend_chase,1d,60,hold_180d_trail15_TP20,180,0.15,0.2,4013,45.4,3.58,-2.55,64.2,5.464068678339702e+35,-100.0,5.13,1.57
kr,trend_chase,1d,60,hold_180d_trail15_TP25,180,0.15,0.25,4013,44.7,3.99,-2.64,68.5,2.5649027829536647e+39,-100.0,5.32,1.64
kr,trend_chase,1d,60,hold_180d_trail15_TP30,180,0.15,0.3,4013,44.5,4.38,-2.65,71.9,5.122919019890474e+42,-100.0,5.46,1.7
kr,trend_chase,1d,60,hold_180d_trail15_TP35,180,0.15,0.35,4013,44.5,4.55,-2.71,74.5,1.059211812280665e+43,-100.0,5.39,1.73
kr,trend_chase,1d,60,hold_180d_trail18_TP20,180,0.18,0.2,4013,51.5,4.4,3.3,74.9,9.392550478140397e+45,-99.9,5.94,1.65
kr,trend_chase,1d,60,hold_180d_trail18_TP25,180,0.18,0.25,4013,47.6,5.03,-1.69,80.7,1.4470958848136357e+52,-100.0,6.25,1.74
kr,trend_chase,1d,60,hold_180d_trail18_TP30,180,0.18,0.3,4013,46.9,5.52,-1.89,85.3,1.463679549392749e+56,-100.0,6.38,1.81
kr,trend_chase,1d,60,hold_180d_trail18_TP35,180,0.18,0.35,4013,46.7,5.77,-1.93,88.8,1.0962949057482098e+57,-100.0,6.31,1.84
kr,trend_chase,1d,60,hold_180d_trail20_TP20,180,0.2,0.2,4013,54.9,4.8,10.13,80.8,3.8583584096916005e+50,-99.9,6.29,1.69
kr,trend_chase,1d,60,hold_180d_trail20_TP25,180,0.2,0.25,4013,50.3,5.45,0.52,87.3,5.04970024464165e+56,-100.0,6.57,1.76
kr,trend_chase,1d,60,hold_180d_trail20_TP30,180,0.2,0.3,4013,48.5,6.02,-1.05,92.7,3.1921042295782096e+61,-100.0,6.73,1.84
kr,trend_chase,1d,60,hold_180d_trail20_TP35,180,0.2,0.35,4013,48.1,6.28,-1.25,96.8,1.9163201237950993e+62,-100.0,6.64,1.87
kr,trend_chase,1d,60,hold_180d_trail22_TP20,180,0.22,0.2,4013,57.6,5.15,19.74,86.2,3.938342302705837e+54,-100.0,6.59,1.73
kr,trend_chase,1d,60,hold_180d_trail22_TP25,180,0.22,0.25,4013,53.7,5.94,5.52,93.5,3.7697158586275292e+62,-100.0,6.97,1.81
kr,trend_chase,1d,60,hold_180d_trail22_TP30,180,0.22,0.3,4013,50.6,6.65,0.53,99.5,1.690766809340856e+69,-100.0,7.22,1.9
kr,trend_chase,1d,60,hold_180d_trail22_TP35,180,0.22,0.35,4013,49.8,7.02,-0.12,104.3,1.483716603242171e+71,-100.0,7.18,1.94
kr,trend_chase,1d,60,hold_180d_trail25_TP20,180,0.25,0.2,4013,60.0,5.41,19.84,92.7,3.8019771102390242e+56,-99.9,6.74,1.75
kr,trend_chase,1d,60,hold_180d_trail25_TP25,180,0.25,0.25,4013,56.7,6.34,9.07,100.9,2.5690858023303946e+66,-99.9,7.23,1.84
kr,trend_chase,1d,60,hold_180d_trail25_TP30,180,0.25,0.3,4013,53.7,7.14,4.11,107.7,6.143490952684781e+73,-99.9,7.5,1.92
kr,trend_chase,1d,60,hold_180d_trail25_TP35,180,0.25,0.35,4013,51.2,7.56,0.95,113.2,1.247468182933365e+76,-100.0,7.46,1.97
kr,trend_chase,1d,60,hold_252d_trail15_TP20,252,0.15,0.2,4013,45.3,3.81,-2.58,69.5,1.1385294749047865e+38,-100.0,5.37,1.61
kr,trend_chase,1d,60,hold_252d_trail15_TP25,252,0.15,0.25,4013,44.5,4.27,-2.65,74.2,1.7008539278183853e+42,-100.0,5.58,1.68
kr,trend_chase,1d,60,hold_252d_trail15_TP30,252,0.15,0.3,4013,44.4,4.7,-2.65,77.9,9.114974319921288e+45,-100.0,5.73,1.75
kr,trend_chase,1d,60,hold_252d_trail15_TP35,252,0.15,0.35,4013,44.4,4.88,-2.71,80.9,1.9012066092198075e+46,-100.0,5.66,1.78
kr,trend_chase,1d,60,hold_252d_trail18_TP20,252,0.18,0.2,4013,51.6,4.74,8.43,82.1,3.8923265303103977e+49,-100.0,6.26,1.7
kr,trend_chase,1d,60,hold_252d_trail18_TP25,252,0.18,0.25,4013,47.2,5.47,-2.26,88.7,9.741484439015133e+56,-100.0,6.62,1.79
kr,trend_chase,1d,60,hold_252d_trail18_TP30,252,0.18,0.3,4013,46.6,6.06,-2.41,94.1,1.19956145025881e+62,-100.0,6.79,1.87
kr,trend_chase,1d,60,hold_252d_trail18_TP35,252,0.18,0.35,4013,46.3,6.35,-2.45,98.5,2.4041142718072644e+63,-100.0,6.73,1.91
kr,trend_chase,1d,60,hold_252d_trail20_TP20,252,0.2,0.2,4013,55.1,5.25,19.86,89.2,2.791727022371232e+55,-99.9,6.67,1.74
kr,trend_chase,1d,60,hold_252d_trail20_TP25,252,0.2,0.25,4013,49.9,6.01,-0.19,96.7,7.3086146757066485e+62,-100.0,7.01,1.82
kr,trend_chase,1d,60,hold_252d_trail20_TP30,252,0.2,0.3,4013,48.0,6.68,-1.53,103.2,8.531210179612339e+68,-100.0,7.21,1.91
kr,trend_chase,1d,60,hold_252d_trail20_TP35,252,0.2,0.35,4013,47.5,7.04,-1.63,108.5,4.278969948926296e+70,-100.0,7.16,1.96
