asset,strategy,interval,score_th,rule,n,win%,mean%,median%,held,total%,MDD%,Sharpe_ann,PF,_max_hold,_trailing_pct,_take_profit_pct,_cut_1bar_neg,_cut_short_thr,_cut_short_at
kr,trend_chase,1d,60,hold_252d_trail20_TP30,4011,47.9,6.69,-1.59,103.4,1.3135464376340823e+69,-100.0,7.23,1.91,252,0.2,0.3,False,-999,2
kr,trend_chase,1d,60,hold_60d_trail15,4011,46.1,2.9,-1.48,47.9,1.938185846764212e+23,-99.9,3.67,1.53,60,0.15,0.0,False,-999,2
kr,trend_chase,1d,60,hold_120d_trail20_TP25,4011,50.7,4.85,0.64,74.0,4.0998119248152305e+50,-99.9,6.16,1.73,120,0.2,0.25,False,-999,2
kr,trend_chase,1d,60,hold_252d_trail15,4011,44.1,5.63,-2.81,91.1,6.347114396448779e+45,-100.0,5.02,1.89,252,0.15,0.0,False,-999,2
kr,trend_chase,1d,70,hold_252d_trail20_TP30,2506,48.4,7.01,-1.26,100.0,4.81665151282825e+46,-99.5,5.92,1.96,252,0.2,0.3,False,-999,2
kr,trend_chase,1d,70,hold_60d_trail15,2506,45.5,2.59,-1.8,46.9,1357669974324.4,-99.7,2.61,1.46,60,0.15,0.0,False,-999,2
kr,trend_chase,1d,70,hold_120d_trail20_TP25,2506,51.2,5.09,1.06,71.8,1.0274536524591038e+34,-98.0,5.0,1.75,120,0.2,0.25,False,-999,2
kr,trend_chase,1d,70,hold_252d_trail15,2506,44.8,5.85,-2.69,88.8,1.8158630434666146e+31,-99.7,4.12,1.93,252,0.15,0.0,False,-999,2
kr,trend_chase,1d,75,hold_252d_trail20_TP30,1572,47.3,6.47,-1.6,96.2,1.168094680039343e+26,-99.8,4.29,1.85,252,0.2,0.3,False,-999,2
kr,trend_chase,1d,75,hold_60d_trail15,1572,44.1,2.43,-2.64,45.5,3489962.0,-100.0,1.87,1.42,60,0.15,0.0,False,-999,2
kr,trend_chase,1d,75,hold_120d_trail20_TP25,1572,49.7,4.88,-0.5,69.1,2.072388712456058e+20,-99.1,3.74,1.69,120,0.2,0.25,False,-999,2
kr,trend_chase,1d,75,hold_252d_trail15,1572,44.6,5.77,-2.78,85.9,8.251999644210512e+18,-98.4,3.13,1.9,252,0.15,0.0,False,-999,2
kr,trend_chase,1d,80,hold_252d_trail20_TP30,1451,47.8,6.65,-1.4,95.4,2.232971742969534e+25,-99.4,4.24,1.89,252,0.2,0.3,False,-999,2
kr,trend_chase,1d,80,hold_60d_trail15,1451,44.5,2.51,-2.55,45.4,8270514.5,-99.8,1.89,1.43,60,0.15,0.0,False,-999,2
kr,trend_chase,1d,80,hold_120d_trail20_TP25,1451,50.2,5.03,0.26,68.8,8.667446374343823e+19,-97.6,3.72,1.72,120,0.2,0.25,False,-999,2
kr,trend_chase,1d,80,hold_252d_trail15,1451,44.6,5.96,-2.74,85.1,3.6507458221403264e+18,-97.9,3.08,1.94,252,0.15,0.0,False,-999,2
kr,trend_chase,1d,85,hold_252d_trail20_TP30,892,47.1,6.88,-1.65,91.0,7.897235100808155e+16,-99.0,3.39,1.91,252,0.2,0.3,False,-999,2
kr,trend_chase,1d,85,hold_60d_trail15,892,43.8,2.33,-2.56,43.8,14974.1,-99.7,1.38,1.39,60,0.15,0.0,False,-999,2
kr,trend_chase,1d,85,hold_120d_trail20_TP25,892,48.7,5.01,-1.61,66.2,5929443248746.7,-94.3,2.88,1.72,120,0.2,0.25,False,-999,2
kr,trend_chase,1d,85,hold_252d_trail15,892,44.7,5.62,-2.36,79.8,207415370533.0,-99.4,2.35,1.88,252,0.15,0.0,False,-999,2
kr,trend_chase,1d,90,hold_252d_trail20_TP30,703,45.4,6.46,-2.99,86.7,3557101305241.1,-96.5,2.82,1.84,252,0.2,0.3,False,-999,2
kr,trend_chase,1d,90,hold_60d_trail15,703,43.4,2.3,-2.63,42.7,4500.8,-99.4,1.23,1.38,60,0.15,0.0,False,-999,2
kr,trend_chase,1d,90,hold_120d_trail20_TP25,703,47.7,5.18,-2.29,64.5,78960007435.3,-91.2,2.61,1.73,120,0.2,0.25,False,-999,2
kr,trend_chase,1d,90,hold_252d_trail15,703,43.7,5.31,-3.09,74.8,387048990.3,-98.2,1.99,1.83,252,0.15,0.0,False,-999,2
