asset,strategy,interval,score_th,rule,n,win%,mean%,median%,held,total%,MDD%,Sharpe_ann,PF,_max_hold,_trailing_pct,_take_profit_pct,_cut_1bar_neg,_cut_short_thr,_cut_short_at
kr,trend_chase,1w,60,hold_52w_trail20_TP30,81,67.9,15.46,20.39,35.1,1746248.0,-59.7,2.42,4.8,52,0.2,0.3,False,-999,2
kr,trend_chase,1w,60,hold_26w_trail15,81,60.5,12.84,5.14,21.9,125635.8,-70.1,1.54,3.75,26,0.15,0.0,False,-999,2
kr,trend_chase,1w,60,hold_52w_trail15,81,59.3,15.98,7.83,35.0,880720.2,-67.2,1.83,4.4,52,0.15,0.0,False,-999,2
kr,trend_chase,1w,60,hold_26w_trail20_TP25,81,66.7,9.41,11.13,20.5,36958.5,-54.8,1.79,3.17,26,0.2,0.25,False,-999,2
kr,trend_chase,1w,70,hold_52w_trail20_TP30,60,70.0,15.99,21.96,36.8,174590.4,-56.7,2.14,5.15,52,0.2,0.3,False,-999,2
kr,trend_chase,1w,70,hold_26w_trail15,60,60.0,11.15,4.48,21.9,7803.2,-65.4,1.15,3.28,26,0.15,0.0,False,-999,2
kr,trend_chase,1w,70,hold_52w_trail15,60,58.3,15.46,5.66,36.2,55146.9,-64.7,1.48,4.23,52,0.15,0.0,False,-999,2
kr,trend_chase,1w,70,hold_26w_trail20_TP25,60,66.7,8.54,7.39,20.9,4694.6,-58.4,1.39,2.88,26,0.2,0.25,False,-999,2
kr,trend_chase,1w,75,hold_52w_trail20_TP30,43,72.1,16.06,23.53,34.1,17618.9,-56.7,1.68,4.43,52,0.2,0.3,False,-999,2
kr,trend_chase,1w,75,hold_26w_trail15,43,58.1,15.11,3.94,21.4,7509.0,-65.4,1.18,4.07,26,0.15,0.0,False,-999,2
kr,trend_chase,1w,75,hold_52w_trail15,43,58.1,18.54,8.44,34.4,18583.8,-64.7,1.33,4.25,52,0.15,0.0,False,-999,2
kr,trend_chase,1w,75,hold_26w_trail20_TP25,43,65.1,8.83,8.25,19.9,1600.7,-52.5,1.18,2.9,26,0.2,0.25,False,-999,2
kr,trend_chase,1w,80,hold_52w_trail20_TP30,37,73.0,16.86,26.79,33.6,10452.2,-56.7,1.6,4.61,52,0.2,0.3,False,-999,2
kr,trend_chase,1w,80,hold_26w_trail15,37,64.9,16.78,8.61,21.1,7185.1,-55.1,1.22,4.86,26,0.15,0.0,False,-999,2
kr,trend_chase,1w,80,hold_52w_trail15,37,62.2,19.39,8.61,34.3,12000.4,-67.3,1.31,4.73,52,0.15,0.0,False,-999,2
kr,trend_chase,1w,80,hold_26w_trail20_TP25,37,73.0,10.95,13.68,20.0,2284.3,-46.5,1.37,3.8,26,0.2,0.25,False,-999,2
kr,trend_chase,1w,85,hold_52w_trail20_TP30,29,75.9,18.19,30.08,32.6,4937.7,-56.7,1.49,4.93,52,0.2,0.3,False,-999,2
kr,trend_chase,1w,85,hold_26w_trail15,29,65.5,18.04,8.99,20.1,3389.7,-55.1,1.09,5.03,26,0.15,0.0,False,-999,2
kr,trend_chase,1w,85,hold_52w_trail15,29,62.1,22.14,8.99,33.4,6729.6,-67.3,1.23,4.99,52,0.15,0.0,False,-999,2
kr,trend_chase,1w,85,hold_26w_trail20_TP25,29,75.9,11.9,14.58,18.9,1377.3,-46.5,1.27,4.04,26,0.2,0.25,False,-999,2
kr,trend_chase,1w,90,hold_52w_trail20_TP30,21,81.0,22.16,30.49,30.1,4328.1,-25.1,1.75,11.38,52,0.2,0.3,False,-999,2
kr,trend_chase,1w,90,hold_26w_trail15,21,61.9,22.39,8.61,17.9,2708.5,-17.8,1.09,7.3,26,0.15,0.0,False,-999,2
kr,trend_chase,1w,90,hold_52w_trail15,21,61.9,26.7,8.61,26.8,5177.3,-25.1,1.24,8.47,52,0.15,0.0,False,-999,2
kr,trend_chase,1w,90,hold_26w_trail20_TP25,21,76.2,14.45,19.8,17.1,1166.6,-17.8,1.44,6.2,26,0.2,0.25,False,-999,2
