asset,strategy,interval,score_th,rule,n,win%,mean%,median%,held,total%,MDD%,Sharpe_ann,PF,_max_hold,_trailing_pct,_take_profit_pct,_cut_1bar_neg,_cut_short_thr,_cut_short_at
kr,trend_pullback,1d,60,hold_252d_trail20_TP30,18143,49.8,8.63,-0.13,71.2,inf,,18.4,2.25,252,0.2,0.3,False,-999,2
kr,trend_pullback,1d,60,hold_60d_trail15,18143,47.8,6.4,-1.08,40.8,4.054790517615233e+280,-100.0,10.73,2.15,60,0.15,0.0,False,-999,2
kr,trend_pullback,1d,60,hold_120d_trail20_TP25,18143,53.1,7.13,5.01,56.0,inf,,16.95,2.09,120,0.2,0.25,False,-999,2
kr,trend_pullback,1d,60,hold_252d_trail15,18143,47.6,9.09,-1.23,64.9,inf,,12.9,2.55,252,0.15,0.0,False,-999,2
kr,trend_pullback,1d,70,hold_252d_trail20_TP30,19540,49.2,8.21,-0.69,72.7,inf,,18.27,2.16,252,0.2,0.3,False,-999,2
kr,trend_pullback,1d,70,hold_60d_trail15,19540,46.9,5.91,-1.44,40.9,5.02966991868954e+265,-100.0,9.94,2.04,60,0.15,0.0,False,-999,2
kr,trend_pullback,1d,70,hold_120d_trail20_TP25,19540,52.3,6.77,3.99,57.0,inf,,16.81,2.01,120,0.2,0.25,False,-999,2
kr,trend_pullback,1d,70,hold_252d_trail15,19540,46.7,8.56,-1.66,65.8,inf,,12.33,2.43,252,0.15,0.0,False,-999,2
kr,trend_pullback,1d,75,hold_252d_trail20_TP30,17823,48.9,7.91,-0.9,72.6,inf,,17.57,2.1,252,0.2,0.3,False,-999,2
kr,trend_pullback,1d,75,hold_60d_trail15,17823,46.4,5.52,-1.73,40.6,1.141552261097413e+217,-100.0,8.95,1.96,60,0.15,0.0,False,-999,2
kr,trend_pullback,1d,75,hold_120d_trail20_TP25,17823,51.8,6.56,3.25,56.8,inf,,16.42,1.97,120,0.2,0.25,False,-999,2
kr,trend_pullback,1d,75,hold_252d_trail15,17823,46.2,8.07,-1.98,65.0,inf,,11.18,2.32,252,0.15,0.0,False,-999,2
kr,trend_pullback,1d,80,hold_252d_trail20_TP30,14512,48.7,7.78,-1.12,71.6,1.0432803976477753e+302,-100.0,15.58,2.08,252,0.2,0.3,False,-999,2
kr,trend_pullback,1d,80,hold_60d_trail15,14512,46.0,5.15,-1.95,40.2,1.0616513592518624e+163,-100.0,8.55,1.89,60,0.15,0.0,False,-999,2
kr,trend_pullback,1d,80,hold_120d_trail20_TP25,14512,51.2,6.43,2.27,56.0,2.3468991861028323e+256,-100.0,14.5,1.94,120,0.2,0.25,False,-999,2
kr,trend_pullback,1d,80,hold_252d_trail15,14512,45.9,7.59,-2.15,63.9,3.1767344275005656e+239,-100.0,10.52,2.23,252,0.15,0.0,False,-999,2
kr,trend_pullback,1d,85,hold_252d_trail20_TP30,12132,48.4,7.73,-1.35,70.5,8.494705956373079e+249,-100.0,14.13,2.07,252,0.2,0.3,False,-999,2
kr,trend_pullback,1d,85,hold_60d_trail15,12132,45.5,4.91,-2.16,39.8,4.664863487384356e+128,-100.0,8.43,1.83,60,0.15,0.0,False,-999,2
kr,trend_pullback,1d,85,hold_120d_trail20_TP25,12132,50.7,6.33,1.39,55.2,5.674269176410703e+208,-100.0,13.0,1.91,120,0.2,0.25,False,-999,2
kr,trend_pullback,1d,85,hold_252d_trail15,12132,45.6,7.39,-2.28,62.9,2.1380122853042885e+196,-100.0,10.24,2.19,252,0.15,0.0,False,-999,2
kr,trend_pullback,1d,90,hold_252d_trail20_TP30,7405,48.5,7.74,-1.34,70.8,7.828918617503619e+154,-100.0,11.11,2.07,252,0.2,0.3,False,-999,2
kr,trend_pullback,1d,90,hold_60d_trail15,7405,45.5,4.77,-2.19,39.6,5.681881317891126e+75,-100.0,6.44,1.81,60,0.15,0.0,False,-999,2
kr,trend_pullback,1d,90,hold_120d_trail20_TP25,7405,50.7,6.26,1.12,55.2,1.166899286103153e+127,-99.9,10.11,1.91,120,0.2,0.25,False,-999,2
kr,trend_pullback,1d,90,hold_252d_trail15,7405,45.7,7.34,-2.21,63.1,8.891589169503835e+119,-100.0,7.91,2.19,252,0.15,0.0,False,-999,2
