asset,strategy,interval,score_th,rule,n,win%,mean%,median%,held,total%,MDD%,Sharpe_ann,PF,_max_hold,_trailing_pct,_take_profit_pct,_cut_1bar_neg,_cut_short_thr,_cut_short_at
kr,trend_pullback,1w,60,hold_52w_trail20_TP30,6550,51.1,9.01,1.14,23.2,3.914356716033527e+154,-100.0,10.93,2.18,52,0.2,0.3,False,-999,2
kr,trend_pullback,1w,60,hold_26w_trail15,6550,49.3,10.93,-0.3,17.7,1.7470860821031173e+160,-100.0,5.7,2.76,26,0.15,0.0,False,-999,2
kr,trend_pullback,1w,60,hold_52w_trail15,6550,47.8,13.69,-1.21,23.5,9.205705388929165e+183,-100.0,6.05,3.03,52,0.15,0.0,False,-999,2
kr,trend_pullback,1w,60,hold_26w_trail20_TP25,6550,54.6,7.42,3.99,16.6,7.418432605384408e+136,-100.0,10.49,2.13,26,0.2,0.25,False,-999,2
kr,trend_pullback,1w,70,hold_52w_trail20_TP30,6238,52.9,9.83,3.47,23.5,8.49316658681502e+168,-100.0,11.7,2.34,52,0.2,0.3,False,-999,2
kr,trend_pullback,1w,70,hold_26w_trail15,6238,51.1,11.19,0.52,18.0,1.1056963494847259e+167,-100.0,6.77,2.87,26,0.15,0.0,False,-999,2
kr,trend_pullback,1w,70,hold_52w_trail15,6238,49.8,13.96,-0.17,24.1,2.0849938214638796e+194,-100.0,6.85,3.16,52,0.15,0.0,False,-999,2
kr,trend_pullback,1w,70,hold_26w_trail20_TP25,6238,56.0,7.92,5.26,16.8,5.164325135690498e+143,-99.9,10.99,2.24,26,0.2,0.25,False,-999,2
kr,trend_pullback,1w,75,hold_52w_trail20_TP30,5550,54.3,10.51,6.32,23.9,6.62187097178804e+167,-100.0,11.93,2.5,52,0.2,0.3,False,-999,2
kr,trend_pullback,1w,75,hold_26w_trail15,5550,51.7,11.22,1.02,18.2,3.349546507384029e+152,-99.9,6.48,2.94,26,0.15,0.0,False,-999,2
kr,trend_pullback,1w,75,hold_52w_trail15,5550,50.6,13.75,0.38,24.5,1.7088536000504087e+181,-100.0,7.34,3.22,52,0.15,0.0,False,-999,2
kr,trend_pullback,1w,75,hold_26w_trail20_TP25,5550,56.8,8.24,5.75,16.9,5.865392796603638e+136,-99.8,10.92,2.35,26,0.2,0.25,False,-999,2
kr,trend_pullback,1w,80,hold_52w_trail20_TP30,4696,55.6,11.29,9.04,23.6,2.659288075925988e+158,-99.9,11.88,2.69,52,0.2,0.3,False,-999,2
kr,trend_pullback,1w,80,hold_26w_trail15,4696,53.1,12.28,1.69,18.2,3.0757629731682594e+146,-99.7,6.2,3.23,26,0.15,0.0,False,-999,2
kr,trend_pullback,1w,80,hold_52w_trail15,4696,52.1,14.93,1.35,24.5,2.0060689668932805e+172,-99.8,6.99,3.53,52,0.15,0.0,False,-999,2
kr,trend_pullback,1w,80,hold_26w_trail20_TP25,4696,58.3,8.92,7.12,16.7,1.3961731174354293e+130,-99.7,10.97,2.53,26,0.2,0.25,False,-999,2
kr,trend_pullback,1w,85,hold_52w_trail20_TP30,3991,55.6,11.35,8.85,23.3,7.854339806487735e+135,-99.7,11.0,2.7,52,0.2,0.3,False,-999,2
kr,trend_pullback,1w,85,hold_26w_trail15,3991,53.2,12.73,1.68,18.1,2.2041258916148263e+129,-99.1,5.64,3.32,26,0.15,0.0,False,-999,2
kr,trend_pullback,1w,85,hold_52w_trail15,3991,52.1,15.15,1.34,24.3,1.1623134694422118e+149,-99.4,6.32,3.58,52,0.15,0.0,False,-999,2
kr,trend_pullback,1w,85,hold_26w_trail20_TP25,3991,58.4,9.05,7.45,16.6,6.741359661933618e+112,-99.4,10.24,2.56,26,0.2,0.25,False,-999,2
kr,trend_pullback,1w,90,hold_52w_trail20_TP30,2605,55.9,11.4,9.21,22.6,9.208136627784703e+89,-99.6,8.94,2.7,52,0.2,0.3,False,-999,2
kr,trend_pullback,1w,90,hold_26w_trail15,2605,53.7,12.84,2.22,17.9,6.687078636942463e+85,-98.3,4.18,3.35,26,0.15,0.0,False,-999,2
kr,trend_pullback,1w,90,hold_52w_trail15,2605,52.6,15.2,1.78,23.8,6.384686483997061e+97,-98.7,4.69,3.6,52,0.15,0.0,False,-999,2
kr,trend_pullback,1w,90,hold_26w_trail20_TP25,2605,59.0,9.24,7.76,16.3,2.6473872650681797e+76,-98.8,8.45,2.61,26,0.2,0.25,False,-999,2
