symbol,tier,listing_days,r2_btc,beta_btc,realized_vol_annual,kurt_trimmed
0GUSDT,junk,238,0.06697840256818485,0.835049187021297,1.525440539316468,7.314543656432259
1000000MOGUSDT,trend,638,0.41123277542711545,2.180756556339317,1.542758414463319,4.494889349407273
1000BONKUSDT,trend,796,0.4241436153488579,1.7760286648552914,1.3021202490700035,5.042070637683532
1000CATUSDT,trend,605,0.23738945469586645,1.6010124893734496,1.4879829226444043,7.358947454942802
1000RATSUSDT,trend,880,0.19123313391638555,1.638831933706376,1.809219717586835,4.660476702460724
1000SATSUSDT,trend,883,0.25992350496542277,1.453823136586955,1.3751854559135102,6.230230010885927
1000XECUSDT,trend,1042,0.45549613941812117,1.199906894144274,0.8351286135810104,4.980815868049515
1INCHUSDT,trend,1093,0.4262610755496287,1.2427647898213752,0.8899705178115512,4.615220002534893
1MBABYDOGEUSDT,trend,605,0.2758007263403613,1.4030985022370548,1.20983013172272,4.880306698390217
1MCHEEMSUSDT,trend,537,0.1778757170603073,1.1879213415915713,1.2574861328178886,4.862820311743553
2ZUSDT,junk,224,0.303363269308177,1.238920636211685,1.076439210918271,3.5353643170771494
4USDT,junk,217,0.18642775822737498,2.299526958239872,2.574892026431168,5.877522133929285
AAOIUSDT,junk,22,,,,
AAPLUSDT,junk,261,0.021933693255337436,0.07341976027665388,0.22630630903840454,5.263874862957473
AAVEUSDT,trend,1093,0.38059385799439516,1.2176335811905339,0.9228056549754633,4.7469940711558065
ACEUSDT,trend,877,0.2964290584133831,1.2837440397456759,1.1387391346651894,3.9780736241378385
ACHUSDT,trend,1093,0.26733944314134706,1.2056279371632288,1.0902003104528084,5.231326365497519
ACTUSDT,trend,549,0.10838225696038041,1.1135539725794512,1.5107750121366053,6.543463095440605
ACUUSDT,junk,113,0.0050460713263182294,0.33658977683039976,2.5878804032043474,28.137237146118835
ACXUSDT,trend,524,0.2756111092468847,1.3812470864131245,1.1746119157847068,5.209283004909128
ADAUSDT,trend,1093,0.4643894862962479,1.3290370055450196,0.9118437003334762,5.3071854973206865
AEROUSDT,trend,555,0.45502056787887823,1.8338715673567085,1.2495299035779792,4.0278397419959235
AEVOUSDT,trend,783,0.2660798962854545,1.3367485275720101,1.2119220911894737,4.557261464681626
AGLDUSDT,trend,1031,0.199708085129271,1.2450837466468183,1.3125488623813288,7.6388962660219075
AIGENSYNUSDT,junk,15,,,,
AINUSDT,junk,308,0.014657968731605223,0.4872372479192959,1.7538224112450609,8.548756532136746
AIOUSDT,junk,274,0.0003385821335322264,-0.06689673874770027,1.6519629155211388,7.15973256609884
AIXBTUSDT,trend,509,0.2820290093761169,1.906831939918063,1.600179044389884,4.948975292780533
AKTUSDT,trend,623,0.3719182273516766,1.434306241234984,1.0640652829421542,4.439688807944782
ALCHUSDT,trend,492,0.02972356947161211,0.7880715800795057,2.0368308519663945,8.2063118940899
ALGOUSDT,trend,1093,0.4077953783376423,1.2445127357746955,0.9111769260891149,4.715975220011732
ALICEUSDT,trend,660,0.26010054811552463,1.301433154075231,1.1877288712842493,5.989946804316648
ALLOUSDT,junk,184,0.1380107607328063,1.0502032875532625,1.3816209949837834,5.4183458155765685
ALTUSDT,trend,835,0.32349141217057165,1.3765411086127353,1.167453721677158,3.7588808654411596
AMATUSDT,junk,29,,,,
AMDUSDT,junk,29,,,,
AMZNUSDT,junk,261,0.22492703024026364,0.3762151561638216,0.36212211233630953,5.575155273774274
ANIMEUSDT,trend,476,0.22998886170069674,1.2814278722135422,1.1909971344857597,6.142036868985023
ANKRUSDT,trend,1093,0.41075052929090977,1.1344742150301708,0.8276182931418715,4.398256111527976
APEUSDT,trend,1093,0.2736158625529529,1.2408302625021828,1.1090886452689732,4.645724078704157
API3USDT,whale,1093,0.19488552511589025,1.2064950945717734,1.277792358295691,11.032269501168148
APLDUSDT,junk,16,,,,
APPUSDT,junk,247,0.11051213438425372,0.5605977096474272,0.7852844730675781,6.122328614053535
APRUSDT,junk,203,0.04532723840441183,0.8945713022798488,2.0231650470270446,3.9170957536269873
APTUSDT,trend,1093,0.38465613581904035,1.2090607429374192,0.9114572544866416,4.552837846294323
