strategy,score_th,ema200_filter,vol_filter,n,win%,mean%,Sharpe_ann,PF
trend_chase,60,all,all,391,55.5,9.27,4.2,2.52
trend_chase,60,all,vol=high,39,61.5,12.34,1.41,4.67
trend_chase,60,all,vol=low,352,54.8,8.93,3.97,2.4
trend_chase,60,ema200=above,all,223,56.1,11.5,3.51,2.67
trend_chase,60,ema200=above,vol=high,6,66.7,41.26,0.94,16.94
trend_chase,60,ema200=above,vol=low,217,55.8,10.67,3.46,2.53
trend_chase,60,ema200=below,all,168,54.8,6.31,2.36,2.25
trend_chase,60,ema200=below,vol=high,33,60.6,7.08,1.39,3.02
trend_chase,60,ema200=below,vol=low,135,53.3,6.12,1.98,2.12
trend_chase,70,all,all,265,55.8,9.56,3.32,2.42
trend_chase,70,all,vol=high,28,64.3,14.61,1.25,4.92
trend_chase,70,all,vol=low,237,54.9,8.96,3.08,2.26
trend_chase,70,ema200=above,all,155,55.5,11.42,2.71,2.52
trend_chase,70,ema200=above,vol=high,4,75.0,62.08,1.07,18.59
trend_chase,70,ema200=above,vol=low,151,55.0,10.07,2.6,2.32
trend_chase,70,ema200=below,all,110,56.4,6.95,1.95,2.24
trend_chase,70,ema200=below,vol=high,24,62.5,6.7,1.1,2.78
trend_chase,70,ema200=below,vol=low,86,54.7,7.02,1.66,2.15
trend_pullback,70,all,all,12066,39.3,1.27,2.71,1.11
trend_pullback,70,all,vol=high,2061,40.9,2.58,2.12,1.21
trend_pullback,70,all,vol=low,10005,38.9,1.0,1.98,1.09
trend_pullback,70,ema200=above,all,9587,36.6,0.64,1.18,1.05
trend_pullback,70,ema200=above,vol=high,1775,40.6,2.23,1.68,1.18
trend_pullback,70,ema200=above,vol=low,7812,35.7,0.28,0.47,1.02
trend_pullback,70,ema200=below,all,2479,49.5,3.72,4.05,1.49
trend_pullback,70,ema200=below,vol=high,286,42.7,4.8,1.56,1.5
trend_pullback,70,ema200=below,vol=low,2193,50.4,3.58,3.74,1.49
trend_pullback,80,all,all,8552,41.3,2.19,3.99,1.2
trend_pullback,80,all,vol=high,1409,42.4,3.28,2.27,1.28
trend_pullback,80,all,vol=low,7143,41.0,1.97,3.34,1.19
trend_pullback,80,ema200=above,all,6690,38.4,1.59,2.5,1.13
trend_pullback,80,ema200=above,vol=high,1227,41.5,2.76,1.77,1.23
trend_pullback,80,ema200=above,vol=low,5463,37.7,1.33,1.91,1.11
trend_pullback,80,ema200=below,all,1862,51.5,4.33,4.17,1.62
trend_pullback,80,ema200=below,vol=high,182,48.4,6.8,1.75,1.81
trend_pullback,80,ema200=below,vol=low,1680,51.8,4.06,3.8,1.59
