strategy,interval,threshold,rule,max_hold,trailing_pct,take_profit_pct,hard_sl,cut_3bar_neg,n,win%,mean%,median%,held,total%,MDD%,Sharpe_ann,PF
trend_chase,1d,60,h365_tr25_TP40_SLx_cutN,365,0.25,0.4,,False,4011,49.0,9.88,-0.74,151.3,9.781484784971366e+97,-100.0,8.49,2.16
trend_chase,1d,60,h365_tr25_TP30_SLx_cutN,365,0.25,0.3,,False,4011,53.3,8.42,11.2,135.9,3.246706303253802e+86,-100.0,8.26,2.0
trend_chase,1d,60,h252_tr25_TP40_SLx_cutN,252,0.25,0.4,,False,4011,49.2,9.1,-0.54,135.5,1.3825838085096773e+90,-100.0,8.08,2.1
trend_chase,1d,60,h252_tr25_TP30_SLx_cutN,252,0.25,0.3,,False,4011,53.0,7.94,7.13,123.1,7.134518427644408e+81,-100.0,7.98,1.97
trend_chase,1d,60,h365_tr25_TP40_SL20_cutN,365,0.25,0.4,-0.2,False,4011,46.0,8.95,-3.37,129.0,5.656625533525323e+89,-100.0,7.93,2.05
trend_chase,1d,60,h365_tr25_TP25_SLx_cutN,365,0.25,0.25,,False,4011,57.4,7.33,24.88,126.2,7.109906370525702e+75,-100.0,7.86,1.9
trend_chase,1d,60,h365_tr25_TP40_SLx_cutY,365,0.25,0.4,,True,4011,44.3,8.63,-4.67,131.4,1.480051488206399e+85,-100.0,7.76,2.06
trend_chase,1d,60,h252_tr25_TP40_SL20_cutN,252,0.25,0.4,-0.2,False,4011,46.9,8.42,-2.4,119.0,3.029799374088358e+84,-100.0,7.68,2.02
trend_chase,1d,60,h365_tr25_TP30_SL20_cutN,365,0.25,0.3,-0.2,False,4011,50.2,7.51,0.58,114.2,1.627632670602371e+78,-100.0,7.64,1.89
trend_chase,1d,60,h252_tr25_TP25_SLx_cutN,252,0.25,0.25,,False,4011,56.6,6.96,24.7,114.6,2.7242848976107144e+72,-99.9,7.62,1.88
trend_chase,1d,60,h252_tr25_TP30_SL20_cutN,252,0.25,0.3,-0.2,False,4011,50.6,7.27,1.32,106.9,1.312994780101066e+76,-100.0,7.54,1.89
trend_chase,1d,60,h365_tr25_TP40_SL20_cutY,365,0.25,0.4,-0.2,True,4011,42.5,8.1,-5.56,117.8,1.0054938090362264e+81,-100.0,7.46,2.0
trend_chase,1d,60,h365_tr25_TP30_SLx_cutY,365,0.25,0.3,,True,4011,48.2,7.23,-4.23,117.4,6.085750541506796e+73,-100.0,7.46,1.9
trend_chase,1d,60,h180_tr25_TP40_SLx_cutN,180,0.25,0.4,,False,4011,50.7,7.95,0.42,117.1,3.0000891833451916e+78,-100.0,7.46,2.02
trend_chase,1d,60,h365_tr20_TP40_SLx_cutN,365,0.2,0.4,,False,4011,47.1,7.9,-1.98,123.3,9.114490709518555e+77,-100.0,7.45,2.06
trend_chase,1d,60,h252_tr25_TP40_SLx_cutY,252,0.25,0.4,,True,4011,44.8,8.02,-4.08,118.7,1.4172043510977441e+79,-100.0,7.44,2.02
trend_chase,1d,60,h180_tr25_TP30_SLx_cutN,180,0.25,0.3,,False,4011,53.6,7.06,3.97,107.8,4.922485842025124e+72,-99.9,7.43,1.91
trend_chase,1d,60,h365_tr20_TP30_SLx_cutN,365,0.2,0.3,,False,4011,47.7,6.99,-1.71,112.2,8.394394349981454e+71,-100.0,7.42,1.94
trend_chase,1d,60,h365_tr25_TP40_SL15_cutN,365,0.25,0.4,-0.15,False,4011,41.8,7.87,-7.47,110.7,6.44449351062938e+78,-100.0,7.31,1.96
trend_chase,1d,60,h252_tr25_TP40_SL20_cutY,252,0.25,0.4,-0.2,True,4011,43.4,7.67,-5.2,108.6,8.795784819691353e+76,-99.9,7.27,1.98
trend_chase,1d,60,h252_tr25_TP30_SLx_cutY,252,0.25,0.3,,True,4011,48.2,6.88,-3.31,107.2,3.010283654657512e+70,-100.0,7.26,1.89
trend_chase,1d,60,h365_tr25_TP25_SL20_cutN,365,0.25,0.25,-0.2,False,4011,54.1,6.49,24.74,104.7,1.978924115979817e+68,-100.0,7.24,1.79
trend_chase,1d,60,h252_tr20_TP30_SLx_cutN,252,0.2,0.3,,False,4011,47.9,6.69,-1.59,103.4,1.3135464376340823e+69,-100.0,7.23,1.91
trend_chase,1d,60,h252_tr25_TP40_SL15_cutN,252,0.25,0.4,-0.15,False,4011,43.1,7.57,-5.91,103.4,2.118064725577203e+76,-100.0,7.2,1.95
trend_chase,1d,60,h180_tr25_TP40_SL20_cutN,180,0.25,0.4,-0.2,False,4011,49.0,7.52,-0.69,105.4,7.601172355757845e+74,-100.0,7.19,1.96
trend_chase,1d,60,h252_tr20_TP40_SLx_cutN,252,0.2,0.4,,False,4011,47.3,7.43,-1.71,112.6,2.8433616806076214e+73,-100.0,7.19,2.01
trend_chase,1d,60,h252_tr25_TP25_SL20_cutN,252,0.25,0.25,-0.2,False,4011,54.0,6.33,13.04,98.6,8.656702801946899e+66,-99.9,7.17,1.8
trend_chase,1d,60,h365_tr20_TP25_SLx_cutN,365,0.2,0.25,,False,4011,49.9,6.22,-0.51,105.1,4.903256378428672e+64,-100.0,7.16,1.84
trend_chase,1d,60,h365_tr25_TP30_SL20_cutY,365,0.25,0.3,-0.2,True,4011,46.3,6.75,-5.49,104.1,1.1585742019592578e+70,-100.0,7.16,1.85
trend_chase,1d,60,h180_tr25_TP25_SLx_cutN,180,0.25,0.25,,False,4011,56.5,6.27,8.58,101.1,1.755771704186468e+65,-99.8,7.15,1.83
trend_chase,1d,60,h180_tr25_TP30_SL20_cutN,180,0.25,0.3,-0.2,False,4011,51.8,6.6,2.28,96.3,4.349233420062958e+68,-100.0,7.12,1.85
trend_chase,1d,60,h365_tr25_TPx_SLx_cutN,365,0.25,0.0,,False,4011,48.7,16.27,-0.86,189.1,3.2971325281750174e+128,-100.0,7.09,2.91
trend_chase,1d,60,h252_tr25_TP30_SL20_cutY,252,0.25,0.3,-0.2,True,4011,46.8,6.55,-4.79,97.4,2.9897551928509307e+68,-99.9,7.08,1.85
trend_chase,1d,60,h365_tr25_TP25_SLx_cutY,365,0.25,0.25,,True,4011,52.1,6.25,9.65,108.3,2.935131809009376e+64,-100.0,7.08,1.81
trend_chase,1d,60,h120_tr25_TP40_SLx_cutN,120,0.25,0.4,,False,4011,51.7,6.9,0.89,92.9,1.9369385061493366e+70,-99.8,7.06,2.0
trend_chase,1d,60,h252_tr25_TP30_SL15_cutN,252,0.25,0.3,-0.15,False,4011,46.5,6.48,-5.73,91.9,2.044352171854947e+68,-100.0,7.04,1.83
trend_chase,1d,60,h365_tr25_TP30_SL15_cutN,365,0.25,0.3,-0.15,False,4011,45.7,6.57,-7.24,96.7,3.8523548772094447e+68,-100.0,7.04,1.82
trend_chase,1d,60,h365_tr25_TP40_SL15_cutY,365,0.25,0.4,-0.15,True,4011,39.3,7.36,-6.46,102.8,6.198666268229438e+73,-100.0,7.03,1.95
trend_chase,1d,60,h120_tr25_TP30_SLx_cutN,120,0.25,0.3,,False,4011,53.6,6.17,2.5,87.0,2.013433484569371e+65,-99.8,7.03,1.9
trend_chase,1d,60,h252_tr20_TP25_SLx_cutN,252,0.2,0.25,,False,4011,49.9,6.0,-0.3,97.0,8.179905906992962e+62,-100.0,7.01,1.82
trend_chase,1d,60,h365_tr20_TP40_SL20_cutN,365,0.2,0.4,-0.2,False,4011,45.0,7.21,-3.35,105.8,5.359589075297168e+71,-100.0,6.97,1.95
trend_chase,1d,60,h252_tr25_TP25_SLx_cutY,252,0.25,0.25,,True,4011,51.6,6.02,4.12,99.3,2.4953319104424797e+62,-100.0,6.94,1.8
trend_chase,1d,60,h252_tr25_TP40_SL15_cutY,252,0.25,0.4,-0.15,True,4011,40.4,7.07,-6.11,96.0,2.331312020249339e+71,-100.0,6.92,1.94
trend_chase,1d,60,h252_tr25_TPx_SLx_cutN,252,0.25,0.0,,False,4011,48.9,13.58,-0.69,162.8,2.0047518206921991e+111,-100.0,6.92,2.64
trend_chase,1d,60,h120_tr25_TP25_SLx_cutN,120,0.25,0.25,,False,4011,55.7,5.64,4.21,82.4,5.350525666748316e+60,-99.9,6.9,1.84
trend_chase,1d,60,h180_tr25_TP40_SLx_cutY,180,0.25,0.4,,True,4011,46.2,6.99,-3.05,103.3,3.111274704872319e+68,-100.0,6.86,1.94
