strategy,interval,threshold,rule,max_hold,trailing_pct,take_profit_pct,hard_sl,cut_3bar_neg,n,win%,mean%,median%,held,total%,MDD%,Sharpe_ann,PF
trend_chase,1w,60,h78_tr25_TP40_SLx_cutN,78,0.25,0.4,,False,81,69.1,26.1,41.08,48.8,965129107.1,-71.9,3.26,7.62
trend_chase,1w,60,h78_tr20_TP40_SLx_cutN,78,0.2,0.4,,False,81,70.4,25.39,40.66,46.0,680821505.7,-67.7,3.23,8.12
trend_chase,1w,60,h78_tr20_TP30_SLx_cutN,78,0.2,0.3,,False,81,70.4,19.83,30.72,41.7,31698220.2,-67.7,3.05,6.56
trend_chase,1w,60,h78_tr20_TP25_SLx_cutN,78,0.2,0.25,,False,81,71.6,17.32,27.26,38.6,7897110.8,-67.7,3.04,5.91
trend_chase,1w,60,h78_tr25_TP25_SLx_cutN,78,0.25,0.25,,False,81,72.8,17.49,27.31,40.7,8267675.1,-71.9,3.01,5.71
trend_chase,1w,60,h78_tr25_TP30_SLx_cutN,78,0.25,0.3,,False,81,70.4,19.98,30.72,43.9,32071165.8,-71.9,3.01,6.19
trend_chase,1w,60,h78_tr25_TP40_SL20_cutN,78,0.25,0.4,-0.2,False,81,65.4,23.61,40.73,43.8,220067954.9,-52.0,2.96,5.96
trend_chase,1w,60,h78_tr25_TP40_SLx_cutY,78,0.25,0.4,,True,81,61.7,22.94,40.41,42.0,171076154.2,-51.2,2.93,6.82
trend_chase,1w,60,h78_tr20_TP40_SL20_cutN,78,0.2,0.4,-0.2,False,81,66.7,22.79,40.53,41.0,138104643.4,-52.0,2.89,6.07
trend_chase,1w,60,h78_tr20_TP40_SLx_cutY,78,0.2,0.4,,True,81,63.0,22.16,40.09,39.2,112217568.6,-40.3,2.88,7.09
trend_chase,1w,60,h78_tr25_TP25_SLx_cutY,78,0.25,0.25,,True,81,65.4,15.1,26.5,34.4,2278464.7,-51.2,2.75,5.07
trend_chase,1w,60,h78_tr20_TP25_SLx_cutY,78,0.2,0.25,,True,81,64.2,14.87,26.19,32.4,2023711.6,-40.3,2.75,5.13
trend_chase,1w,60,h78_tr25_TP30_SLx_cutY,78,0.25,0.3,,True,81,63.0,17.07,30.29,37.5,6498431.0,-51.2,2.72,5.43
trend_chase,1w,60,h78_tr20_TP30_SLx_cutY,78,0.2,0.3,,True,81,63.0,16.85,30.23,35.4,5972438.8,-40.3,2.72,5.63
trend_chase,1w,60,h78_tr25_TP30_SL20_cutN,78,0.25,0.3,-0.2,False,81,66.7,18.16,30.62,39.0,10235688.8,-52.0,2.69,4.89
trend_chase,1w,60,h78_tr20_TP30_SL20_cutN,78,0.2,0.3,-0.2,False,81,66.7,17.9,30.6,36.9,8999955.4,-52.0,2.68,4.98
trend_chase,1w,60,h78_tr25_TP25_SL20_cutN,78,0.25,0.25,-0.2,False,81,69.1,15.66,27.13,35.8,2638623.4,-52.0,2.67,4.46
trend_chase,1w,60,h78_tr25_TP40_SL20_cutY,78,0.25,0.4,-0.2,True,81,59.3,20.99,40.25,39.3,41525388.2,-51.0,2.66,5.44
trend_chase,1w,60,h78_tr20_TP25_SL20_cutN,78,0.2,0.25,-0.2,False,81,67.9,15.38,26.79,33.8,2242142.9,-52.0,2.64,4.45
trend_chase,1w,60,h78_tr20_TP40_SL20_cutY,78,0.2,0.4,-0.2,True,81,60.5,20.17,40.06,36.6,26059415.5,-42.6,2.6,5.52
trend_chase,1w,60,h52_tr25_TP40_SLx_cutN,52,0.25,0.4,,False,81,67.9,18.59,20.01,39.7,8902643.8,-65.0,2.49,5.17
trend_chase,1w,60,h52_tr20_TP40_SLx_cutN,52,0.2,0.4,,False,81,67.9,18.1,17.0,37.9,7193146.7,-59.7,2.48,5.45
trend_chase,1w,60,h78_tr25_TPx_SLx_cutN,78,0.25,0.0,,False,81,67.9,46.33,32.1,61.0,1443980140102.0,-71.9,2.46,12.59
trend_chase,1w,60,h78_tr25_TP40_SL15_cutN,78,0.25,0.4,-0.15,False,81,59.3,19.64,40.09,37.4,14515703.7,-60.4,2.45,4.48
trend_chase,1w,60,h78_tr15_TP40_SLx_cutN,78,0.15,0.4,,False,81,61.7,18.86,13.93,37.5,8630698.3,-73.7,2.44,5.17
trend_chase,1w,60,h52_tr20_TP25_SLx_cutN,52,0.2,0.25,,False,81,69.1,13.81,25.25,33.0,722308.3,-59.7,2.43,4.43
trend_chase,1w,60,h52_tr20_TP30_SLx_cutN,52,0.2,0.3,,False,81,67.9,15.46,20.39,35.1,1746248.0,-59.7,2.42,4.8
trend_chase,1w,60,h78_tr20_TP40_SL15_cutN,78,0.2,0.4,-0.15,False,81,60.5,19.0,29.15,35.8,10542112.2,-58.9,2.42,4.65
trend_chase,1w,60,h78_tr25_TP30_SL20_cutY,78,0.25,0.3,-0.2,True,81,60.5,15.78,30.23,35.0,2207771.9,-51.0,2.41,4.4
trend_chase,1w,60,h78_tr25_TP25_SL20_cutY,78,0.25,0.25,-0.2,True,81,63.0,13.81,26.19,31.9,774041.0,-51.0,2.4,4.07
trend_chase,1w,60,h78_tr20_TP30_SL20_cutY,78,0.2,0.3,-0.2,True,81,60.5,15.52,30.08,32.8,1941222.7,-42.6,2.4,4.48
trend_chase,1w,60,h52_tr25_TP25_SLx_cutN,52,0.25,0.25,,False,81,70.4,13.89,25.74,34.1,703934.4,-65.0,2.39,4.23
trend_chase,1w,60,h52_tr25_TP30_SLx_cutN,52,0.25,0.3,,False,81,69.1,15.6,23.53,36.3,1746671.3,-65.0,2.39,4.57
trend_chase,1w,60,h52_tr25_TP40_SL20_cutN,52,0.25,0.4,-0.2,False,81,66.7,17.73,19.99,36.5,5465337.7,-45.8,2.38,4.68
trend_chase,1w,60,h78_tr20_TP25_SL20_cutY,78,0.2,0.25,-0.2,True,81,61.7,13.54,26.14,29.9,657722.7,-42.6,2.37,4.06
trend_chase,1w,60,h52_tr20_TP40_SL20_cutN,52,0.2,0.4,-0.2,False,81,66.7,17.13,16.02,34.8,3928427.0,-41.7,2.34,4.78
trend_chase,1w,60,h78_tr15_TP25_SLx_cutN,78,0.15,0.25,,False,81,61.7,14.0,26.5,31.7,643422.1,-73.7,2.33,4.1
trend_chase,1w,60,h78_tr15_TP30_SLx_cutN,78,0.15,0.3,,False,81,61.7,15.7,30.08,33.9,1567379.5,-73.7,2.33,4.47
trend_chase,1w,60,h78_tr25_TP40_SL15_cutY,78,0.25,0.4,-0.15,True,81,55.6,18.29,29.15,35.2,6298511.0,-55.2,2.32,4.34
trend_chase,1w,60,h78_tr20_TPx_SLx_cutN,78,0.2,0.0,,False,81,69.1,44.28,22.15,54.9,402318810369.3,-67.7,2.3,13.22
trend_chase,1w,60,h78_tr20_TP40_SL15_cutY,78,0.2,0.4,-0.15,True,81,56.8,17.64,11.03,33.6,4574313.9,-53.5,2.29,4.51
trend_chase,1w,60,h52_tr25_TP30_SL20_cutN,52,0.25,0.3,-0.2,False,81,67.9,14.74,20.39,33.2,1072251.4,-44.6,2.28,4.12
trend_chase,1w,60,h52_tr20_TP30_SL20_cutN,52,0.2,0.3,-0.2,False,81,66.7,14.5,20.01,32.0,953652.3,-41.7,2.27,4.2
trend_chase,1w,60,h52_tr25_TP25_SL20_cutN,52,0.25,0.25,-0.2,False,81,69.1,13.03,25.25,31.0,432110.2,-50.8,2.27,3.8
trend_chase,1w,60,h52_tr20_TP25_SL20_cutN,52,0.2,0.25,-0.2,False,81,67.9,12.84,25.07,29.8,394436.8,-48.0,2.27,3.86
trend_chase,1w,60,h78_tr25_TPx_SL20_cutN,78,0.25,0.0,-0.2,False,81,64.2,42.2,29.73,55.6,162876544889.8,-52.0,2.25,9.76
trend_chase,1w,60,h78_tr15_TP40_SL20_cutN,78,0.15,0.4,-0.2,False,81,59.3,17.5,8.99,33.2,3814232.0,-57.0,2.24,4.36
trend_chase,1w,60,h78_tr20_TP30_SL15_cutN,78,0.2,0.3,-0.15,False,81,60.5,14.62,30.08,31.8,925156.2,-58.9,2.22,3.81
trend_chase,1w,60,h52_tr25_TP40_SLx_cutY,52,0.25,0.4,,True,81,61.7,15.77,11.43,34.4,1755811.6,-41.1,2.22,4.54
trend_chase,1w,60,h78_tr25_TPx_SLx_cutY,78,0.25,0.0,,True,81,60.5,40.46,21.62,52.4,88965785759.0,-51.2,2.21,11.12
trend_chase,1w,60,h52_tr20_TP40_SLx_cutY,52,0.2,0.4,,True,81,61.7,15.21,10.38,32.6,1319150.8,-34.9,2.19,4.68
trend_chase,1w,60,h52_tr20_TP25_SLx_cutY,52,0.2,0.25,,True,81,63.0,11.86,16.02,27.9,228631.8,-34.9,2.19,3.9
