strategy,interval,threshold,rule,max_hold,trailing_pct,take_profit_pct,hard_sl,cut_3bar_neg,n,win%,mean%,median%,held,total%,MDD%,Sharpe_ann,PF
trend_pullback,1d,60,h252_tr25_TP40_SLx_cutN,252,0.25,0.4,,False,18143,53.3,12.67,3.45,96.8,inf,,22.35,2.65
trend_pullback,1d,60,h365_tr25_TP40_SLx_cutN,365,0.25,0.4,,False,18143,52.3,12.72,2.34,103.4,inf,,22.16,2.62
trend_pullback,1d,60,h180_tr25_TP40_SLx_cutN,180,0.25,0.4,,False,18143,54.0,11.94,3.88,88.3,inf,,21.64,2.61
trend_pullback,1d,60,h252_tr25_TP30_SLx_cutN,252,0.25,0.3,,False,18143,57.0,10.75,29.77,87.1,inf,,21.53,2.42
trend_pullback,1d,60,h365_tr25_TP30_SLx_cutN,365,0.25,0.3,,False,18143,56.4,10.77,29.86,92.6,inf,,21.33,2.39
trend_pullback,1d,60,h180_tr25_TP30_SLx_cutN,180,0.25,0.3,,False,18143,57.3,10.28,15.39,80.1,inf,,21.0,2.4
trend_pullback,1d,60,h252_tr25_TP40_SL20_cutN,252,0.25,0.4,-0.2,False,18143,50.5,11.54,0.54,83.5,inf,,20.73,2.47
trend_pullback,1d,60,h252_tr25_TP25_SLx_cutN,252,0.25,0.25,,False,18143,60.7,9.54,25.1,80.6,inf,,20.68,2.3
trend_pullback,1d,60,h365_tr25_TP25_SLx_cutN,365,0.25,0.25,,False,18143,60.5,9.57,25.17,85.6,inf,,20.54,2.28
trend_pullback,1d,60,h365_tr25_TP40_SL20_cutN,365,0.25,0.4,-0.2,False,18143,49.5,11.51,-0.58,86.4,inf,,20.5,2.44
trend_pullback,1d,60,h180_tr25_TP25_SLx_cutN,180,0.25,0.25,,False,18143,60.5,9.21,24.92,74.4,inf,,20.3,2.29
trend_pullback,1d,60,h180_tr25_TP40_SL20_cutN,180,0.25,0.4,-0.2,False,18143,51.6,11.01,1.49,78.2,inf,,20.24,2.44
trend_pullback,1d,60,h120_tr25_TP40_SLx_cutN,120,0.25,0.4,,False,18143,54.7,10.49,3.75,74.7,inf,,20.15,2.52
trend_pullback,1d,60,h120_tr25_TP30_SLx_cutN,120,0.25,0.3,,False,18143,57.2,9.3,8.34,68.8,inf,,19.86,2.36
trend_pullback,1d,60,h252_tr25_TP30_SL20_cutN,252,0.25,0.3,-0.2,False,18143,54.1,9.7,15.0,74.0,inf,,19.81,2.25
