strategy,interval,threshold,rule,max_hold,trailing_pct,take_profit_pct,hard_sl,cut_3bar_neg,n,win%,mean%,median%,held,total%,MDD%,Sharpe_ann,PF
trend_pullback,1w,75,h78_tr20_TP40_SLx_cutN,78,0.2,0.4,,False,5550,53.4,13.16,3.31,28.9,1.0735982377261149e+204,-100.0,12.82,2.83
trend_pullback,1w,75,h78_tr25_TP40_SLx_cutN,78,0.25,0.4,,False,5550,53.9,13.65,6.64,33.3,6.0886831140791465e+202,-100.0,12.65,2.66
trend_pullback,1w,75,h52_tr20_TP40_SLx_cutN,52,0.2,0.4,,False,5550,53.7,12.34,2.86,25.9,8.810504569394045e+192,-100.0,12.37,2.75
trend_pullback,1w,75,h78_tr20_TP40_SL20_cutN,78,0.2,0.4,-0.2,False,5550,51.1,12.32,1.05,24.1,6.528589349990872e+194,-100.0,12.3,2.69
trend_pullback,1w,75,h78_tr20_TP30_SLx_cutN,78,0.2,0.3,,False,5550,54.1,11.11,9.13,26.5,4.4035798130069766e+175,-100.0,12.3,2.55
trend_pullback,1w,75,h52_tr25_TP40_SLx_cutN,52,0.25,0.4,,False,5550,54.7,12.75,5.89,29.1,4.699026632851219e+192,-100.0,12.27,2.63
trend_pullback,1w,75,h78_tr25_TP40_SL20_cutN,78,0.25,0.4,-0.2,False,5550,51.1,12.75,1.89,27.7,5.699518108357389e+194,-100.0,12.18,2.56
trend_pullback,1w,75,h39_tr25_TP40_SLx_cutN,39,0.25,0.4,,False,5550,55.5,12.13,5.62,25.4,5.793086763669824e+187,-100.0,12.16,2.67
trend_pullback,1w,75,h78_tr25_TP30_SLx_cutN,78,0.25,0.3,,False,5550,57.1,11.48,25.21,30.3,6.729400326955686e+173,-100.0,12.07,2.41
trend_pullback,1w,75,h39_tr20_TP40_SLx_cutN,39,0.2,0.4,,False,5550,54.3,11.65,3.53,23.1,7.870761852027113e+183,-100.0,12.05,2.72
trend_pullback,1w,75,h52_tr20_TP40_SL20_cutN,52,0.2,0.4,-0.2,False,5550,51.9,11.75,1.52,22.7,9.490110339272147e+185,-100.0,11.99,2.65
trend_pullback,1w,75,h78_tr20_TP40_SL15_cutN,78,0.2,0.4,-0.15,False,5550,48.8,11.68,-1.27,22.1,5.598944312770119e+185,-100.0,11.93,2.65
trend_pullback,1w,75,h52_tr20_TP30_SLx_cutN,52,0.2,0.3,,False,5550,54.3,10.51,6.32,23.9,6.62187097178804e+167,-100.0,11.93,2.5
