strategy,interval,threshold,rule,max_hold,trailing_pct,take_profit_pct,hard_sl,cut_3bar_neg,IS_n,IS_win%,IS_mean%,IS_MDD%,IS_Sharpe,IS_PF,OOS_n,OOS_win%,OOS_mean%,OOS_MDD%,OOS_Sharpe,OOS_PF,robust%
trend_chase,1w,60,h78_tr20_TP40_SLx_cutN,78,0.2,0.4,,False,52,61.5,18.92,-74.4,2.24,4.6,31,83.9,35.64,-13.8,6.0,33.57,267.9
trend_chase,1w,60,h78_tr25_TP40_SLx_cutN,78,0.25,0.4,,False,52,57.7,18.98,-80.9,2.17,4.16,31,87.1,37.32,-13.8,6.63,42.24,305.5
trend_chase,1w,60,h78_tr20_TP25_SLx_cutN,78,0.2,0.25,,False,52,63.5,13.48,-76.9,2.11,3.6,31,83.9,23.0,-13.8,5.69,22.02,269.7
trend_chase,1w,60,h78_tr20_TP30_SLx_cutN,78,0.2,0.3,,False,52,61.5,14.63,-76.9,2.08,3.79,31,83.9,27.77,-13.8,5.67,26.38,272.6
trend_chase,1w,60,h78_tr25_TPx_SLx_cutN,78,0.25,0.0,,False,52,57.7,29.25,-71.9,2.07,5.87,31,83.9,74.0,-13.8,3.41,71.3,164.7
trend_chase,1w,60,h78_tr25_TP25_SLx_cutN,78,0.25,0.25,,False,52,63.5,13.01,-81.8,1.98,3.3,31,87.1,24.11,-13.8,6.31,27.64,318.7
trend_chase,1w,60,h78_tr25_TP30_SLx_cutN,78,0.25,0.3,,False,52,59.6,14.01,-82.7,1.94,3.39,31,87.1,29.09,-13.8,6.26,33.15,322.7
trend_chase,1w,60,h78_tr20_TP40_SLx_cutY,78,0.2,0.4,,True,52,51.9,15.2,-53.3,1.93,4.02,31,77.4,31.9,-13.8,4.99,21.41,258.5
trend_chase,1w,60,h78_tr25_TP40_SLx_cutY,78,0.25,0.4,,True,52,48.1,15.42,-58.4,1.9,3.74,31,80.6,33.58,-13.8,5.44,25.44,286.3
trend_chase,1w,60,h78_tr20_TP25_SLx_cutY,78,0.2,0.25,,True,52,53.8,10.71,-53.3,1.87,3.15,31,77.4,20.39,-13.8,4.66,14.04,249.2
trend_chase,1w,60,h78_tr20_TP40_SL20_cutN,78,0.2,0.4,-0.2,False,52,55.8,14.88,-75.3,1.82,3.22,31,83.9,35.64,-13.8,6.0,33.57,329.7
