strategy,interval,threshold,rule,max_hold,trailing_pct,take_profit_pct,hard_sl,cut_3bar_neg,IS_n,IS_win%,IS_mean%,IS_MDD%,IS_Sharpe,IS_PF,OOS_n,OOS_win%,OOS_mean%,OOS_MDD%,OOS_Sharpe,OOS_PF,robust%
trend_pullback,1d,60,h252_tr25_TP40_SLx_cutN,252,0.25,0.4,,False,10556,49.7,10.53,-100.0,17.46,2.18,7647,58.3,15.76,,30.93,3.65,177.1
trend_pullback,1d,60,h252_tr25_TP40_SL20_cutN,252,0.25,0.4,-0.2,False,10556,47.4,10.02,-100.0,17.19,2.16,7647,55.0,13.77,,26.84,3.06,156.1
trend_pullback,1d,60,h365_tr25_TP40_SLx_cutN,365,0.25,0.4,,False,10556,47.9,10.4,-100.0,16.89,2.12,7647,58.5,16.03,,31.46,3.72,186.3
trend_pullback,1d,60,h180_tr25_TP40_SLx_cutN,180,0.25,0.4,,False,10556,50.8,9.75,-100.0,16.88,2.16,7647,58.5,15.09,,29.75,3.5,176.2
trend_pullback,1d,60,h365_tr25_TP40_SL20_cutN,365,0.25,0.4,-0.2,False,10556,45.7,9.91,-100.0,16.77,2.11,7647,55.0,13.82,,26.9,3.06,160.4
trend_pullback,1d,60,h180_tr25_TP40_SL20_cutN,180,0.25,0.4,-0.2,False,10556,48.9,9.35,-100.0,16.61,2.13,7647,55.4,13.42,-100.0,26.4,3.02,158.9
trend_pullback,1d,60,h252_tr25_TP30_SLx_cutN,252,0.25,0.3,,False,10556,53.3,8.69,-100.0,16.35,1.99,7647,62.4,13.71,,30.57,3.36,187.0
trend_pullback,1d,60,h252_tr25_TP30_SL20_cutN,252,0.25,0.3,-0.2,False,10556,50.8,8.21,-100.0,16.11,1.96,7647,58.8,11.86,-100.0,26.12,2.81,162.1
trend_pullback,1d,60,h120_tr25_TP40_SLx_cutN,120,0.25,0.4,,False,10556,52.4,8.55,-100.0,16.05,2.13,7647,58.0,13.26,,26.97,3.22,168.0
trend_pullback,1d,60,h180_tr25_TP30_SLx_cutN,180,0.25,0.3,,False,10556,53.8,8.19,-100.0,16.01,1.98,7647,62.3,13.24,,29.49,3.24,184.2
trend_pullback,1d,60,h252_tr25_TP40_SLx_cutY,252,0.25,0.4,,True,10556,44.6,9.09,-100.0,15.91,2.09,7647,50.9,13.01,-100.0,26.21,3.15,164.7
trend_pullback,1d,60,h365_tr25_TP30_SLx_cutN,365,0.25,0.3,,False,10556,52.0,8.56,-100.0,15.8,1.93,7647,62.6,13.91,,31.09,3.42,196.8
trend_pullback,1d,60,h252_tr25_TP40_SL20_cutY,252,0.25,0.4,-0.2,True,10556,43.1,8.79,-100.0,15.74,2.07,7647,49.3,12.1,-100.0,24.4,2.9,155.0
trend_pullback,1d,60,h180_tr25_TP30_SL20_cutN,180,0.25,0.3,-0.2,False,10556,51.8,7.8,-100.0,15.72,1.95,7647,59.0,11.68,-100.0,25.85,2.79,164.4
trend_pullback,1d,60,h365_tr25_TP30_SL20_cutN,365,0.25,0.3,-0.2,False,10556,49.6,8.09,-100.0,15.71,1.92,7647,58.8,11.88,-100.0,26.14,2.81,166.4
trend_pullback,1d,60,h252_tr20_TP40_SLx_cutN,252,0.2,0.4,,False,10556,46.6,8.65,-100.0,15.68,2.12,7647,52.9,11.83,-100.0,24.52,3.03,156.4
trend_pullback,1d,60,h120_tr25_TP30_SLx_cutN,120,0.25,0.3,,False,10556,54.5,7.52,-100.0,15.67,2.0,7647,61.1,11.83,-100.0,26.84,3.01,171.3
trend_pullback,1d,60,h120_tr25_TP40_SL20_cutN,120,0.25,0.4,-0.2,False,10556,50.8,8.15,-100.0,15.56,2.07,7647,55.5,12.07,-100.0,24.53,2.87,157.6
trend_pullback,1d,60,h365_tr20_TP40_SLx_cutN,365,0.2,0.4,,False,10556,45.9,8.61,-100.0,15.4,2.09,7647,52.9,11.96,-100.0,24.81,3.07,161.1
trend_pullback,1d,60,h365_tr25_TP40_SLx_cutY,365,0.25,0.4,,True,10556,42.9,8.96,-100.0,15.38,2.03,7647,51.0,13.18,-100.0,26.52,3.18,172.4
trend_pullback,1d,60,h365_tr25_TP40_SL20_cutY,365,0.25,0.4,-0.2,True,10556,41.5,8.68,-100.0,15.34,2.03,7647,49.3,12.15,-100.0,24.46,2.9,159.5
trend_pullback,1d,60,h180_tr25_TP40_SLx_cutY,180,0.25,0.4,,True,10556,45.7,8.42,-100.0,15.34,2.06,7647,51.2,12.58,-100.0,25.55,3.08,166.6
trend_pullback,1d,60,h252_tr25_TP25_SLx_cutN,252,0.25,0.25,,False,10556,56.9,7.48,-100.0,15.27,1.87,7647,66.1,12.48,,30.1,3.25,197.1
trend_pullback,1d,60,h180_tr25_TP25_SLx_cutN,180,0.25,0.25,,False,10556,56.8,7.18,-100.0,15.16,1.88,7647,65.7,12.09,-100.0,29.03,3.14,191.5
trend_pullback,1d,60,h252_tr25_TP25_SL20_cutN,252,0.25,0.25,-0.2,False,10556,54.2,7.0,-100.0,14.99,1.84,7647,62.4,10.7,-100.0,25.42,2.7,169.6
trend_pullback,1d,60,h120_tr25_TP25_SLx_cutN,120,0.25,0.25,,False,10556,56.7,6.69,-100.0,14.98,1.9,7647,64.1,10.94,-100.0,26.58,2.93,177.4
