rule_name,max_hold,trail,tp,sl,cut3d,IS_n,IS_win%,IS_mean%,IS_Sharpe,IS_PF,OOS_n,OOS_win%,OOS_mean%,OOS_Sharpe,OOS_PF
hold252_tr20_tp20_sl0_cut30,252,0.2,0.2,0.0,False,2152,57.2,5.74,0.51,1.79,1376,60.2,7.65,0.82,2.23
hold365_tr20_tp20_sl0_cut30,365,0.2,0.2,0.0,False,2100,57.3,5.93,0.51,1.82,1366,60.0,7.64,0.81,2.23
hold180_tr20_tp20_sl0_cut30,180,0.2,0.2,0.0,False,2211,56.9,5.24,0.49,1.71,1396,60.0,7.42,0.81,2.18
hold252_tr20_tp40_sl0_cut30,252,0.2,0.4,0.0,False,1673,47.8,8.54,0.49,2.09,1076,52.5,11.47,0.79,2.75
hold252_tr20_tp30_sl0_cut30,252,0.2,0.3,0.0,False,1856,48.7,7.14,0.49,1.91,1195,52.3,9.32,0.77,2.41
hold120_tr20_tp20_sl0_cut30,120,0.2,0.2,0.0,False,2297,56.0,4.72,0.48,1.65,1432,60.1,7.24,0.83,2.18
hold252_tr20_tp25_sl0_cut30,252,0.2,0.25,0.0,False,1981,51.2,6.22,0.48,1.81,1270,55.1,8.7,0.81,2.37
hold365_tr20_tp25_sl0_cut30,365,0.2,0.25,0.0,False,1935,50.9,6.5,0.48,1.85,1260,54.8,8.73,0.81,2.37
hold365_tr20_tp30_sl0_cut30,365,0.2,0.3,0.0,False,1810,48.3,7.43,0.48,1.95,1186,52.2,9.34,0.77,2.41
hold252_tr20_tp20_sl20_cut30,252,0.2,0.2,0.2,False,2414,53.4,4.55,0.47,1.59,1507,57.8,6.28,0.76,1.92
hold365_tr20_tp40_sl0_cut30,365,0.2,0.4,0.0,False,1631,47.3,8.74,0.47,2.12,1066,52.3,11.39,0.77,2.72
hold180_tr20_tp30_sl0_cut30,180,0.2,0.3,0.0,False,1903,49.2,6.4,0.47,1.82,1210,52.6,9.17,0.78,2.38
hold252_tr20_tp20_sl15_cut30,252,0.2,0.2,0.15,False,2560,50.5,4.07,0.46,1.54,1593,54.8,5.72,0.75,1.85
hold180_tr20_tp20_sl0_cut31,180,0.2,0.2,0.0,True,5289,21.7,1.55,0.46,1.46,3217,23.9,2.11,0.67,1.64
hold252_tr20_tp20_sl15_cut31,252,0.2,0.2,0.15,True,5325,21.4,1.56,0.46,1.46,3245,23.5,1.99,0.67,1.6
hold180_tr20_tp20_sl20_cut31,180,0.2,0.2,0.2,True,5289,21.7,1.55,0.46,1.46,3217,23.9,2.03,0.67,1.61
hold252_tr20_tp20_sl20_cut31,252,0.2,0.2,0.2,True,5288,21.6,1.59,0.46,1.47,3216,23.9,2.04,0.67,1.62
hold365_tr20_tp20_sl15_cut31,365,0.2,0.2,0.15,True,5325,21.3,1.56,0.46,1.46,3245,23.5,1.99,0.67,1.6
hold180_tr20_tp30_sl15_cut31,180,0.2,0.3,0.15,True,4663,18.5,2.03,0.46,1.58,2760,20.5,2.71,0.66,1.79
hold252_tr20_tp30_sl15_cut31,252,0.2,0.3,0.15,True,4651,18.2,2.13,0.46,1.6,2758,20.3,2.72,0.66,1.79
hold180_tr20_tp20_sl15_cut30,180,0.2,0.2,0.15,False,2562,50.7,3.95,0.46,1.53,1595,54.9,5.67,0.75,1.84
hold252_tr20_tp20_sl0_cut31,252,0.2,0.2,0.0,True,5288,21.6,1.59,0.46,1.47,3216,23.9,2.12,0.67,1.64
hold180_tr20_tp20_sl15_cut31,180,0.2,0.2,0.15,True,5326,21.5,1.53,0.46,1.46,3246,23.6,1.98,0.67,1.6
hold120_tr20_tp25_sl0_cut30,120,0.2,0.25,0.0,False,2119,51.6,5.07,0.46,1.67,1324,55.8,8.2,0.83,2.3
hold365_tr20_tp20_sl20_cut30,365,0.2,0.2,0.2,False,2414,53.1,4.51,0.46,1.58,1507,57.7,6.27,0.76,1.92
hold252_tr20_tp25_sl20_cut30,252,0.2,0.25,0.2,False,2222,47.9,5.18,0.46,1.65,1383,52.8,7.32,0.76,2.05
hold180_tr20_tp20_sl20_cut30,180,0.2,0.2,0.2,False,2420,53.6,4.36,0.46,1.57,1509,57.8,6.2,0.76,1.91
hold252_tr20_tp50_sl0_cut30,252,0.2,0.5,0.0,False,1583,47.4,9.08,0.46,2.14,1006,51.9,12.55,0.75,2.9
hold120_tr20_tp30_sl0_cut30,120,0.2,0.3,0.0,False,2008,49.4,5.58,0.46,1.73,1247,54.0,8.91,0.8,2.36
hold180_tr20_tp25_sl0_cut30,180,0.2,0.25,0.0,False,2034,51.5,5.63,0.46,1.72,1289,55.2,8.55,0.81,2.34
hold252_tr20_tp40_sl10_cut31,252,0.2,0.4,0.1,True,4368,16.8,2.34,0.45,1.67,2648,18.8,3.31,0.7,1.99
hold252_tr20_tp40_sl15_cut31,252,0.2,0.4,0.15,True,4180,17.9,2.56,0.45,1.7,2535,19.9,3.56,0.69,2.03
hold252_tr20_tp40_sl0_cut31,252,0.2,0.4,0.0,True,4150,18.1,2.61,0.45,1.71,2521,20.2,3.68,0.69,2.07
hold365_tr20_tp30_sl20_cut31,365,0.2,0.3,0.2,True,4636,18.0,2.14,0.45,1.6,2737,20.6,2.76,0.65,1.79
hold120_tr20_tp20_sl0_cut31,120,0.2,0.2,0.0,True,5329,22.0,1.43,0.45,1.43,3227,24.1,2.1,0.68,1.64
hold365_tr20_tp30_sl0_cut31,365,0.2,0.3,0.0,True,4636,18.0,2.14,0.45,1.6,2737,20.6,2.85,0.65,1.82
hold120_tr20_tp20_sl20_cut31,120,0.2,0.2,0.2,True,5329,22.0,1.43,0.45,1.43,3227,24.1,2.03,0.69,1.62
hold252_tr20_tp30_sl20_cut31,252,0.2,0.3,0.2,True,4631,18.3,2.13,0.45,1.6,2733,20.6,2.77,0.65,1.79
hold252_tr20_tp40_sl20_cut31,252,0.2,0.4,0.2,True,4150,18.1,2.61,0.45,1.71,2521,20.1,3.59,0.69,2.03
hold252_tr20_tp30_sl0_cut31,252,0.2,0.3,0.0,True,4631,18.3,2.13,0.45,1.6,2733,20.7,2.86,0.65,1.82
hold252_tr20_tp25_sl15_cut31,252,0.2,0.25,0.15,True,4923,19.1,1.81,0.45,1.52,2962,21.6,2.4,0.67,1.71
hold365_tr20_tp30_sl15_cut31,365,0.2,0.3,0.15,True,4656,17.9,2.14,0.45,1.6,2758,20.3,2.72,0.66,1.79
hold365_tr20_tp20_sl0_cut31,365,0.2,0.2,0.0,True,5288,21.5,1.58,0.45,1.46,3218,23.9,2.11,0.67,1.64
hold365_tr20_tp20_sl20_cut31,365,0.2,0.2,0.2,True,5288,21.5,1.58,0.45,1.46,3218,23.8,2.04,0.67,1.61
hold180_tr20_tp30_sl0_cut31,180,0.2,0.3,0.0,True,4643,18.7,2.03,0.45,1.58,2735,20.8,2.85,0.66,1.82
hold180_tr20_tp30_sl20_cut31,180,0.2,0.3,0.2,True,4643,18.7,2.03,0.45,1.58,2735,20.8,2.76,0.66,1.79
hold120_tr20_tp20_sl15_cut31,120,0.2,0.2,0.15,True,5363,21.8,1.42,0.45,1.43,3253,23.8,1.98,0.69,1.61
hold180_tr20_tp30_sl20_cut30,180,0.2,0.3,0.2,False,2095,46.4,5.41,0.45,1.67,1297,51.0,8.03,0.75,2.13
hold365_tr20_tp50_sl0_cut30,365,0.2,0.5,0.0,False,1540,47.1,9.59,0.45,2.2,995,51.5,12.55,0.74,2.89
hold252_tr20_tp30_sl15_cut30,252,0.2,0.3,0.15,False,2205,42.7,5.24,0.45,1.66,1365,47.6,7.32,0.73,2.03
hold365_tr20_tp25_sl20_cut30,365,0.2,0.25,0.2,False,2221,47.3,5.2,0.45,1.64,1383,52.6,7.3,0.76,2.04
hold180_tr20_tp40_sl0_cut30,180,0.2,0.4,0.0,False,1734,47.6,7.21,0.45,1.91,1093,52.9,11.19,0.78,2.68
hold120_tr20_tp20_sl20_cut30,120,0.2,0.2,0.2,False,2439,53.4,3.98,0.45,1.53,1516,58.0,6.09,0.77,1.92
hold252_tr20_tp40_sl20_cut30,252,0.2,0.4,0.2,False,1879,44.2,6.85,0.45,1.83,1158,49.8,9.77,0.74,2.36
hold180_tr20_tp25_sl20_cut30,180,0.2,0.25,0.2,False,2227,48.6,4.91,0.45,1.62,1387,53.1,7.27,0.77,2.04
hold252_tr20_tp30_sl20_cut30,252,0.2,0.3,0.2,False,2085,45.4,5.8,0.45,1.71,1293,50.5,8.1,0.75,2.14
hold365_tr20_tp20_sl15_cut30,365,0.2,0.2,0.15,False,2560,50.2,4.04,0.45,1.53,1593,54.8,5.72,0.75,1.85
hold365_tr20_tp40_sl10_cut31,365,0.2,0.4,0.1,True,4365,16.6,2.35,0.44,1.67,2644,18.8,3.3,0.7,1.99
hold180_tr20_tp25_sl20_cut31,180,0.2,0.25,0.2,True,4901,19.5,1.74,0.44,1.5,2943,22.0,2.43,0.67,1.71
hold252_tr20_tp25_sl0_cut31,252,0.2,0.25,0.0,True,4892,19.3,1.81,0.44,1.51,2941,21.9,2.52,0.67,1.74
hold180_tr20_tp50_sl0_cut30,180,0.2,0.5,0.0,False,1648,47.3,7.75,0.44,1.96,1027,51.9,12.24,0.75,2.82
hold180_tr20_tp25_sl15_cut30,180,0.2,0.25,0.15,False,2360,45.7,4.41,0.44,1.57,1466,50.3,6.62,0.75,1.95
hold180_tr20_tp25_sl0_cut31,180,0.2,0.25,0.0,True,4901,19.5,1.74,0.44,1.5,2943,22.0,2.51,0.67,1.74
hold120_tr20_tp20_sl15_cut30,120,0.2,0.2,0.15,False,2577,50.8,3.62,0.44,1.49,1601,55.3,5.59,0.76,1.84
hold365_tr20_tp30_sl20_cut30,365,0.2,0.3,0.2,False,2085,44.5,5.77,0.44,1.7,1293,50.4,8.09,0.75,2.13
hold365_tr20_tp25_sl15_cut30,365,0.2,0.25,0.15,False,2358,44.4,4.6,0.44,1.58,1463,50.0,6.63,0.75,1.95
hold180_tr20_tp30_sl15_cut30,180,0.2,0.3,0.15,False,2214,43.6,4.95,0.44,1.63,1368,48.1,7.26,0.73,2.03
hold252_tr20_tp25_sl15_cut30,252,0.2,0.25,0.15,False,2359,45.0,4.58,0.44,1.58,1463,50.0,6.64,0.75,1.95
hold180_tr20_tp40_sl15_cut31,180,0.2,0.4,0.15,True,4202,18.1,2.39,0.44,1.66,2540,20.1,3.53,0.7,2.03
hold180_tr20_tp40_sl20_cut31,180,0.2,0.4,0.2,True,4173,18.4,2.43,0.44,1.67,2521,20.4,3.57,0.69,2.04
hold120_tr20_tp40_sl0_cut30,120,0.2,0.4,0.0,False,1838,48.7,6.13,0.44,1.79,1134,54.0,10.59,0.8,2.62
hold252_tr20_tp30_sl10_cut31,252,0.2,0.3,0.1,True,4893,16.7,1.8,0.44,1.53,2871,19.3,2.56,0.67,1.76
hold252_tr20_tp50_sl20_cut30,252,0.2,0.5,0.2,False,1772,44.0,7.61,0.44,1.91,1082,49.2,10.85,0.71,2.5
hold180_tr20_tp40_sl10_cut31,180,0.2,0.4,0.1,True,4392,17.0,2.18,0.44,1.63,2651,19.0,3.29,0.71,1.99
hold252_tr20_tp50_sl15_cut31,252,0.2,0.5,0.15,True,3947,17.7,2.88,0.44,1.8,2335,20.1,3.97,0.66,2.15
hold365_tr20_tp25_sl15_cut31,365,0.2,0.25,0.15,True,4921,19.0,1.81,0.44,1.52,2962,21.6,2.4,0.67,1.71
hold252_tr20_tp25_sl20_cut31,252,0.2,0.25,0.2,True,4892,19.3,1.81,0.44,1.51,2941,21.8,2.44,0.67,1.71
hold180_tr20_tp25_sl15_cut31,180,0.2,0.25,0.15,True,4932,19.3,1.73,0.44,1.5,2964,21.7,2.4,0.68,1.71
hold120_tr20_tp25_sl20_cut30,120,0.2,0.25,0.2,False,2254,49.4,4.48,0.44,1.58,1397,53.8,7.06,0.77,2.03
hold180_tr20_tp40_sl0_cut31,180,0.2,0.4,0.0,True,4173,18.4,2.43,0.44,1.67,2521,20.4,3.67,0.69,2.07
hold252_tr20_tp50_sl10_cut31,252,0.2,0.5,0.1,True,4146,16.5,2.59,0.43,1.75,2447,19.1,3.69,0.67,2.11
hold120_tr20_tp30_sl15_cut31,120,0.2,0.3,0.15,True,4747,18.9,1.75,0.43,1.51,2797,21.2,2.71,0.69,1.8
hold120_tr20_tp30_sl0_cut31,120,0.2,0.3,0.0,True,4730,19.0,1.74,0.43,1.5,2779,21.4,2.84,0.69,1.84
