rule_name,max_hold,trail,tp,sl,cut3d,IS_n,IS_win%,IS_mean%,IS_Sharpe,IS_PF,OOS_n,OOS_win%,OOS_mean%,OOS_Sharpe,OOS_PF
hold39_tr20_tp20_sl20_cut30,39,0.2,0.2,0.2,False,1569,60.1,7.06,0.59,2.03,944,57.9,6.57,0.6,1.94
hold26_tr20_tp20_sl0_cut30,26,0.2,0.2,0.0,False,1569,62.5,6.79,0.58,2.08,951,60.3,7.39,0.69,2.23
hold39_tr20_tp25_sl20_cut30,39,0.2,0.25,0.2,False,1446,55.9,8.12,0.58,2.16,884,55.0,7.73,0.61,2.08
hold39_tr20_tp20_sl0_cut30,39,0.2,0.2,0.0,False,1507,62.7,7.77,0.58,2.17,912,60.4,7.99,0.67,2.26
hold52_tr20_tp20_sl20_cut30,52,0.2,0.2,0.2,False,1553,60.2,7.25,0.58,2.03,935,57.2,6.41,0.57,1.88
hold39_tr20_tp30_sl20_cut30,39,0.2,0.3,0.2,False,1376,54.5,9.19,0.58,2.29,846,53.5,9.0,0.64,2.26
hold26_tr20_tp20_sl20_cut30,26,0.2,0.2,0.2,False,1611,61.1,6.37,0.58,1.98,974,58.0,6.01,0.59,1.88
hold52_tr20_tp20_sl0_cut30,52,0.2,0.2,0.0,False,1477,63.4,8.17,0.57,2.21,894,60.2,8.05,0.65,2.23
hold39_tr20_tp30_sl0_cut30,39,0.2,0.3,0.0,False,1321,57.3,9.99,0.57,2.45,819,55.2,10.08,0.67,2.51
hold52_tr20_tp25_sl20_cut30,52,0.2,0.25,0.2,False,1420,55.7,8.47,0.57,2.18,872,53.8,7.64,0.58,2.03
hold39_tr20_tp40_sl20_cut30,39,0.2,0.4,0.2,False,1285,53.0,10.27,0.56,2.4,796,52.5,10.71,0.64,2.48
hold26_tr20_tp25_sl0_cut30,26,0.2,0.25,0.0,False,1474,59.7,7.35,0.56,2.14,907,58.0,8.34,0.69,2.38
hold52_tr20_tp30_sl20_cut30,52,0.2,0.3,0.2,False,1349,53.4,9.45,0.56,2.29,835,51.6,8.89,0.6,2.18
hold26_tr20_tp25_sl20_cut30,26,0.2,0.25,0.2,False,1517,58.2,6.98,0.56,2.05,926,56.0,7.05,0.61,2.03
hold78_tr20_tp25_sl20_cut30,78,0.2,0.25,0.2,False,1410,54.3,8.56,0.56,2.16,871,53.6,7.7,0.58,2.03
hold39_tr20_tp20_sl15_cut30,39,0.2,0.2,0.15,False,1651,56.6,6.28,0.56,1.9,990,55.3,6.07,0.6,1.88
hold52_tr20_tp20_sl15_cut30,52,0.2,0.2,0.15,False,1642,56.8,6.45,0.56,1.91,982,54.6,5.93,0.57,1.83
hold52_tr20_tp30_sl0_cut30,52,0.2,0.3,0.0,False,1285,56.8,10.56,0.56,2.49,800,53.6,10.2,0.64,2.47
hold26_tr20_tp20_sl15_cut30,26,0.2,0.2,0.15,False,1687,58.3,5.75,0.56,1.87,1012,55.1,5.67,0.6,1.85
hold52_tr20_tp25_sl0_cut30,52,0.2,0.25,0.0,False,1353,58.5,9.29,0.56,2.32,836,56.7,9.36,0.66,2.4
hold78_tr20_tp20_sl0_cut30,78,0.2,0.2,0.0,False,1435,63.7,8.55,0.56,2.24,881,60.5,8.38,0.67,2.31
hold26_tr20_tp30_sl0_cut30,26,0.2,0.3,0.0,False,1421,58.5,8.12,0.56,2.26,879,57.0,9.3,0.7,2.51
hold78_tr20_tp20_sl20_cut30,78,0.2,0.2,0.2,False,1550,59.8,7.28,0.56,2.01,934,57.0,6.39,0.56,1.87
hold39_tr20_tp30_sl15_cut30,39,0.2,0.3,0.15,False,1447,51.1,8.1,0.55,2.12,888,50.8,8.21,0.63,2.16
hold39_tr20_tp25_sl15_cut30,39,0.2,0.25,0.15,False,1521,52.7,7.25,0.55,2.01,924,52.4,7.13,0.61,2.02
hold78_tr20_tp30_sl20_cut30,78,0.2,0.3,0.2,False,1332,51.8,9.65,0.55,2.28,833,51.3,8.96,0.6,2.18
hold52_tr20_tp25_sl15_cut30,52,0.2,0.25,0.15,False,1502,52.6,7.53,0.55,2.03,913,51.2,7.03,0.58,1.97
hold26_tr20_tp25_sl15_cut30,26,0.2,0.25,0.15,False,1585,55.6,6.35,0.55,1.94,959,53.4,6.59,0.61,1.98
hold52_tr20_tp40_sl20_cut30,52,0.2,0.4,0.2,False,1243,51.6,10.97,0.55,2.46,781,49.9,10.44,0.59,2.37
hold39_tr20_tp40_sl0_cut30,39,0.2,0.4,0.0,False,1237,55.5,11.01,0.55,2.53,771,54.6,12.2,0.68,2.84
hold26_tr20_tp30_sl20_cut30,26,0.2,0.3,0.2,False,1460,56.6,7.56,0.55,2.12,899,55.3,8.15,0.64,2.18
hold52_tr20_tp40_sl0_cut30,52,0.2,0.4,0.0,False,1187,55.0,12.17,0.55,2.68,750,52.3,12.17,0.64,2.74
hold39_tr20_tp25_sl0_cut30,39,0.2,0.25,0.0,False,1390,58.0,8.6,0.55,2.24,857,57.4,9.23,0.68,2.43
hold39_tr20_tp50_sl20_cut30,39,0.2,0.5,0.2,False,1224,52.6,11.2,0.54,2.55,754,52.1,11.72,0.62,2.61
hold78_tr20_tp25_sl0_cut30,78,0.2,0.25,0.0,False,1309,57.4,9.65,0.54,2.35,825,57.1,9.85,0.68,2.51
hold52_tr20_tp20_sl10_cut30,52,0.2,0.2,0.1,False,1830,49.2,5.13,0.54,1.78,1083,48.8,4.99,0.57,1.75
hold78_tr20_tp40_sl20_cut30,78,0.2,0.4,0.2,False,1221,50.4,11.39,0.54,2.48,777,49.4,10.47,0.58,2.36
hold26_tr20_tp40_sl0_cut30,26,0.2,0.4,0.0,False,1364,56.7,8.87,0.54,2.34,846,56.0,10.43,0.68,2.66
hold52_tr20_tp30_sl15_cut30,52,0.2,0.3,0.15,False,1427,50.4,8.37,0.54,2.13,877,48.8,8.1,0.6,2.09
hold39_tr20_tp40_sl15_cut30,39,0.2,0.4,0.15,False,1348,49.9,9.31,0.54,2.25,837,49.7,9.79,0.63,2.36
hold78_tr20_tp20_sl15_cut30,78,0.2,0.2,0.15,False,1640,56.3,6.45,0.54,1.89,981,54.4,5.93,0.57,1.83
hold39_tr20_tp20_sl10_cut30,39,0.2,0.2,0.1,False,1836,49.0,4.96,0.54,1.75,1085,49.2,5.07,0.59,1.77
hold26_tr20_tp40_sl20_cut30,26,0.2,0.4,0.2,False,1398,54.9,8.33,0.54,2.21,864,54.3,9.24,0.63,2.32
hold78_tr20_tp30_sl0_cut30,78,0.2,0.3,0.0,False,1238,55.3,10.94,0.54,2.51,786,53.7,10.77,0.67,2.61
hold26_tr20_tp30_sl15_cut30,26,0.2,0.3,0.15,False,1523,54.3,6.92,0.54,2.01,931,52.3,7.52,0.63,2.1
hold78_tr20_tp30_sl15_cut30,78,0.2,0.3,0.15,False,1413,48.8,8.53,0.53,2.12,875,48.6,8.17,0.59,2.1
hold78_tr20_tp25_sl15_cut30,78,0.2,0.25,0.15,False,1494,51.2,7.58,0.53,2.01,912,51.1,7.1,0.58,1.98
hold52_tr20_tp25_sl10_cut30,52,0.2,0.25,0.1,False,1675,45.8,6.09,0.53,1.89,1009,45.7,5.87,0.57,1.86
hold26_tr20_tp20_sl10_cut30,26,0.2,0.2,0.1,False,1857,50.6,4.55,0.53,1.71,1094,49.4,4.87,0.59,1.76
hold78_tr20_tp40_sl0_cut30,78,0.2,0.4,0.0,False,1139,53.9,12.78,0.53,2.73,735,52.1,12.55,0.65,2.84
hold78_tr20_tp20_sl10_cut30,78,0.2,0.2,0.1,False,1829,48.7,5.09,0.53,1.76,1082,48.6,5.0,0.57,1.74
hold52_tr20_tp40_sl15_cut30,52,0.2,0.4,0.15,False,1311,48.4,9.86,0.53,2.3,821,47.3,9.6,0.58,2.28
hold39_tr20_tp25_sl10_cut30,39,0.2,0.25,0.1,False,1691,45.7,5.77,0.53,1.85,1012,46.4,5.92,0.59,1.88
hold39_tr20_tp30_sl10_cut30,39,0.2,0.3,0.1,False,1612,44.2,6.47,0.52,1.93,970,44.8,6.88,0.61,2.02
hold78_tr20_tp25_sl10_cut30,78,0.2,0.25,0.1,False,1669,44.6,6.1,0.52,1.88,1008,45.5,5.91,0.57,1.86
hold39_tr20_tp50_sl15_cut30,39,0.2,0.5,0.15,False,1282,49.5,10.08,0.52,2.36,792,49.2,10.86,0.61,2.51
hold78_tr20_tp40_sl15_cut30,78,0.2,0.4,0.15,False,1290,47.4,10.31,0.52,2.33,817,46.9,9.62,0.57,2.27
hold52_tr20_tp50_sl0_cut30,52,0.2,0.5,0.0,False,1123,54.3,13.04,0.52,2.8,708,51.7,13.31,0.62,2.88
hold26_tr20_tp40_sl15_cut30,26,0.2,0.4,0.15,False,1450,52.8,7.69,0.52,2.11,894,51.5,8.63,0.62,2.25
hold39_tr20_tp40_sl10_cut30,39,0.2,0.4,0.1,False,1495,43.1,7.64,0.52,2.08,913,44.0,8.33,0.61,2.22
hold52_tr20_tp50_sl20_cut30,52,0.2,0.5,0.2,False,1172,51.2,11.88,0.52,2.59,739,49.4,11.47,0.57,2.49
hold26_tr20_tp50_sl20_cut30,26,0.2,0.5,0.2,False,1360,54.7,8.85,0.52,2.3,836,53.8,9.92,0.61,2.4
hold39_tr20_tp50_sl0_cut30,39,0.2,0.5,0.0,False,1184,54.9,11.77,0.52,2.65,728,54.3,13.21,0.66,2.98
hold26_tr20_tp50_sl0_cut30,26,0.2,0.5,0.0,False,1331,56.3,9.24,0.52,2.39,818,55.5,11.18,0.66,2.78
hold52_tr20_tp40_sl10_cut30,52,0.2,0.4,0.1,False,1463,42.0,8.11,0.51,2.14,903,42.3,8.23,0.58,2.17
