tier,interval,strategy,score_th,rule,IS_n,IS_win%,IS_mean%,IS_Sharpe,IS_PF,IS_MDD%,OOS_n,OOS_win%,OOS_mean%,OOS_Sharpe,OOS_PF,OOS_MDD%
follower,1d,trend_chase,60,hold_60d_trail20_TP30,115,68.7,17.52,4.31,4.41,-64.3,22,13.6,-18.53,-4.19,0.08,-99.2
follower,1d,trend_chase,70,hold_60d_trail20_TP30,82,72.0,19.39,4.23,5.58,-50.3,17,11.8,-19.69,-3.67,0.09,-98.2
follower,1d,trend_chase,80,hold_60d_trail20_TP30,56,67.9,18.27,3.09,4.98,-52.1,12,16.7,-13.23,-2.38,0.18,-81.7
follower,1d,trend_chase,90,hold_60d_trail20_TP30,25,64.0,13.68,1.65,3.61,-44.9,7,14.3,-8.95,-1.22,0.33,-42.7
follower,1d,trend_pullback,60,hold_60d_trail20_TP30,3410,41.6,3.3,3.79,1.3,-100.0,1969,17.8,-11.71,-21.14,0.25,-100.0
follower,1d,trend_pullback,70,hold_60d_trail20_TP30,3200,44.4,4.82,5.36,1.46,-100.0,1664,18.3,-11.72,-19.88,0.23,-100.0
follower,1d,trend_pullback,80,hold_60d_trail20_TP30,2392,44.8,5.11,5.01,1.51,-100.0,1128,20.8,-10.52,-14.99,0.27,-100.0
follower,1d,trend_pullback,90,hold_60d_trail20_TP30,1230,47.3,6.82,4.82,1.74,-100.0,624,20.4,-11.57,-11.84,0.25,-100.0
junk,1d,trend_chase,60,hold_60d_trail20_TP30,0,0.0,0.0,0.0,0.0,0.0,70,42.9,1.33,0.53,1.22,-78.6
junk,1d,trend_chase,70,hold_60d_trail20_TP30,0,0.0,0.0,0.0,0.0,0.0,43,41.9,2.48,0.67,1.35,-76.4
junk,1d,trend_chase,80,hold_60d_trail20_TP30,0,0.0,0.0,0.0,0.0,0.0,25,36.0,0.48,0.09,1.05,-82.8
junk,1d,trend_chase,90,hold_60d_trail20_TP30,0,0.0,0.0,0.0,0.0,0.0,11,27.3,-1.7,-0.26,0.8,-53.4
junk,1d,trend_pullback,60,hold_60d_trail20_TP30,148,52.0,16.23,2.86,2.65,-99.9,2146,39.7,1.98,2.31,1.17,-100.0
junk,1d,trend_pullback,70,hold_60d_trail20_TP30,122,54.9,18.1,2.96,3.0,-99.8,1807,40.0,1.12,1.24,1.1,-100.0
junk,1d,trend_pullback,80,hold_60d_trail20_TP30,70,52.9,15.24,1.94,2.53,-97.7,1309,41.3,2.14,2.01,1.19,-100.0
