strategy,tier,params,rule,IS_n,IS_Sharpe,IS_mean%,OOS_n,OOS_Sharpe,OOS_mean%,OOS_PF,OOS_MDD%
pump_continuation,whale,"{'cool_max': 5, 'exit_ema': 20, 'impulse_bars': 5, 'impulse_pct': 0.2, 'max_hold': 30, 'retrace_max': 0.5, 'trigger_n': 3, 'vol_mul': 1.5, 'vol_n': 20}",hold_60d_trail20_TP30,63,0.72,5.01,91,-1.97,-7.36,0.55,-100.0
pump_continuation,junk,"{'cool_max': 5, 'exit_ema': 20, 'impulse_bars': 5, 'impulse_pct': 0.2, 'max_hold': 30, 'retrace_max': 0.5, 'trigger_n': 3, 'vol_mul': 1.5, 'vol_n': 20}",hold_60d_trail20_TP30,21,-0.86,-9.85,342,0.59,1.6,1.1,-100.0
pump_continuation,trend,"{'cool_max': 5, 'exit_ema': 20, 'impulse_bars': 5, 'impulse_pct': 0.2, 'max_hold': 30, 'retrace_max': 0.5, 'trigger_n': 3, 'vol_mul': 1.5, 'vol_n': 20}",hold_60d_trail20_TP30,340,1.83,5.27,249,-3.7,-8.65,0.51,-100.0
pump_continuation,whale,"{'cool_max': 7, 'exit_ema': 20, 'impulse_bars': 7, 'impulse_pct': 0.3, 'max_hold': 30, 'retrace_max': 0.4, 'trigger_n': 4, 'vol_mul': 2.0, 'vol_n': 20}",hold_60d_trail20_TP30,28,-0.21,-2.72,44,-1.21,-6.3,0.59,-99.8
pump_continuation,junk,"{'cool_max': 7, 'exit_ema': 20, 'impulse_bars': 7, 'impulse_pct': 0.3, 'max_hold': 30, 'retrace_max': 0.4, 'trigger_n': 4, 'vol_mul': 2.0, 'vol_n': 20}",hold_60d_trail20_TP30,10,-0.55,-9.88,194,0.48,1.82,1.11,-100.0
pump_continuation,trend,"{'cool_max': 7, 'exit_ema': 20, 'impulse_bars': 7, 'impulse_pct': 0.3, 'max_hold': 30, 'retrace_max': 0.4, 'trigger_n': 4, 'vol_mul': 2.0, 'vol_n': 20}",hold_60d_trail20_TP30,174,1.15,5.35,119,-3.71,-12.7,0.38,-100.0
momentum_roc,whale,"{'accel_n': 10, 'exit_ema': 20, 'max_hold': 60, 'roc_min': 0.1, 'roc_n': 30, 'roc_short': 5, 'sl_pct': -0.1, 'trend_ema': 100}",hold_60d_trail20_TP30,179,1.74,7.28,263,-1.43,-3.03,0.77,-100.0
momentum_roc,junk,"{'accel_n': 10, 'exit_ema': 20, 'max_hold': 60, 'roc_min': 0.1, 'roc_n': 30, 'roc_short': 5, 'sl_pct': -0.1, 'trend_ema': 100}",hold_60d_trail20_TP30,57,0.87,8.21,942,-0.38,-0.52,0.96,-100.0
momentum_roc,trend,"{'accel_n': 10, 'exit_ema': 20, 'max_hold': 60, 'roc_min': 0.1, 'roc_n': 30, 'roc_short': 5, 'sl_pct': -0.1, 'trend_ema': 100}",hold_60d_trail20_TP30,1592,3.6,4.77,1042,-8.38,-7.66,0.46,-100.0
momentum_roc,whale,"{'accel_n': 10, 'exit_ema': 20, 'max_hold': 60, 'roc_min': 0.2, 'roc_n': 30, 'roc_short': 5, 'sl_pct': -0.1, 'trend_ema': 100}",hold_60d_trail20_TP30,156,1.34,5.78,228,-1.51,-3.18,0.75,-100.0
momentum_roc,junk,"{'accel_n': 10, 'exit_ema': 20, 'max_hold': 60, 'roc_min': 0.2, 'roc_n': 30, 'roc_short': 5, 'sl_pct': -0.1, 'trend_ema': 100}",hold_60d_trail20_TP30,50,0.5,4.71,755,-0.46,-0.74,0.95,-100.0
momentum_roc,trend,"{'accel_n': 10, 'exit_ema': 20, 'max_hold': 60, 'roc_min': 0.2, 'roc_n': 30, 'roc_short': 5, 'sl_pct': -0.1, 'trend_ema': 100}",hold_60d_trail20_TP30,1243,2.53,3.78,778,-8.17,-8.44,0.42,-100.0
