asset,strategy,interval,gate,n,win%,mean%,MDD%,Sharpe_ann,PF
kr,trend_pullback,1d,none,47324,46.0,8.54,,23.69,1.9
kr,trend_pullback,1d,ema200,35163,50.1,11.08,,26.57,2.32
kr,trend_pullback,1d,roc6m,32582,48.0,9.68,,22.47,2.11
kr,trend_pullback,1w,none,12487,47.1,8.78,-100.0,12.44,2.01
kr,trend_pullback,1w,ema200,8622,48.6,9.42,-100.0,11.11,2.15
kr,trend_pullback,1w,roc6m,8285,48.1,9.05,-100.0,10.48,2.09
kr,trend_chase,1d,none,11829,43.7,7.4,-100.0,9.07,1.77
kr,trend_chase,1d,ema200,7750,47.5,9.81,-100.0,9.1,2.14
kr,trend_chase,1d,roc6m,7402,46.6,9.33,-100.0,8.41,2.07
us,trend_pullback,1d,none,19154,51.4,8.68,,19.84,2.24
us,trend_pullback,1d,ema200,16287,52.6,9.41,,19.76,2.39
us,trend_pullback,1d,roc6m,15667,52.6,9.44,,19.43,2.39
us,trend_pullback,1w,none,5912,53.2,9.03,-100.0,10.93,2.25
us,trend_pullback,1w,ema200,4823,53.9,9.57,-100.0,10.48,2.35
us,trend_pullback,1w,roc6m,4729,53.9,9.72,-100.0,10.45,2.37
us,trend_chase,1d,none,2202,48.7,6.73,-97.4,5.72,2.01
us,trend_chase,1d,ema200,1731,48.4,6.63,-98.3,4.95,1.99
us,trend_chase,1d,roc6m,1714,48.7,6.76,-98.2,5.01,2.0
